{'descr': '还可以吧', 'star': 3}
{'descr': '这个价格也就这样', 'star': 4}
{'descr': '房间不错下次继续考虑', 'star': 5}
{'descr': '服务还不错', 'star': 3}
{'descr': '交通方便，吃饭也方便，房间干净，卫生！距离地铁五号线也不远，打车也忒别方便！楼下就是吃饭的地方！！！', 'star': 5}
{'descr': '虽然屋子小                              但还算整洁  房间隔音效果差', 'star': 4}
{'descr': '酒店设施老化了', 'star': 4}
{'descr': '酒店还不错吧，就是地理位置不好找，房间还是地下室，没有窗户，但是离天安门比较近，主要是想看升旗，可以了，也不贵', 'star': 4}
{'descr': '还行，比较便宜的', 'star': 4}
{'descr': '服务热情周到', 'star': 5}
{'descr': '新装酒店，对住宿条件要求不好的人还是不错的选择', 'star': 5}
