{'短评内容': '还行，就是餐厅菜品质量不行', '短评打分': 5}
{'短评内容': '乾淨舒適好早餐好', '短评打分': 5}
{'短评内容': '位置出行方便', '短评打分': 5}
{'短评内容': '酒店价位与设施、服务水准严重不匹配，花五星级酒店的钱，住的却是个招待所！或许是有展会的原因吧，价格太高了，而且早餐也很差！下次不会再入住！', '短评打分': 4}
{'短评内容': '酒店整体满意', '短评打分': 5}
{'短评内容': '挺不错 比想象中好 划得来', '短评打分': 5}
{'短评内容': '非常好，感谢京东，非常好，感谢京东，', '短评打分': 5}
{'短评内容': '装修有点旧，床铺有消毒水的味道。', '短评打分': 3}
{'短评内容': '可恶的酒店，我下单成功支付后后告诉我没房了，给我取消了订单，过一会我在看，房间还有的，只是价格翻倍了。为了春节多赚几个钱失去了做生意最需要的诚信，可悲。。。。', '短评打分': 1}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '在小区旁，周边不是很热闹，订了两间房，可以互通，这点很好', '短评打分': 4}
{'短评内容': '酒店位置很好，出门公交站，酒店很安静，在一个山坡上，靠近住宅区，干净整洁，早餐还可以，下次还会选择这家酒店，', '短评打分': 5}
{'短评内容': '房间内部环境很好，设施新，最主要是没噪音，去车站也近，附近还有大超市，吃东西也方便，下次出差继续住，不错不错', '短评打分': 5}
{'短评内容': '帮上司预定，他说是朋友推荐去住的。', '短评打分': 5}
{'短评内容': '酒店设施有点旧，不过还是挺干净的', '短评打分': 5}
{'短评内容': '空間夠大，服務不錯，可以下次再來', '短评打分': 4}
{'短评内容': '环境真不错, 房间有点旧, 酒店位置比较难打车, 酒店整体是不错的。', '短评打分': 4}
{'短评内容': '舒适安静，设备偏旧', '短评打分': 4}
{'短评内容': '其他都还可以，就是卫生间有时候有异味，希望重视。', '短评打分': 5}
{'短评内容': '相对于价格来说，这家酒店总体一般。房间装修较差，阳台门居然没有锁，后来服务生用一颗螺丝钉卡住门缝就算是锁上了，从门上的痕迹来看这种做法已经持续好久了。。。电视画面不清楚，总有雪花什么的很讨厌，平时也就算了，但这几天要看奥运比赛所以很不爽。优点还是有的，服务不错，自助早餐很棒，空调不断电。最后希望他们能尽快把门锁装上。', '短评打分': 1}
{'短评内容': '骏德会酒店房间不错 从口岸到酒店十元车资 只是珠海出租车业实在混乱', '短评打分': 3}
{'短评内容': '由于节日火爆，升级行政大床房，感觉不错喔', '短评打分': 3}
{'短评内容': '酒店不错，适合出差商务旅行。住着蛮好的。', '短评打分': 5}
{'短评内容': '可以，大床很大，干净，早餐，午餐都在这里吃，0K,可以延期到下午2点退房！', '短评打分': 5}
{'短评内容': '我在珠海的行宫，哇哈哈。 前台的靓女有几个都熟悉了。', '短评打分': 5}
{'短评内容': '酒店很好，很舒服，就是位置不太好找。', '短评打分': 3}
