{'descr': '服务很好的。', 'star': 5}
{'descr': '地理位置佳，火车站178没有几站很方便，右拐几十米平江路，离苏博拙政园一站路，很方便。酒店有点古风，房间卫生间都够大舒适。服务员一路引导到房间，闪住方便服务不错。推荐', 'star': 5}
{'descr': '家人出游、因要考虑出行的便利选了在平江路附近的华府酒店，出酒店右边就是平江路文化街……可以一路逛到拙政园、狮子林、博物馆…去观前街也很方便。房间装修结合了苏州古色古香的设计风格…家庭套房空间很大…整体感觉还是很好的。', 'star': 5}
{'descr': '标间被升级为家庭房，很贴心，两个2米大床，1个卫生间，空间也比较大，挺舒适的。入住有小礼品，离观前街和拙政园一线步行十几分钟的样子。', 'star': 5}
{'descr': '靠近平江路 位置不错', 'star': 5}
{'descr': '环境还行，早餐一般，房间设施维护的不好，不过卫生还好。', 'star': 5}
{'descr': '刚开始订错酒店，本来是不可退的，马上打电话给京东客服，很积极帮我解决了，感谢！', 'star': 5}
{'descr': 'test', 'star': 5}
{'descr': '民宿，性价比很一般', 'star': 3}
{'descr': '位置不错，进出方便，离平江路仅一河之隔。只要愿意，可以一天逛几遍，离其他园林景区也很近，不想走路的话，平江路两头有价廉物美的人力三轮车。房间比较小，卫生间不通风有气味，早餐比较马虎。', 'star': 4}
{'descr': '很好的酒店，内院很漂亮，还挨着平江路，很喜欢平江路，酒店的早餐非常好，服务也很贴心，是一次不错的入住经历，下次有机会去苏州还住他家。', 'star': 5}
{'descr': '特别喜欢进门送的养生茶，还有小朋友的大礼包，好贴心，另外还免费升级了。赞！出门右转就是平江路，非常方便。', 'star': 5}
{'descr': '升级了房间，送了养生茶和杯子', 'star': 4}
{'descr': '就在平江路旁边，位置绝好，服务很贴心', 'star': 5}
{'descr': '不错的酒店，换房间也很快', 'star': 5}
{'descr': '为老人旅游定的酒店，妈妈们特别满意，说无论是环境卫生还是地理位置都特别方便，尤其是出去景点玩都是酒店的专车送去也会接回来，特别为司机师傅点赞，一位是叶师傅，一位是记师傅，服务态度相当好，而且还帮老人们拿行李，让她们这次苏州之行倍感温暖！下次来还会住这里的！', 'star': 5}
{'descr': '古色古香的酒店，设施齐备，感觉很不错，地段也非常好。', 'star': 5}
{'descr': '内外部环境很好', 'star': 5}
{'descr': '酒店有江南特色，房间很干净，就是酒店的入口不太好找，有些出租车司机找不到', 'star': 4}
{'descr': '多次入住，总体环境不错，就是装修尽不起细看啊', 'star': 5}
{'descr': '非常好的酒店，院子的景观不错，服务也非常的好，', 'star': 5}
{'descr': '是一家中西合璧很有特色的酒店 环境清幽 也很有档次。服务态度也让我很满意。', 'star': 3}
{'descr': '早餐不错，服务很好，但是卫生间的纸巾有味道，下次还会入住', 'star': 5}
{'descr': '酒店不错 小而精致 离平江路只有50米 下次有机会再去', 'star': 3}
{'descr': '1.感受：6月22日入住了平江华府酒店。我住的是豪华大床房，房间非常干净，设施很齐备。我们加了一张床，150元一张。加床是标准的单人折叠床，服务生按照我们的要求，很仔细地将床铺好，而且带来了加床所需的拖鞋、洗漱用具、毛巾、浴巾等，非常到位。以前我在其他的同档次酒店也加过床，从来都是打电话要拖鞋才送来。这点体现了华府酒店的细致、到位，以客人为主的特色。酒店服务很好，擦电梯的阿姨见面都会主动问好。呵呵', 'star': 5}
{'descr': '有江南特色，是我喜欢的古典风格！房间很不错哦！床老舒服啦！', 'star': 5}
{'descr': ' 不错 洗浴用品用的欧莱雅的', 'star': 3}
{'descr': '该酒店装修高档，古典素雅，体现苏州韵味。酒店内的服务员微笑服务，让人心情好！华府内各类设施齐全且古色古香。出门走几步就是平江古街，街上背景配着苏州评弹曲，漫步古街，小店特色别致，让人不知不觉地沉浸在苏州特色中，领略江南的休闲幽静吴侬软语。', 'star': 5}
{'descr': '外观就如同古典江南的大宅院一般，处处透出鲜明的江南的园林特色。内饰更是古香古色，前台对面的巨幅唐寅画作和中式桌椅，房间内的青花瓷内饰，甚至浴室里的中式镂空格栅，真让我眼前一亮，欣喜不已。因为工作原因，我全国跑得地方不少，但可以说这里是我最喜欢的酒店。酒店旁边就是沿河的文化街，处处散发着水乡特有的气息，走在石板路上，路过一座座石桥，看着青瓦白墙的民居，时而飘过一丝江南小曲，恍惚间感觉回到前世的故乡一', 'star': 5}
{'descr': '环境很好，安静无噪音，从门卫到前台及客房餐厅等服务人员态度良好', 'star': 5}
{'descr': '环境不错，房间设施很好，地理位置靠近观前街，出门不远就是平江路文化街。不足就是早餐不太好，但总体还不错。', 'star': 5}
{'descr': ' 老宅翻新的杰作，中西合璧的风格，特别适合在苏州这种具有深厚文化底蕴的城市慢慢品味。', 'star': 3}
{'descr': '整洁大方，地理优越。非常推荐！\n中式里也有西式的气息，感觉很协调。\n最主要，非常干净。。。', 'star': 5}
{'descr': '   酒店不错   环境超好', 'star': 3}
{'descr': '酒店中式装修有品味；服务态度很好！干净整洁！赞！距平江街很近！打车不是很方便，不大好找.价格偏高！', 'star': 5}
{'descr': '酒店挨着平江路，典型的园林建筑，浓浓的古典气息，管家式服务无比贴心。。。非常喜欢青花瓷房间。唯一需要改进的是洗浴用品应该提高档次。', 'star': 5}
