{'短评内容': '离大庙蛮近的，挺方便', '短评打分': 3}
{'短评内容': '挺好的酒店，大家都可以去入住的。前台服务态度不错，我很满意，不会像以前入住过的一些酒店态度消极甩脸色，这家酒店的服务员态度很好。', '短评打分': 5}
{'短评内容': '环境一般，就是房间小了点。还过的去吧。', '短评打分': 4}
{'短评内容': '先订了一天，延住了一天。感觉很不错，保安、服务员都很热情！停车、吃饭都挺方便。距离游客中心约1公里，不远不近刚刚好！很愉快的一次旅行。', '短评打分': 5}
{'短评内容': '房间干净，有地毯，旧式的装修，客房内无总机号码显示，只能去柜台问。169元的房价不合算啊！估计周边房价不便宜，但看过其他有99元特价。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '价格太贵了', '短评打分': 4}
{'短评内容': '酒店地理位置不错，外面街道比较整洁，酒店很安静，热水很足很不错，就是设施比较陈旧，毛巾比较旧，建议自带毛巾。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很一般的酒店，价格超贵，估计因为国庆的原因', '短评打分': 3}
{'短评内容': '携程网很不错，直接前台现付，方便，酒店也不错，环境好，周边位置也方便，又有停车场，旅行不错的选择。', '短评打分': 4}
{'短评内容': '刚开始去的时候，不太熟悉路，绕了一大圈，觉得位置很远，后面从小路过去，发现步行十分钟足以，酒店环境好，服务员也好，下车就有人介绍停车，和朋友一起出行，都觉得酒店很不错，', '短评打分': 4}
{'短评内容': '有宾馆的样子，不过条件一般般，毕竟只要这么多钱', '短评打分': 3}
{'短评内容': '还不错哟…离游客中心还有大庙都很近，住在这边也很安静…', '短评打分': 3}
{'短评内容': '和一般的小旅馆没什么区别，差评，差评，差评', '短评打分': 1}
{'短评内容': '不是在风景区里面的，只是离风景区比较近。要宽带的话，要另外加钱。', '短评打分': 5}
{'短评内容': '酒店床比较大，睡得舒服，环境还算可以，就是象迷宫一样，不好找，', '短评打分': 3}
{'短评内容': '装修很简单一般，位置还可以比较好找，服务也很一般，价格还是有些偏贵了。', '短评打分': 1}
{'短评内容': '房间装修还可以挺干净的，位置还是挺好找的，服务态度和价格还行。整体环境还不错。', '短评打分': 3}
{'短评内容': '酒店服务员态度挺好的，位置不错，离上山的路很近，可是房间有点异味。', '短评打分': 5}
