{'descr': '还不错哦还不错哦', 'star': 5}
{'descr': ',酒店很干净，不错。', 'star': 3}
{'descr': '很不错，这个价位的房间确实很值，下次还来这里。', 'star': 5}
{'descr': '整体感觉还不错，比较干净，服务态度也比较好。就是周围交通不太方便，吃饭的地方也比较远~', 'star': 5}
{'descr': '酒店整体条件不错，很干净，设施很齐全，就是房间小了点，感觉有点拥挤。', 'star': 3}
{'descr': '房间很大很干净，住的非常舒服，以后还会再去的', 'star': 3}
{'descr': '都挺好的吧。很干净，很舒适，床很舒适，睡的很香，房间还好，大堂的经理不错，特惠满了帮我换了新的房间。虽然入住次数不多，但是还是很有感觉的！', 'star': 5}
{'descr': '还可以…… 挺干净，就是靠高架的一边有点点小吵', 'star': 5}
{'descr': '价位很便宜，房间也不错很干净，隔音不错，下次还会入住', 'star': 5}
{'descr': '房间烟味太重了，隔音效果不太理想，小纸条特别的多', 'star': 1}
{'descr': '还是不错的，至少对得起这个价格，就是打车不怎么方便的', 'star': 5}
{'descr': '非常好 交通便利 环境整洁 服务专业 性价比很高 下次出差还去', 'star': 5}
{'descr': '酒店设施蛮好的 就是地段比较偏僻 附近没什么吃喝的地方。', 'star': 5}
{'descr': '很不错，服务态度很好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '首次入住感觉不错,除临高架房间有些吵外,其它都不错,服务好,卫生好.', 'star': 3}
{'descr': '房间很小，当时对上海这个区不是很熟悉，所以才入住。附近就有很多其他酒店。。。', 'star': 1}
{'descr': '房间还算是小的，但是采光还可以，床垫太硬了', 'star': 3}
{'descr': ' 还挺好 蛮干净的', 'star': 3}
{'descr': ' 还不错 挺干净的', 'star': 3}
{'descr': '隔音效果差，服务态度勉强过得去。。', 'star': 3}
{'descr': '格林豪泰我还是蛮信任的，非常喜欢。这里环境不错，关键是比较卫生。', 'star': 5}
{'descr': '就算比较经济实惠了，酒店正在升级，希望下次去的时候能好点', 'star': 5}
{'descr': '非常满意，已经去了好多次了。设施和环境都很好，性价比非常高，会推荐介绍给朋友的。\n', 'star': 5}
{'descr': '格林豪泰还是很不错的，极力推荐。这家店性价比很高，关键是很干净！', 'star': 5}
{'descr': '非常满意，连住了两天很好。设施和环境都很好，性价比非常高，会推荐介绍给朋友的。', 'star': 5}
{'descr': '房间有异味，散发色情名片太多，应注意', 'star': 3}
{'descr': '房间有点小，', 'star': 3}
{'descr': '感觉超级好，就是去晚了，走的太早了，有些遗憾，以后有机会还去。', 'star': 5}
{'descr': '房间有些味道，晚上会有人发放一些不雅宣传单', 'star': 1}
