{'descr': '位置好 干净卫生安静', 'star': 4}
{'descr': '环境较好', 'star': 5}
{'descr': '没有', 'star': 5}
{'descr': '无早', 'star': 5}
{'descr': '还不错，安静', 'star': 4}
{'descr': '第一次用京东的这个酒店订购服务，还是比较方便的', 'star': 5}
{'descr': '还不错，修起来蛮开心gg', 'star': 5}
{'descr': '旅店本身没有问题，卫生、环境都尚可。但是最不满意的是京东的订房业务，订单留的姓名和电话，但是实地到前台登记入住除了姓名外，所有信息都和京东网定的预留信息不一致，导致前台因信息不对不让办理入住。最后电话客服解释是京东网定旅店业务外包，除了姓名，其他订单信息帮改留的是代理商信息，酒店可查询到的手机号码是代理商人员的。明明是在京东的网定，客户收到的是京东开头的确认短信，但实际前台却显示是去哪儿网的网定，所有信息和客户预留信息不一致！给客户入住带来很多困扰！', 'star': 3}
{'descr': '信赖京东', 'star': 5}
{'descr': '可以用白条支付，还提供发票，不错', 'star': 5}
{'descr': '地点不好找，找了半天才找到', 'star': 4}
{'descr': '不错价格实惠', 'star': 4}
{'descr': '市中心这个价格比较经济实惠', 'star': 4}
{'descr': '真的没啥好说的，一整晚没睡好，房间很压抑，不会再住第二次了。', 'star': 3}
{'descr': '性價比高，環境衞生可以，地点靠商塲，非常方便，房間大小可以，感覺舒服.不包早餐，如果可以會更好，會再去消費', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '帮同事订房，离公司近便，所以出差的同事都住那里。那里也是我小时候的出没地，很熟悉，很亲切。锦江之星的品质放心。', 'star': 4}
{'descr': '位置实在是太不好找了，在一个小区的小巷子中，不过胜在安静。 而且锦江之星一如以往的干净啊，待着舒服最重要。', 'star': 4}
{'descr': '一个字，旧，差，在小区里，每天都被吵的睡不着，头靠窗，紧挨着，门和窗斜对着，真心不习惯，空调一晚上都在响个不停，这是多么旧了，主要是没电梯，我也是醉了，无语了', 'star': 3}
{'descr': '很好不错不错很好  要一十五个字？  一个吧', 'star': 5}
{'descr': '酒店交通方便 餐饮有配套 靠近八万人 非常方便', 'star': 5}
{'descr': '位置比较不错，为了看演出特意挑的这里，这家店在小区里面，出了小区门就是地铁口，到哪都方便', 'star': 5}
{'descr': '地理位置很方便，酒店环境也很舒服，就是电视小了点！', 'star': 5}
{'descr': '开在小区里，很安静，但是开车进出不太方便，主要通道很窄，停满一排车后再开进去就像考试一样。。。酒店没有餐厅，如果吃早餐还得跑到街面的另一家锦江之星去。', 'star': 5}
{'descr': '挺好的，小区里的酒店，很安静的，离地铁出口也比较近，交通方便。', 'star': 5}
{'descr': '距离4号线步行几分钟，交通非常方便~~~                   ', 'star': 5}
{'descr': '在小区内，比较安静。离1号地铁出口8-10分钟。', 'star': 5}
{'descr': '离上海八万人体育场步行大概就十分钟，很近也很方便。房间蛮小的，但是服务人员态度很好。', 'star': 5}
{'descr': '位于大路边的小区之内，比较难找，房间设施一般，没有玻璃杯子，纸杯子不够干净。服务态度还好:) ', 'star': 5}
