{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。 ', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '早餐八点半就结束了，没有吃', '短评打分': 5}
{'短评内容': '早餐不错啊，过道地毯该清洗了', '短评打分': 5}
{'短评内容': '标准间很温馨，设施很齐全', '短评打分': 5}
{'短评内容': '前台服务差，房间灯都亮不齐，不建议入住，', '短评打分': 2}
{'短评内容': '前台服务超差，', '短评打分': 3}
{'短评内容': '经济实惠。', '短评打分': 5}
{'短评内容': '该酒店为房间干净，卫生好停车方便。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '不错，可以去入住。。。。。。。。。下次还去', '短评打分': 3}
{'短评内容': '好的，非常不错！下次还要去', '短评打分': 3}
{'短评内容': '干净舒服，非常完美，下次还去！', '短评打分': 3}
