{'descr': '相关的卫生不错，门也安全。周围还挺荒的', 'star': 4}
{'descr': '空调效果很好，但水压不高，来的早，车停下了', 'star': 5}
{'descr': '早餐不错，有享誉世界的茶叶蛋，味道不错，炸饺子也不错，包子有点凉，20一份自助早餐，还可以了。房间嘛，升了标间，但是是靠马路的一侧，外面是两层高架，那个吵你们懂得。', 'star': 4}
{'descr': '单人间，网络质量很好', 'star': 5}
{'descr': '停车方便，干净卫生', 'star': 5}
{'descr': '还可以吧，就是预订成功率低', 'star': 5}
{'descr': '这个定错了，', 'star': 5}
{'descr': '干净整洁', 'star': 5}
{'descr': '好好好好，很好，干净', 'star': 5}
{'descr': '呵呵呵呵呵呵', 'star': 4}
{'descr': '服务好', 'star': 4}
{'descr': '房间设施感觉老旧，卫生间有积水', 'star': 3}
{'descr': '商务酒店大概就是这样吧，小了一点', 'star': 4}
{'descr': '房间干净，就是小一点', 'star': 5}
{'descr': '还是不错的。价格实惠', 'star': 4}
{'descr': '一般，不是很喜欢，这个价格凑合住吧', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '环境好，室内卫生好，交通方便，服务态度好。', 'star': 4}
{'descr': '还可以', 'star': 4}
{'descr': '酒店干净卫生，不错', 'star': 5}
{'descr': '酒店位置还行吧，到地铁站不到一公里，环境一般，不能要求太高', 'star': 4}
{'descr': '房间干净卫生，打扫及时，前台服务热情。不足：电视机太OUT了，卫生房门几乎紧贴马桶！', 'star': 5}
{'descr': '这家酒店真的挺不错的，简单、方便、干净、卫生、安静。\n适合我们长期在外出差居住。', 'star': 5}
{'descr': '给朋友定的，低价，朋友说还行，毕竟一份价格一分货，不能喝五星级比，自己出行住着还是可以的', 'star': 5}
{'descr': '酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦', 'star': 5}
{'descr': '还不错。挺干净。装修风格很北欧的感觉。离地铁站稍远', 'star': 5}
{'descr': '很好，酒店服务很到位，房间住得很舒服，总体很满意', 'star': 5}
{'descr': '卫生条件还挺好，只是前面是一高架，隔音稍差。总之还好啦，离交大，还有地铁口很近。', 'star': 5}
{'descr': '酒店比较新，房间也还好，在经济型酒店里算不错了，不过前台小姐推荐办卡没办好像有点不高兴哦！', 'star': 5}
{'descr': '卫生、服务都保持锦江之星的标准，离地铁挺近，挺方便', 'star': 5}
{'descr': '总的来说不错，安静，卫生，离地铁站不远。有电视和宽带。缺点就是不提供免费早餐，其他可以打90分！', 'star': 5}
{'descr': '房间清洁,干净.房间大小适中，靠近公路，噪声有点大。最近涨价了。。。。\n\n', 'star': 5}
{'descr': '酒店非常干净，床挺大的，里面的阿姨态度超级好~', 'star': 5}
{'descr': '酒店很干净，很舒适，还是比较不错的，离交大也比较近，打车起步价就可以到。', 'star': 5}
{'descr': '锦江之星一贯的干净，整洁 ,简洁，舒适，价格合适，没什么不妥之处', 'star': 5}
{'descr': '环境好，推荐住，干净舒服', 'star': 3}
{'descr': '中规中矩，价格合理，房间不错，很干净，下次还会去。', 'star': 5}
{'descr': '非常好，睡得很安稳！！！！很香！！！！！！！！！', 'star': 5}
{'descr': '楼下有间汽修店，白天比较吵。\n好像这月开始房价涨了10%', 'star': 5}
{'descr': '同事推荐到到~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '因为不错，所以又续了几天', 'star': 3}
{'descr': '比较干净，服务交好。', 'star': 3}
{'descr': '锦江连锁，性价比比较高,距离几所大学很近,交通比较方便,服务也满意!\n', 'star': 5}
{'descr': '房间清洁,干净.房间大小适中，靠近公路，噪声大。', 'star': 5}
