{'短评内容': '艺龙现在很不靠谱，讲数量不讲质量，如果再没改变，你就完蛋', '短评打分': 3}
{'短评内容': '实在不怎么样，上周入住的，拖鞋没有，住了一晚身上被蚊子咬了好几个包，空调没有，晚上想找个蚊香吧台连个值班的人都没有，简直太差了！！！！', '短评打分': 1}
{'短评内容': '挺干净的，可以尝试去住一下', '短评打分': 3}
{'短评内容': '入住的三人间 屋子大小还可以 就是看着不咋地 床还不错 室内卫生需要加强  没有热水 有独立卫生间 几个朋友去旅游休息一晚还是可以的 毕竟价格在那里了', '短评打分': 4}
{'短评内容': '还可以，，', '短评打分': 4}
{'短评内容': '好好                         好', '短评打分': 5}
{'短评内容': '破旧，木有空调。花洒都没有地方放。提前一天退房，开发票时说暂时开不了，往回跑了两趟才拿到。印象很差，再也不来了。', '短评打分': 3}
{'短评内容': '半地下结构··不是很好··房间很闷热··隔音不是很好', '短评打分': 1}
{'短评内容': '好的，还不错，整体环境还的可以的，但是是地下室。。。。', '短评打分': 5}
{'短评内容': '第二次住这了，很不错，房价便宜，还是麻将房，但是没电脑了，而且公用浴室不能用，室内卫生间没有淋浴，店家就让我们去有淋浴的房间去洗！', '短评打分': 5}
{'短评内容': '非常不错,便宜条件好,有机会还会选择它!', '短评打分': 3}
{'短评内容': '哈尔滨澳霖时尚快捷宾馆挺好', '短评打分': 3}
{'短评内容': '吧台服务差。那个房间的网线端口是坏的，服务员一副只能这样，解决不了的态度，最后要求换房间了。其他条件还行，价格也不贵。', '短评打分': 1}
{'短评内容': '还不错，值得入住，干净实惠，有快捷酒店的特点，服务还不错！！！', '短评打分': 5}
{'短评内容': '宾馆整体很温馨，设施较全。最棒的是每个房间都配备电脑，上网很方便。……', '短评打分': 3}
{'短评内容': '酒店总体性价比一般,设施条件有待进一步完善', '短评打分': 3}
{'短评内容': '虽然是半地下 但是几乎是没有一点光线了。不过酒店里的装修还满意。看着比小旅馆好多了。便宜嘛。', '短评打分': 5}
{'短评内容': '旅店是半地下，床铺干净，隔音不太好，整体80分吧', '短评打分': 3}
{'短评内容': '提前十天预定的！今天顺利入住！环境不错！卫生不错！总体不错！', '短评打分': 3}
{'短评内容': '虽然比较便宜但起居不是很方便室内只有卫生间洗浴间在走廊单置，服务不是很周到', '短评打分': 1}
{'短评内容': '挺干净的。因为是地下室，感觉有点闷，空气不流通。', '短评打分': 5}
{'短评内容': '除了不好找点，性价比还可以了，真的出租车都找不到，那里是单行道，在儿童公园后门附近，不过出去马家街就是果戈里大街，旁边就是儿童公园。离医大四院，省医院都挺近吧，走路就可以走到了。普通间有电脑，电视，卫生间（不能洗澡）。基本就这些吧，希望能给其他人有用的借鉴。', '短评打分': 5}
{'短评内容': '服务很不错，价格也实惠，出行也很方便，我住了五天。', '短评打分': 5}
{'短评内容': '此酒店位置，离车站不远，车也方便，环境还可以。', '短评打分': 5}
{'短评内容': '条件一般，标间可以洗澡，没有空调，但有电扇，电脑，半地下室，对得起那个价格。', '短评打分': 5}
{'短评内容': '觉得房间十分潮湿。没有冷气倒也算了。在此睡眠质量不行。', '短评打分': 1}
{'短评内容': '长经验了，以后像这种需要信用卡担保的地方千万不能去啊！\n在一片又旧又乱的老住宅楼当中，打车司机都不愿意进去。\n本以为哈尔滨空气干燥，地下室也无所谓，可进去后明显感觉到床很潮，而且第二天早上起来明显觉得缺氧，赶紧出去透透气。\n结帐时才被告知那些没有贴收费标签的毛巾和瓶装水原来是收费的，服务大妈和结帐大叔态度蛮横，“你上亿龙评论去吧～”，人家一点都不在乎嘛～', '短评打分': 1}
{'短评内容': '这家酒店服务很好而且干净卫生，以后介绍朋友一定来这里住。是个物美价廉的好地方！！！', '短评打分': 5}
{'短评内容': '宾馆环境还行，就是在地下室', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '这个位置，这个价钱的酒店。虽然半地下室但是已经相当不错了。', '短评打分': 5}
{'短评内容': '酒店很好，很干净，信用很好，还有电脑，总体还是不错的，性价比很高', '短评打分': 5}
{'短评内容': '价格便宜，房间比较大，没有空调。地下室，通风不好。', '短评打分': 1}
{'短评内容': '很干净，只是很小的东西都收费，房间有电脑，还不错。是半地下室。', '短评打分': 3}
{'短评内容': '环境很不好！屋子潮湿！水盆也堵塞！总之不值！不好', '短评打分': 1}
{'短评内容': '水盆堵塞！屋子里都是小虫子，潮湿。不是很满意！！！', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '条件各种很棒~只可惜在地下~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '该酒店与网上描述不一，没有卫生间。老板自以为是，对客户耍小聪明，还喜欢吵架。觉得价格便宜少赚了就别在网上发售。瞎害人。', '短评打分': 3}
{'短评内容': '不去不知道,真坑人呐,地下就地下吧,还乱扣钱,我发誓不去第二次', '短评打分': 3}
{'短评内容': '房子已入住！干净卫生。美中不足的是房内没有洗澡的，', '短评打分': 5}
{'短评内容': ' 不好', '短评打分': 3}
{'短评内容': '还是不错的，虽然是在地下一层，有点潮，整体很好，有电脑，有电视，有公共浴室，对于这样一个小宾馆来说已经很不容易了，还有就是床很大！', '短评打分': 5}
{'短评内容': '龙艺是个很好的朋友，但这家店你们以后不要跟他们做了。地下室太差了。', '短评打分': 1}
{'短评内容': '是地下室，有很大的霉味，非常潮湿，总感觉床是湿的，酒店位置也很难找。', '短评打分': 1}
{'短评内容': '交通很便利服务很热情，房间比想象的大的多，被子很舒适，有种家的感觉。这个价位很合适', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '.服务周到,信息及时', '短评打分': 3}
{'短评内容': '挺干净的,价格也合理,只是最初安排的房间没有热水器。好在前台及时调节,服务态度也好。就是毛巾和洗漱用品是有偿使用,建议自带', '短评打分': 3}
{'短评内容': '被子很软 宾馆很干净 就是不太好找 综合来说还算不错', '短评打分': 5}
{'短评内容': '太不给力了，入住20分钟就停电还停水，老板也不想办法，第一次遇到这种事情。', '短评打分': 3}
{'短评内容': ' 挺好挺干净的 床舒服 被子软软的 洗澡水挺热 嘿嘿 就是电话在这里没有信号 地方还不太好找 整体来说还不错', '短评打分': 3}
{'短评内容': '，不好，地下室的味道很重', '短评打分': 3}
{'短评内容': '酒店地下，干净，比北京的地下宾馆强。', '短评打分': 3}
{'短评内容': '房间很舒服，服务员很热心，交通便捷，去哪儿玩都很方便，晚上周边也有夜宵吃，闹中取静，总之挺满意的', '短评打分': 5}
{'短评内容': '价格优惠，位置在闹市，就是有点不好找，最好是打的过去。总体来说这的推荐。', '短评打分': 5}
{'短评内容': '环境挺不错的~位置也很好，只是热水器不太好用，网络总掉线，不过前台的服务态度很好~~', '短评打分': 5}
{'短评内容': '宾馆是地下室，所以春天有一点潮湿，其他都很不错，服务态度也比较好！', '短评打分': 1}
{'短评内容': ' 入住条件不错，房间设施很好。 缺点：半地下结构，没有一次性洗刷用品，服务欠佳。', '短评打分': 3}
{'短评内容': '价格比较低，属于半地下室。房间可能刚装修过有味，两张床的房间活动空间很小，但是房间里有电脑，卫生条件还可以吧。洗刷用具都是有偿提供，需要开发票的要交10%税金。', '短评打分': 5}
{'短评内容': '很干净，并且设施齐全，如果下回去哈尔滨  还会继续住在那。好评', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 3}
{'短评内容': '性价比极差的酒店.它是地下室形式的。房间很小,除了卫生纸以外,所有的东西都是要另外收费的,牙膏、牙刷、肥皂、洗头水、沐浴露、毛巾、饮水等等都要收费，房间没有浴巾，没有烧开水的电热壶，没有花洒挂架，打开水龙头时，刚开始流出来的是黄色的水，要放一段时间后才可以用。按照这个酒店的情况，至多只能叫招待所或旅社。\n不过他们550ml的康师傅矿物质水倒是便宜，才1元钱，喝了一瓶倒也没什么问题。', '短评打分': 1}
{'短评内容': '\u3000不错\u3000很暖和\u3000服务态度也行\u3000干净\u3000值得推荐\u3000', '短评打分': 3}
{'短评内容': '很好!很干净!屋子小点', '短评打分': 3}
{'短评内容': '酒店挺新的 很干净  遗憾的是 在地下一层  还好有天窗', '短评打分': 1}
{'短评内容': '性价比还是很高的 就是连洗手的东西都不给提供 毛巾什么的都是有偿的 有点不方便 地点不是很好找 但是装修很好 家具都很新 ', '短评打分': 5}
