{'短评内容': '原来洗浴中心改装的，火车站附近，较便宜，热水还可以，空调不太行，被子竟然是夏天的太薄，睡一晚冻冰凉，本来想多住几晚的，第二天换布丁', '短评打分': 4}
{'短评内容': '一直住的  环境不错', '短评打分': 5}
{'短评内容': '挺好，便宜，早点也方便，价格实恵', '短评打分': 4}
{'短评内容': '主要是卫生差', '短评打分': 2}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '酒店不咋地，被子应该是没洗过，有一股难闻的气味，独立卫浴很窄，洗澡上厕所都很不方便。晚上还有施工噪音，我也不知道自己是几点才睡着的。', '短评打分': 2}
{'短评内容': '房间较大  卫生还可以  只是空调太折腾人  像拖拉机声音一样  根本没法入睡  结果关掉才行  还好不是太冷 ', '短评打分': 4}
{'短评内容': '各方面均好', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位于路口，交通方便。周围正在施工，比较吵。房间卫生一般，热水不稳定，空调制热特别差。', '短评打分': 4}
{'短评内容': '价格便宜,房间干净整洁,商务出差还可以。', '短评打分': 4}
{'短评内容': '差不多的钱，差不多的房间！', '短评打分': 3}
{'短评内容': '设备陈旧 卫生很差 服务很好', '短评打分': 3}
{'短评内容': '不错，值得入住', '短评打分': 5}
{'短评内容': '前台态度很好，会提醒你有特价房', '短评打分': 3}
