{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很差劲。', '短评打分': 3}
{'短评内容': '酒店的环境很好，周边的吃饭等配套设施也挺多的', '短评打分': 5}
{'短评内容': '房间还不错。', '短评打分': 5}
{'短评内容': '在红谷滩新区 位置很好找 周围挺方便 房间太一般了 味道很大 电视很小  因为工作原因住了几次 每次都会有客服人员打来电话问酒店哪做的不好 哈哈 可是一点改进都没有', '短评打分': 2}
{'短评内容': '这个价格可以考虑其它四星酒店、', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间很大，就是很旧，早餐不错', '短评打分': 5}
{'短评内容': '酒店感觉还可以', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次电梯好多人，类似酒店公寓的感觉，早餐较简单，房间稍旧，不过整洁干净，酒店位置好，停车方便。', '短评打分': 4}
{'短评内容': '一般。一般。。。。。。', '短评打分': 4}
{'短评内容': '一般吧。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '开会去的，位置很好，周边很热闹，早餐一般，满干净的', '短评打分': 5}
{'短评内容': '酒店服务，设施，环境，都不错，就是早餐不令人满意。', '短评打分': 5}
{'短评内容': '早餐不错。周围买东西吃饭都比较方便。在红谷滩新区的主干道上，也很好找。就是离市区还是远了点。打车去市区要半小时。', '短评打分': 5}
{'短评内容': '在红谷滩，比较方便。宾馆内部服务完善，周边也比较热闹。性价比可以。', '短评打分': 5}
{'短评内容': '出差还不错，周边吃饭买东西还都挺方便。就是如果去市区就有点远了。', '短评打分': 5}
{'短评内容': '设施比较新，处于交通主道上，但却比较的安静。只是价格就有点贵了！', '短评打分': 5}
{'短评内容': '环境设施还行 早餐比较简单 空调声音太响 只好关了睡觉', '短评打分': 5}
{'短评内容': '性价比还行。 早餐一般。位置比较偏。如果在附近出差或开车走高速经过南昌，还是比较方便上高速的。', '短评打分': 5}
{'短评内容': '出差一般就住这边。旁边有商场、超市和餐馆。出门很方便就能打到出租车去老城区。还不错。', '短评打分': 5}
{'短评内容': '与其他地方的海航酒店有较大差距，不仅设施不到豪华五星标准，在软件服务差距就更大，无门童服务，无叫车服务，早餐品种极少。', '短评打分': 1}
{'短评内容': '新酒店硬件不错．卫生条件不符合四星标准－', '短评打分': 3}
{'短评内容': '一般来南昌出差就是这里。旁边有商场、餐馆，都比较方便。就是去市中心要稍微远一点。不过门口有公交，打车也方便，所以也就没什么啦。', '短评打分': 5}
{'短评内容': '还好啦，房间不错，估计5楼有会议，大厅显得人多而杂乱。', '短评打分': 5}
{'短评内容': '7月30日星期六，本人一家四口携带N多行李入住酒店，一个号称按5星级标准的酒店竟然没有门童和行李员，前台MM告诉我“今天休息”，我被晕倒。\n早餐及其简单，和如家酒店的差不多，西瓜是白色的，\n游泳的地方外包了，比真的5星级的泰耐克游泳的还贵。', '短评打分': 1}
{'短评内容': '房间很脏，尤其是地毯，到处都是头发，卫生间抽水马桶也不好用，空调声音也很大。', '短评打分': 1}
{'短评内容': '服务比较好。就是晚上睡觉的时候空调的声音比较大，睡眠浅的人会有困扰。', '短评打分': 5}
{'短评内容': '进房间的时候不能取电，修了半个小时，大热天的想先换个房间竟然说没房，转天吃早餐的时候明显没多少人，哎。', '短评打分': 1}
{'短评内容': '此酒店住了好多次，还不错，就是大堂有点阴暗。', '短评打分': 5}
{'短评内容': '不错，位置好，早餐还算丰富，房间还算干净', '短评打分': 5}
{'短评内容': '空调噪音大，其他还算凑合。', '短评打分': 3}
{'短评内容': '设施比较齐全，卫生非常干净。价格也比较合理。早餐也不错。', '短评打分': 5}
{'短评内容': '酒店很干净，设施比较齐全。服务也比较周到。 ', '短评打分': 5}
{'短评内容': ' 还不错', '短评打分': 3}
