{'短评内容': '早餐挺好的！！', '短评打分': 4}
{'短评内容': '很好的选择。', '短评打分': 5}
{'短评内容': '酒店在出站口右手，很方便，离地铁远点，虽然离火车站很近，但是关上窗户一点也不吵，值得推荐！', '短评打分': 5}
{'短评内容': '還不錯！！車站前廣場整修  ，有點不方便！！                            ', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生有待提高。', '短评打分': 3}
{'短评内容': '房间不错！', '短评打分': 4}
{'短评内容': '帮朋友代买的', '短评打分': 5}
{'短评内容': '酒店环境很好，服务态度好，设施齐全，价格合理，下次再次光顾。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还不错，房间很好，价格实惠，100多块钱住到了星级酒店的待遇，早餐也很好。来长沙这么多次都不知道这样的酒店，下次还定这家。', '短评打分': 5}
{'短评内容': '物美价廉，设施配套高大上，床非常捧，受火车站影响不大，相当满意', '短评打分': 5}
{'短评内容': '在长沙火车站出口的右侧隔壁、房间干净整洁、设施完善、服务态度好、早餐丰富，住了一个礼拜、值得信赖和推荐！', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '酒店服務尚可,交通地理位置不錯,從長沙機場搭大巴到市區航站大廳步行約10分鐘屬方便,衛浴尚屬乾淨舒適.', '短评打分': 3}
{'短评内容': '此次為旅遊張家界.鳳凰古城因搭車問題,所以入住.大體尚算舒適且交通方便,周圍飲食亦方便且提供早餐服務菜色亦不錯.', '短评打分': 3}
{'短评内容': '来长沙最理想的居住地方，出行非常方便，就是网络需要改进。', '短评打分': 5}
{'短评内容': '卫生不错，早餐要点赞', '短评打分': 5}
{'短评内容': '酒店位置非常不错，刚好火车站出口边上，性价比非常合适。', '短评打分': 3}
{'短评内容': '设备、卫生条件都还可以，价格便宜，尤其乘车方便，好，推荐。', '短评打分': 5}
{'短评内容': '环境很好，房大', '短评打分': 3}
{'短评内容': '很方便，就是太吵了，总能听到火车进站，报站的声音，睡不好，房间挺大。\n', '短评打分': 5}
{'短评内容': '很满意！谢谢！', '短评打分': 3}
{'短评内容': '服务态度非常好。我们都非常喜欢 如果噪音小一点就好 回更好', '短评打分': 5}
{'短评内容': '价格没什么优势，但是交通方便，室内内饰一般般，前台妹妹服务一般，不够热情，', '短评打分': 5}
{'短评内容': '位置虽好，但是不推荐.位置虽好，但是不推荐', '短评打分': 1}
{'短评内容': '酒店重新装修感觉挺好', '短评打分': 3}
{'短评内容': '环境还不错，挺干净的，热水也很方便，离火车站真的很近，但也会有点吵，能听到火车进站的声音。', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 3}
{'短评内容': '房间较卫生，交通极为方便，服务态度也不错，晚上休息有的不安静，总体感觉良好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
