{'短评内容': '商品不错，性价比较高。', '短评打分': 5}
{'短评内容': '商品不错，性价比较高。', '短评打分': 5}
{'短评内容': '商品不错，性价比较高。', '短评打分': 5}
{'短评内容': '坐地起价哟，有点过分了', '短评打分': 1}
{'短评内容': '可以。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置很好，带宝宝来打预防针的，离尖沙咀新都医疗店很近；但是酒店不给换大床，双床不能拼，还没有床围，基本是没有什么服务了，除了位置很好以外。', '短评打分': 3}
{'短评内容': '地理位置优越，距离星光大道六分钟，海港城都很近，小熊饼干就在旁边大楼里', '短评打分': 5}
{'短评内容': '酒店地理位置优越，在尖沙咀地铁站N5出口处，周边翠华餐厅、一蓝拉面、池记都很近，各大商场遍布周围；最重要的是，酒店房间很大，订的双床，各一米3⃣️宽，一家四口住非常舒服，房间设施很到位，前台服务很专业，真心满意。', '短评打分': 5}
{'短评内容': '服务很到位，设施有点老。地理位置极佳，周围吃饭的地方非常多！', '短评打分': 5}
{'短评内容': '酒店出行很方便，房间也很大，附近就有K11等购物中心，离地铁站也非常的近，下次去香港还会订这个酒店。', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '十一定的房子，很贵，不过孩子住的很开心，建议京东完善订房时可以让客户提住房需求的步骤，比如需要大床房还是双人房，是否需要无烟房等', '短评打分': 5}
{'短评内容': '房间非常大，够舒服，虽有些旧，早餐品种不算多。但这价格很值。', '短评打分': 5}
{'短评内容': '环境还不错，坐电梯要刷卡的，房间里有插电卡，然后房间有两张房卡，挺方便的。旁边有个大家乐吃饭还习惯方便。', '短评打分': 5}
{'短评内容': '酒店不错，在香港这个地方能有这个大的房间，真不错', '短评打分': 5}
{'短评内容': '订购失败&hellip;', '短评打分': 4}
{'短评内容': '订房失败，说是酒店原因，最后还是用艺龙下单搞定，京东还有很多不足&hellip;', '短评打分': 4}
{'短评内容': '哦可哦可哦可哦可哦可哦可哦可哦可', '短评打分': 5}
