{'短评内容': '还不错，居然送了当地特产，葡萄和很大个的枣！', '短评打分': 5}
{'短评内容': '蛮不错', '短评打分': 5}
{'短评内容': '位置很好离夜市很近，临街房间有点吵，设施齐全，服务热情。有停车场但要每天收费十元，虽然不贵，可对自驾游来说，有点别扭。', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '酒店不错，环境好，下次还来', '短评打分': 5}
{'短评内容': '預訂的房間是標準房，到的時候櫃檯通知說升等了套房因為標準房無房了。非常貼心。房間乾淨隨時都有熱水。酒店離沙洲夜市非常近，5分鐘即可到達。方便極了', '短评打分': 5}
{'短评内容': '前一晚就订好了房间，工作人员没交接好，当晚没地方住，给我们找了旁边的另一住处。', '短评打分': 3}
{'短评内容': '可以停车，服务好。', '短评打分': 4}
{'短评内容': '由于没有三人间，送了一个标间，特别体贴。', '短评打分': 4}
{'短评内容': '，，，，，，，，，，，，，很好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '住宿条件不错，价格合适，值得信任。 交通方便，附近就是夜市，不错！', '短评打分': 5}
{'短评内容': '环境还可以，十一期间太贵，另外热水不够热', '短评打分': 3}
{'短评内容': '位置好，设施陈旧的宾馆', '短评打分': 3}
{'短评内容': '就在夜市附近，对面还有个华联，反正一个人住的蛮好', '短评打分': 3}
