{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '当地算是最好的好的宾馆 住的很舒服 小别墅形式 就是游泳馆和健身房都关了 不太满意 剩下的都好 4分吧', '短评打分': 4}
{'短评内容': '环境优美，服务好！性价比高。非常适合自驾游的群体。', '短评打分': 5}
{'短评内容': '环境卫生尚可，服务一般', '短评打分': 4}
{'短评内容': '非常不错的酒店，环境一流', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店服务一般，餐饮较差。', '短评打分': 3}
{'短评内容': '房间很大、但是设施有点旧了、没有大多感觉、早餐也很简单！出差还行、度假的话、可能会有些失望的！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间超乎想象的好，价格很合适！家人住的很舒服！', '短评打分': 5}
{'短评内容': '前台美女服务特别好，房间设施和卫生也都很好', '短评打分': 5}
{'短评内容': '就当事一次不错得体验吧', '短评打分': 5}
{'短评内容': '服务很到位，酒店设施很好，服务人员很有素质，比较安静，推荐入住。', '短评打分': 5}
{'短评内容': '价格低，环境优雅，服务不错。地理位置偏，吃饭出行不太方便。自己开车入住还是不错的选择。', '短评打分': 5}
{'短评内容': '环境一流，价格实惠，适合旅游度假', '短评打分': 5}
