{'短评内容': '位置好找，环境还可以！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '早餐非常棒 营养丰富', '短评打分': 5}
{'短评内容': '挺好的，多次选择入住，携程优惠。早餐很赞', '短评打分': 5}
{'短评内容': '环境挺好，住着也挺舒服，第一次入住，感觉挺不错的，床也软……服务也挺好的，设施齐全，下次有机会还会入住……', '短评打分': 4}
{'短评内容': '房间价格合理', '短评打分': 4}
{'短评内容': '还可以值那个钱', '短评打分': 5}
{'短评内容': '房间设施还行，就是早餐的样式太少', '短评打分': 4}
{'短评内容': '住着挺舒服的，不靠大马路，所以不会太吵，设施什么的都还不错，入住前还比较担心环境，到了之后觉得不错，因公出差，这就可以了，下次来出差首选这里', '短评打分': 5}
{'短评内容': '房间里味太大，枕头，被子油腻腻的味，实在太难受，可能就这价位就这服务', '短评打分': 2}
{'短评内容': '好！好！好！', '短评打分': 5}
{'短评内容': '一般，太吵！', '短评打分': 3}
{'短评内容': '出差临时住住还行，离旧车市场比较近。', '短评打分': 3}
{'短评内容': '酒店不错，适合商务出差。', '短评打分': 4}
{'短评内容': '酒店周边是汽车的4S店，周边没有吃饭的地方。酒店房间墙纸都坏了，地毯很脏，写字台周围还有异味。', '短评打分': 1}
{'短评内容': '尚可，酒店挺新，房间装饰风格也不错，床和枕头都挺舒服。早餐差了点。旁边主要是4S店，离繁华商区稍远点', '短评打分': 3}
{'短评内容': '，洒店环境好，干净卫生，房间大气，感觉很好！', '短评打分': 3}
