{'短评内容': '设施陈旧一些，其他尚可！', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '超值', '短评打分': 5}
{'短评内容': '酒店位置较中心，离高铁站不远，周边吃喝玩乐比较方便。酒店性价比高，早饭比较简单，但是吃饱没问题。周边也有钦州有名的猪脚粉', '短评打分': 5}
{'短评内容': '一般 酒店有些陈旧', '短评打分': 3}
{'短评内容': '酒店房间气味不好', '短评打分': 3}
{'短评内容': '房间大，干净整洁，空调很给力，性价比高，值得信赖。', '短评打分': 5}
{'短评内容': '设施配套很全，放假比较舒服，就是停车要收费', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '房间宽敞，清洁，大床，安静，离广场近，对面24小时有东西吃，方便，每次过来都是住这里，携程的价格优惠幅度大。', '短评打分': 4}
{'短评内容': '酒店还是比较安静', '短评打分': 5}
{'短评内容': '还是不错的酒店', '短评打分': 5}
{'短评内容': '还是不错的酒店', '短评打分': 5}
{'短评内容': '酒店比较老旧，早餐很简单，出行方便', '短评打分': 4}
{'短评内容': '床稍硬，我喜欢，环境不错，艺龙定的也实惠。', '短评打分': 3}
