{'短评内容': '地理位置很好，价格实惠，还有免费停车场，工作日晚上车位也比较充足，就是老宾馆设施比较陈旧一些，但也还不错', '短评打分': 4}
{'短评内容': '五个字 一般', '短评打分': 3}
{'短评内容': '連續住了兩晚，性價比高又不吵。', '短评打分': 5}
{'短评内容': '連續住了兩晚，感覺很好！性價比高又不吵！', '短评打分': 5}
{'短评内容': '还不错，设备齐全，位置好，档次高', '短评打分': 4}
{'短评内容': '一般般，沿马路比较吵，地毯不干净', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '一般都住在这里。', '短评打分': 5}
{'短评内容': '挺方便出行。', '短评打分': 5}
{'短评内容': '有点老了吧！总体还行', '短评打分': 4}
{'短评内容': '还不错，停车方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好很不错，环境很棒房间特别大', '短评打分': 3}
{'短评内容': '房间环境可以，大小还行，地毯好', '短评打分': 3}
{'短评内容': '附近还是满繁华的，可是床头没有插座，充电都不可以玩手机！', '短评打分': 4}
{'短评内容': '酒店还可以。前台服务一般，想借支笔写个东西，都不借。', '短评打分': 3}
{'短评内容': '整体感觉很不错', '短评打分': 3}
{'短评内容': ' 房间挺干净酒店在市中心有机会还会住', '短评打分': 3}
