{'短评内容': '离目的地最近的快捷酒店，还可以吧！', '短评打分': 4}
{'短评内容': '总体还行，交通便利', '短评打分': 4}
{'短评内容': '预订了大床房，给换成了标间；既然已通知预订成功为什么会没有预留呢？浴室洗澡水不是太凉就是太热没法调；卫生间放了一次性马桶垫，房间放了百岁山，如果不是免费提供是不是该提示一下，退房才说这都是收费的。一进去很有年代感的房子。', '短评打分': 1}
{'短评内容': '早餐一般', '短评打分': 4}
{'短评内容': '前台服务态度冷漠 说话没有温度 跟顾客说话说到一半也要跟别的人聊天；酒店估计是开业时间太长了 设备陈旧 卫生间有铁的地方基本都生锈了 房间隔音效果太差 隔壁穿着拖鞋走路的声音 手机震动的声音都能听到 床太矮；房间收费物品标注不详 桌子上的盒子里有两瓶百岁山 标价4元每瓶 还有两瓶康师傅水在外面 退房的时候康师傅要价2元每瓶 收费可以 但酒店的标价不详让人心里不舒服。总之 90元的房价与服务不符 不', '短评打分': 2}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '出差办公，挺不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '凑合着', '短评打分': 3}
{'短评内容': '网络太差了，环境一般吧，交通比较便利', '短评打分': 3}
{'短评内容': '每次去沧州都住这家，交通方便，价位低。比较满意', '短评打分': 3}
{'短评内容': '差............', '短评打分': 3}
{'短评内容': '沧州小汉庭', '短评打分': 4}
{'短评内容': '环境服务都不错，带早，推荐', '短评打分': 3}
