{'短评内容': '环境一般，设施比较老', '短评打分': 4}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '住了三天，周边好吃的也不少，商场电影院都有，很方便', '短评打分': 4}
{'短评内容': '连续住了两天，周边出行，吃饭，逛街，都挺方便的', '短评打分': 4}
{'短评内容': '第一次来，感觉还不错……', '短评打分': 4}
{'短评内容': '自己住的房间很好就是泡面每次都不是自己喜欢的口味  服务态度也很好有事立马就解决了  交通也特别方便想去哪公交打的都方便  赞', '短评打分': 5}
{'短评内容': '不错，服务、设备、环境都不错', '短评打分': 3}
{'短评内容': '卫生干净，交通方便', '短评打分': 3}
{'短评内容': '没有停车场，房间味道大，服务态度挺好。', '短评打分': 3}
{'短评内容': '就那样吧，关键别人还有房卡，大早上来开门', '短评打分': 2}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '很好就是没窗户....................', '短评打分': 3}
{'短评内容': '一般般，淋浴不太好，房间小', '短评打分': 3}
{'短评内容': '脏旧差', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '还行 ，女服务员态度不行', '短评打分': 4}
