{'短评内容': '来过几次了，酒店位置还算理想。', '短评打分': 4}
{'短评内容': '来过几次了，酒店位置还算理想', '短评打分': 4}
{'短评内容': '来过几次了，位置比较理想，可能是刚过年客少的原因，第一天入住时比较冷，有机会还会入住。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店设施较陈旧，周边消费不太方便', '短评打分': 2}
{'短评内容': '屋里有味道，一开始订的房间到那没有了…虽然给换了个套房，但是不喜欢…', '短评打分': 2}
{'短评内容': '比较差，不推荐入住，睡完后身上痒', '短评打分': 1}
{'短评内容': '房间设施稍显陈旧。电视机该换了，而且操作极不方便。', '短评打分': 5}
{'短评内容': '性价比还是比较高的酒店，地理位置不错，设施稍微老一些还是可以接受', '短评打分': 5}
{'短评内容': '无论交通还是服务都相当不错，物有所值，值得推荐。', '短评打分': 5}
{'短评内容': '酒店环境很好，房间也很舒适，免费宽带，门口停车方便，价钱也合适。', '短评打分': 5}
{'短评内容': '给客户订的宾馆，客户反映还行，给个好评吧', '短评打分': 5}
{'短评内容': '住着很舒适的一家酒店，顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶', '短评打分': 5}
{'短评内容': '环境还不错，卫生也还行，希望能把拖鞋换成一次性拖鞋', '短评打分': 5}
{'短评内容': '房间设施还行，比较宽敞，卫生间还有浴缸，交通挺方便的，周围超市也很近', '短评打分': 5}
{'短评内容': '酒店设施很好，前台服务很好办理速度很快，服务很周到。', '短评打分': 5}
{'短评内容': '干净、舒适、比较安静、9层水比较小，望改进。', '短评打分': 5}
{'短评内容': '特别喜欢套房里的麻将桌，还可以打牌，望酒店可以改善屋中的灯，有点昏暗的感觉，不过打开台灯还好，总体感觉还是很好的', '短评打分': 5}
{'短评内容': '非常的干净、卫生、舒适。服务态度很好。特别赞工程部的技术员，我电脑网卡有问题，不能自动识别IP地址，他费劲了心思，让我非常感动。吹风机是松下的、拖鞋质量也好，烧水壶里连水垢都没有，所以，我非常推荐这里，也会推荐给朋友。', '短评打分': 5}
{'短评内容': '在这家酒店住了三天、个人感觉比其他快捷酒店稍好、服务员很敬业、每天都有早叫服务、按时给做卫生、屋里电视坏了及时给修理、院里停车也很方便、出门左手就是易买得超市、最主要的是院里有个特色餐厅、很有农家院的感觉、餐厅大灶炖鱼味道很不错、晚上还有烧烤、好评哦', '短评打分': 5}
{'短评内容': '整洁舒适，感觉不错。下次再去天津会首选这家酒店的', '短评打分': 5}
{'短评内容': '房间卫生挺干净的，服务态度很好，人性化服务，是一家比较好的酒店。', '短评打分': 5}
{'短评内容': '房间有些小，服务员太少了\n卫生间设施太陈旧，位置也不方便', '短评打分': 1}
{'短评内容': ' 感觉一般，不是很干净', '短评打分': 3}
{'短评内容': '设施和服务都较差', '短评打分': 3}
{'短评内容': '酒店卫生尚可，其他条件无法和任何一个我住过的快捷酒店相比。差', '短评打分': 1}
{'短评内容': '房间挺好的', '短评打分': 3}
{'短评内容': '环境不好，太偏远了。打车都要等半天。设施不行', '短评打分': 1}
{'短评内容': '卫生条件太差，卫生用品很旧，服务意思较差。', '短评打分': 1}
{'短评内容': '1.607房洗手間積水\n2.〈8.9樓〉水量很小.沒有辦法淋浴\n3.周圍沒有餐廳.太不方便了.\n4.不得使用藝龍積分.會叫你與藝龍連繫已退房.或服務員打電話到藝龍說客人已退房.', '短评打分': 1}
{'短评内容': '宾馆还可以，离梅江近，遗憾的是没早餐！性价比不错！', '短评打分': 5}
{'短评内容': '一般般，服务不太好，电源也比较少，台灯还不亮，总体感觉非常一般', '短评打分': 1}
{'短评内容': '条件太差，服务不好。', '短评打分': 3}
{'短评内容': '房间设施很好，床很舒适，服务态度也很好。只是地理位置距市中心有点远', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '\n经济卫生', '短评打分': 3}
