{'短评内容': '无早餐，酒店卫生不错，离地铁口近，出地铁口2分钟就到。', '短评打分': 5}
{'短评内容': '酒店位置好，比较好找，出门右侧步行4分钟左右就是地铁站了，房间干净，被褥都是一客一换的，就是房间比较小', '短评打分': 4}
{'短评内容': '干净，环境很好', '短评打分': 5}
{'短评内容': '新装修，很不错', '短评打分': 5}
{'短评内容': '房间挺小的 风格和如家之类的快捷酒店差不多 卫生间真的是超小 而且滴漏是坏的 洗澡都成泡脚了 门上也没有胶垫 根本关不上 水直接跑屋里了 把屋里擦了遍 床单有污渍 房间没有免费的矿泉水 也没有纸巾 只有卫生间有一点点手纸 床舒适度还行 空调有问题 那么小的房间死活吹不热 窗外有施工 夜里会吵点 拉上窗帘还是会有光很亮 前台的态度一般 离地铁口很近 出了呼家楼e口就能看到指示牌了 总体来讲 对不起这', '短评打分': 2}
{'短评内容': '新装修的很不错，干净', '短评打分': 5}
{'短评内容': '离地铁站很近，很方便，环境也比较安静', '短评打分': 5}
{'短评内容': '离地铁站很近，很方便，环境也比较安静', '短评打分': 5}
{'短评内容': '酒店装修和环境一般，中规中矩的，位置很好，从地铁口出来往右一转就到了！二星的酒店，奢望不多，不过床确实也太硬了！', '短评打分': 4}
{'短评内容': '主要是离公司近，方便而已，就是宾馆，谈不上什么服务。', '短评打分': 3}
{'短评内容': '主要是离公司近，方便而已，就是宾馆，谈不上什么服务。', '短评打分': 3}
{'短评内容': '主要是离公司近，方便而已，就是宾馆，谈不上什么服务。', '短评打分': 3}
{'短评内容': '酒店位置很好，三环内，距离地铁呼家楼站很近，出行方便。进入酒店走廊需刷门禁，比较安全。就是房间比较小，没有免费饮用水。', '短评打分': 4}
{'短评内容': '酒店各项指标都非常满意', '短评打分': 5}
{'短评内容': '房间偏小，但是较方便。一般住住还可以。价格还算公道，装修比较欧式，非常有特色，大堂外部装修精美', '短评打分': 4}
{'短评内容': '设施过得去，不提供早餐有点不便。好在酒店地处商业旺地，周边到处是一,小吃店', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '环境一般  离地铁站近  交通方便 好找', '短评打分': 4}
{'短评内容': '房间很一般，里面黑洞洞的', '短评打分': 3}
{'短评内容': '性价比不错，位置很方便', '短评打分': 4}
{'短评内容': '住了两天，房间挺好，干净，离地铁站四百米，厕所空间小了点', '短评打分': 5}
{'短评内容': '住了两天，房间挺好，干净离地铁站四百米，厕所空间小了点', '短评打分': 5}
{'短评内容': '住了两天，房挺好的，干净，就是厕所空间太小，前台态度不太好', '短评打分': 5}
{'短评内容': '酒店得位置很好 交通很方便 店内设施设备还可以', '短评打分': 5}
{'短评内容': '离家近，给一朋友订的，据说还行吧。没得及到房间看。', '短评打分': 5}
{'短评内容': '不错的~很方便~以后还会订~同事很满意~', '短评打分': 5}
{'短评内容': '很好   不错  推荐这家酒店  地理位置   交通', '短评打分': 5}
{'短评内容': '前台服务很好，入住的房间很紧凑，不知是不是周末入住，好房间都订完了。', '短评打分': 3}
{'短评内容': '离地铁站很近，还算方便。门口有2家小吃店，可以用餐，价格也很便宜。\n酒店就地理位置而言，性价比高。只是房间小了点，卫生间也很小，一个人住还行，两个人，除非是情侣或夫妻，否则就尴尬了。', '短评打分': 5}
{'短评内容': '十分老旧的酒店 房间太小了。酒店内的乌兹别克风味餐厅宰人太狠。', '短评打分': 1}
{'短评内容': '位置很好，靠近地铁站。酒店很有特色。', '短评打分': 3}
{'短评内容': '没有电梯，房间小。不太好找。。。。。。。', '短评打分': 1}
{'短评内容': '房间好小，没有电梯，跟照片上的样子差得远了。若不是因为位置才不会定这里...', '短评打分': 1}
{'短评内容': '不讲信誉，明明说好的房间保留到晚上12点，就因为堵车，耽误了2个小时，之前在网上说的是7点到晚上12点入住，结果8点多到的酒店，然后就给我们留了个3人的商务房，明明定好的商务大床房，信誉呢？说好的不是把房间留到12点吗？不能兑现就不要给别人承诺，更不要指望别人相信你们的服务态度，明明没有房间了还找因为迟到的借口让我们住3人商务房，有哪家酒店是这样对待顾客的？还有就是明明说的是免费上网，可是连上网线', '短评打分': 1}
{'短评内容': '房间实在太小了，地角还可以，但是不是很方便，服务人员非常热情。', '短评打分': 1}
{'短评内容': '卫生和服务态度都很不错,对得起这个价格!', '短评打分': 3}
{'短评内容': '地处繁华城市中心，性价比尚可。期望改善设施和环境卫生。', '短评打分': 5}
{'短评内容': '离国贸展馆很近,两站地铁从E出口出去就是展馆.北京西站右手边坐301公交到地铁一号线军博站,然后在国贸站转10号线两站,从D出口出来走几分钟到酒店,楼下就一个小店,8月去时还两个,吃饭的地方较少,购物不方便.总得来说还可以', '短评打分': 5}
{'短评内容': '地理位置不错服务也还不错', '短评打分': 3}
{'短评内容': '离主干道8分钏步行，闹中取静。适合小住。地铁口暂封，但通的话，还是很方便的。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': ',还不错,虽然房间小,感觉还可以', '短评打分': 3}
{'短评内容': '半夜有蚊子，我被叮醒了~！！！！！而且隔音效果很差，酒店的房间很小啊，一进门就有一种很拥挤的感觉，不推荐', '短评打分': 1}
{'短评内容': '唯一的优点：位置好。邻近CBD，很方便。\n缺点：1.床非常差，所谓大床是两个单人床拼接起来的，很硬。2.酒店设施很老化，竟然无电梯。。。。。3.周围北京平民阶级会在此酒店举办婚礼，非常吵，非常吵4.服务很差不说，客人寄存个行李竟然还要收费！这个简直不可理喻。如果是收费的话，你弄的专业点，有个行李房也行，把客人行李往前台一扔，就算寄存了。天啊，之前期待它是该价位的中等标准，现在看来，是我这几年住过的', '短评打分': 1}
{'短评内容': '无电梯，隔音效果差，比较吵。\n设施较陈旧。\n前台有些项目用小本子记录，服务速度慢。\n交通很方便。', '短评打分': 1}
{'短评内容': '很一般，还不如200多元的商务酒店，房间要个电源插板另收100元押金。没电梯，周边交通不太方便，离公交、地铁站较远，打的要步行约500米走到路口。', '短评打分': 1}
{'短评内容': '位置不错，服务不错，设施有点陈旧。', '短评打分': 3}
{'短评内容': '非常悲剧，连电梯都没有，如果不是当晚找不到别的地方，我是绝不会预定到此的。。\n订这家实在一个大失误。\n\n\n', '短评打分': 1}
{'短评内容': '怎么说呢~位置吧 确实还不错 很方便 交通便利吧！\n价格也算是比较便宜的。酒店虽然的确老了点，但是各方面也不是那么差劲儿的~\n凑合吧！什么都不错。最烦人的有时候老外很闹·', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间干净，位置还可以，价格不贵，不足的是当时住的是一楼，窗户有外有墙挡着不见阳光，不太好。总之还可以。', '短评打分': 5}
{'短评内容': '价格还算公道 交通也挺方便 离工体比较近\n但是整体感觉不太舒服 可能跟价格还是有关系的\n房间不大 床也不怎么舒服 因为看演唱会的原因才定个近的', '短评打分': 5}
{'短评内容': '开始看过网上的评论还有些担心，后来入住了证实条件还是不错的，如果按门市价入住就有点贵，在网上提前订比较实惠。', '短评打分': 5}
{'短评内容': '房间小，不是特别干净，马虎能住吧，下次不会再选择入住了', '短评打分': 1}
{'短评内容': '酒店房间是我住过最小的一间了，洗手间也很小，周边了行还算方便', '短评打分': 5}
{'短评内容': '酒店的设施不是很完善，连电吹风都没有，老婆洗过头后，花了一个晚上才把头发捯饬干，基本上就没睡好。', '短评打分': 1}
{'短评内容': '该酒店最大的好处就是交通方便，无论是去公交车站还是地铁站，都很近。我们去王府井等热门景点，都只需要坐一辆公交车就能到达。缺点是酒店服务不是很到位，浴帽/拖鞋等时有时无。', '短评打分': 5}
