{'descr': '还行吧，住一晚上问题不大', 'star': 5}
{'descr': '还不错吧，对得住这个价', 'star': 5}
{'descr': '酒店性价比很好，适合商务出差，基本设施都能满足，毕竟价格很便宜。', 'star': 4}
{'descr': '酒店价格很便宜，出差睡觉基本满足，空调比较老晚上睡觉有噪音设备略显陈旧，不过性价比合适，不要要求过高！', 'star': 4}
{'descr': '还行还行吧', 'star': 3}
{'descr': '服务态度 挺好的', 'star': 5}
{'descr': '房间有种中世纪风格，就是厕所略小，洗浴体验不佳！', 'star': 3}
{'descr': '还好，就是旧了点，卫生不是很好，卫生间不是很干净', 'star': 5}
{'descr': '挺好的   交通方便   周围吃饭也方便   就是不能刷卡消费                                      ', 'star': 5}
{'descr': '还可以，就是电话和网络有点纠结～', 'star': 3}
{'descr': ' 性价比不错。', 'star': 3}
{'descr': '龙艺很好，我们订的房间没有了，马上给我们升级了房间。至于酒店，给我们的房间在招牌旁边，夜晚也是亮的，基本不知道白天黑夜，影响睡眠，卫生间有很多小虫子。交通不便，但对得起这个价。', 'star': 5}
{'descr': '酒店设施总体不错，比较干净。值得信赖。旅途中很好的选择。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '地方不好找，但是很有情调，电视看不清床的条件也差，洗浴就更差了，也就是招待所的档次', 'star': 1}
{'descr': '这里的服务不错，设施还算齐全，住着还比较舒适。', 'star': 5}
{'descr': '酒店总体感觉还好，性价比挺高的。', 'star': 5}
{'descr': '卫生和服务还不错，位置有点偏，价格还算合理。', 'star': 3}
{'descr': '环境挺清静的，周边交通一般，自驾车还比较方便。', 'star': 3}
{'descr': '不错的酒店！就是没有刷卡..............................................................', 'star': 5}
{'descr': '酒店的外观不错，走到里面的装修也挺好看的，喜欢。前台的姐姐服务态度挺好的。房间里面简单而有情调，而且很宽敞呢。总体来说都很满意。', 'star': 5}
{'descr': '宾馆地理位置有些偏，不过服务不错，房间设施也可以，就是住的那间屋子空调半夜坏了，总体来说性价比比较高', 'star': 5}
{'descr': '总体不错,卫生不错,位置较偏，性价比还好。', 'star': 5}
{'descr': '这家酒店若说性价比呢还可以 服务态度也还好 就是比较偏 找起来未必容易', 'star': 5}
{'descr': '房间有点小，洗澡的时候下水道堵了，其他还好。', 'star': 5}
