{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '早餐7点，比较早离店没吃饭，装修风格挺好，位置很好，卫生间卫生需加强', '短评打分': 5}
{'短评内容': '房间隔音太差，晚上睡一半被外面的说话声吵醒。周边的环境还不错，楼下走几步就有很多吃的，服务也还不错。', '短评打分': 4}
{'短评内容': '设施旧，连个牙杯水杯都没有，沐浴露也没有', '短评打分': 3}
{'短评内容': '还不错………', '短评打分': 5}
{'短评内容': '总体来说比较舒服。', '短评打分': 4}
{'短评内容': '卫生还好 没有很干净', '短评打分': 5}
{'短评内容': '一般，有时候价格比实体店还贵些。', '短评打分': 3}
{'短评内容': '挺好的   不错     推荐   推荐   推荐', '短评打分': 5}
{'短评内容': '床特别软    设施很一般', '短评打分': 5}
{'短评内容': '还行吧，就是方便', '短评打分': 3}
{'短评内容': '还好吧，插板都要掉了，给前台说了，但是没去弄，尴尬，', '短评打分': 3}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '周边商圈，干什么都方便，床垫较厚，较软', '短评打分': 5}
{'短评内容': '周围环境不错', '短评打分': 5}
{'短评内容': '打扫的不干净', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '地理位置很好，近BRT站，還近食街，十分滿意', '短评打分': 5}
{'短评内容': '整体来说还不错，对得起那个价。能打八十五分！', '短评打分': 4}
{'短评内容': '环境很好，就在牛庄里面。外面吃的美食海鲜很多。房间环境设施还不错，二百多块钱的价格，很是物超所值。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
