{'短评内容': '房间舒适干净 住的不错', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '房间隔音很好，干净卫生，前台小王妹子服务很好，早餐很丰富，下次的还来', '短评打分': 5}
{'短评内容': '都可以', '短评打分': 5}
{'短评内容': '环境不错，交通方便，旁边路口有夜市，广场下面的是大超市。', '短评打分': 5}
{'短评内容': '房间有点小，不过也还好。酒店很好找，在闹市里买东西之类的还是非常方便的，客服也不错，唯一不安逸的就是12点就要退房', '短评打分': 5}
{'短评内容': '房间大小合适，就是没有窗户，有点潮，服务员态度很好', '短评打分': 4}
{'短评内容': '非常舒服，有家的感觉！', '短评打分': 5}
{'短评内容': '酒店各方面条件还行', '短评打分': 5}
{'短评内容': '不错，服务态度好', '短评打分': 5}
{'短评内容': '一般吧，，，窗子打开居然是一面墙，，我去', '短评打分': 4}
{'短评内容': '还是阔以的', '短评打分': 4}
{'短评内容': '总体来说还行吧 就是卫生差了一点', '短评打分': 5}
{'短评内容': '早餐味道一般，但是这个价位有早餐已经不错了哈！现在早餐时间改成最晚12点太方便了，不错，而且酒店很信任顾客 ，也未交押金，房间的东西也撤了，总之觉得挺好。服务态度一直很好！', '短评打分': 4}
{'短评内容': '挺好 很安静', '短评打分': 5}
{'短评内容': '当地的商务酒店，设施一般，不如品牌连锁酒店好。', '短评打分': 1}
{'短评内容': '整体环境不错.在同类中算价格较高的.', '短评打分': 3}
{'短评内容': '彭州比较好的酒店吧，住住还可以的。不过毕竟不能和大地方的比，', '短评打分': 5}
{'短评内容': '在彭州算是很不错的酒店了，凑合住吧！！！在彭州算是很不错的酒店了，凑合住吧！！！酒店旁有个夜总会哦！！！', '短评打分': 5}
