{'短评内容': '马桶看着你睡觉，你会谁得好吗？(ﾉಥ益ಥ)还有味道！', '短评打分': 1}
{'短评内容': '旅店真是没话说，就像住在民房一样，既简陋又没有热水，不愉快', '短评打分': 3}
{'短评内容': '太脏乱了   其实离火车站不近  要打车走的   满地的污渍   墙上也是', '短评打分': 1}
{'短评内容': '很脏 设备不完备 服务一般 很吵 没有热水 价格也不便宜 不能刷卡 没有房卡 感觉不太安全 本来定了五天 住了一个晚上后果断退房走人 始终认为该决定是很明智的!', '短评打分': 1}
{'短评内容': '房间很小，地板脏，WIFI收不到，', '短评打分': 3}
{'短评内容': '卫生差，而且卫生间还是开放的，一个帘子拉着，房间镜子全部看的到', '短评打分': 3}
{'短评内容': '卫生差，而且卫生间还是开放的，一个帘子拉着，房间镜子全部看的到', '短评打分': 3}
{'短评内容': '入住的房型迷你,卫生间在床边,但卫生蛮干净,就是旅客开关门声音较吵,房间隔声不是太好,但这个价格还是符合心理预期,好评。', '短评打分': 4}
{'短评内容': '舒适干净整洁', '短评打分': 5}
{'短评内容': '没有热水，没有毛巾，电视是坏的，被子有味道，蚊子还很多，住了一晚上，感觉非常不好', '短评打分': 2}
{'短评内容': '房间环境还行，85元的价格基本也就这样，旁边风景不错。', '短评打分': 4}
{'短评内容': '蛮好的，挺干净的，位置也不错。', '短评打分': 5}
{'短评内容': '酒店位置方便，靠近体育中心，旁边就是体育中心站和南湖公园东门站，坐公交车很方便，到火车站只需要10分钟。到厦大或者海边也都有直达的公交车。住了一个多星期，但是酒店前台说无法开具发票，这个很难接受，商务人士不建议考虑。', '短评打分': 4}
{'短评内容': '酒店位置方便，靠近体育中心，旁边就是体育中心站和南湖公园东门站，坐公交车很方便，到火车站只需要10分钟。到厦大或者海边也都有直达的公交车。住了一个多星期，但是酒店前台说无法开具发票，这个很难接受，商务人士不建议考虑。', '短评打分': 4}
{'短评内容': '酒店位置方便，靠近体育中心，旁边就是体育中心站和南湖公园东门站，坐公交车很方便，到火车站只需要10分钟。到厦大或者海边也都有直达的公交车。住了一个多星期，但是酒店前台说无法开具发票，这个很难接受，商务人士不建议考虑。', '短评打分': 4}
{'短评内容': '感觉很舒服、工作人员态度非常好。这是此趟厦门行最喜欢的一家。', '短评打分': 5}
{'短评内容': '很干净，酒店的工作人员服务态度非常好！下次去厦门还会入住！', '短评打分': 5}
{'短评内容': ' 很环保 舒适', '短评打分': 3}
{'短评内容': '房间一般 就是洗手间的设计出乎人的意料 可能是让人觉得空间大点吧  态度也不错 其他都在完善中 卫生清洁就很一般 网络不稳定 自备电脑', '短评打分': 5}
{'短评内容': '还是马桶设置的为止有点怪异。其他没问题。顶。', '短评打分': 5}
{'短评内容': '干净。靠近筼筜湖，晚上出来逛逛的话，夜景不错。价格实惠，推荐入住。。。。。。', '短评打分': 5}
{'短评内容': ' 房间蛮干净，但不提供任何洗漱用品。喝的热水和吹风都在外面，公用的。', '短评打分': 3}
{'短评内容': '服务态度不错，100全国都那样。。。字数', '短评打分': 5}
{'短评内容': '虽然小了点，不过很干净，刚开始营业，设备也很新……旅游的话是不错的选择…', '短评打分': 3}
{'短评内容': '有点小，不过很舒适。价格也便宜，很不错的说。', '短评打分': 5}
{'短评内容': '小是小了点，对于出来旅游的基本没有什么影响，不过这个卫生间希望改进一下', '短评打分': 5}
