{'短评内容': '态度特别好', '短评打分': 5}
{'短评内容': '老板热情，服务态度好', '短评打分': 5}
{'短评内容': '老板热情，积极解决问题', '短评打分': 5}
{'短评内容': '态度特别好', '短评打分': 5}
{'短评内容': '卫生和服务态度都特别好，就是现在过去还是有点冷', '短评打分': 5}
{'短评内容': '位置就在南岩宫对面，房间还不错，空调很给力。', '短评打分': 4}
{'短评内容': '我是冬季住的，总的来说是不错的，房间数才不到20间，配套的餐馆一碗鸡蛋面20元，份量足价格不贵。', '短评打分': 4}
{'短评内容': '游武当山，住南岩客栈！外面小雨阵阵冷的要命，其实房间里温暖如春，不知道为什么之前有评论很冷？因为特别特别贴心的是居然有电热毯，对于住在山里来说简直太人性化！', '短评打分': 5}
{'短评内容': '酒店就在南岩停车场边上，爬山累了可以马上到房间冲个热水澡休息，实在是很舒服很方便，工作人员都很热情，除了洗澡的花洒不太给力，其它设施都OK！早餐吃茶叶蛋 馒头玉米粥没有其他花样，但是这样也好，吃的踏实健康，饱饱的！这次连住两晚，下次有机会来武当还会选择住这！', '短评打分': 5}
{'短评内容': '房間不是太好。樓上裝修好噪。我是淡季去霧氣太大了', '短评打分': 5}
{'短评内容': '酒店位置很好，就在武当山乌鸦岭停车场旁边，对面就是徒步去金顶和南岩的山路。办理入住的时候前台小妹直接说你是不是xxx，等你半天了。酒店内部挂满了武当山的美景照片，很温馨。房间满大的，热水也很给力，空调刚打开的时候升温很慢，不过开了半小时慢慢也就好了。房间有凉拖和一次性拖鞋，洗手盆是青花瓷的那种，跟景区的风格很搭。爬了半天山后晚上睡得很好，大床也很舒服，凌晨三点元气满满醒来，趁着清凉月色漫天星光赶路', '短评打分': 5}
{'短评内容': '因为在山里，四周贴了瓷砖，所以地板和墙面非常潮湿', '短评打分': 4}
{'短评内容': '不错的酒店，只是天公不做美让人感觉差些，早餐差了些，其它可以接受。', '短评打分': 4}
{'短评内容': '服务好设施好', '短评打分': 5}
{'短评内容': '价格贵，房间小、潮湿，不值。员工服务态度尚可。与山下建国饭店是一家。', '短评打分': 3}
{'短评内容': '不错的客栈，如果时间充足可以多住两天，味道武当是快餐，要是能有套餐就是会多了。。。', '短评打分': 5}
