{'短评内容': '位置比较好找，老板人很随和', '短评打分': 5}
{'短评内容': '在巷子深处。老板帅气热情。比较安静。就是一个人搞这么温馨。让我到底是有想法呢还是有想法呢', '短评打分': 5}
{'短评内容': '价格各方面挺适合。   出行也很方便。', '短评打分': 5}
{'短评内容': '周围很安静，第一次找有点困难，之后就发现很方便的，离木府很近，出门右转2-3分钟即可到达，还在老板这里预定的玉龙雪山一日游和拉市海一日游，真的没其他消费，而且雪山那天的导游胖金妹也很好很热情，房间布置的很温馨像回到家的感觉呢', '短评打分': 5}
{'短评内容': '宁静，舒服，自在……', '短评打分': 4}
{'短评内容': '老板人很好，住的很开心，推荐哦！', '短评打分': 3}
{'短评内容': '还不错。…………………', '短评打分': 3}
{'短评内容': '掌柜人实在又热情、房价不贵且干净，挺好', '短评打分': 3}
{'短评内容': '门前有一棵石榴树，庭院也很漂亮，老板是80后，帮我们安排了去雪山路线，非常方便，房费便宜，房间漂亮，晚上很安静，出去两分钟就是古城，以后朋友来推荐。', '短评打分': 5}
{'短评内容': '服务好客栈位置好方便逛古城', '短评打分': 3}
{'短评内容': '不错,比较安静!', '短评打分': 3}
{'短评内容': '挺好的客栈，环境优美，比较安静。地址就在古城内，在忠义市场下车几分钟就到了，当时从正门进去的，找了好久，幸好老板娘找人来接我。', '短评打分': 5}
{'短评内容': '客栈的风格不错，房间也不错，只是交古城保护费这件事挺让你耿耿于怀的，老板娘人很泼辣~', '短评打分': 5}
{'短评内容': '酒店位置不错，环境也不错！老板人很好，不过价格在网上订还是贵啊！\n后来我们从香格里拉回丽江司机介绍的酒店环境好很多也就100，就在古镇停车场附近，推荐驴友们自己到了古城多问几家货比三家！能省40%多呢！', '短评打分': 5}
{'短评内容': '客栈从老板到服务员服务员个个太度很好，卫生很好，住得舒服，入住有家的感觉，我会介绍朋友彧有机会再住。', '短评打分': 5}
{'短评内容': '来丽江玩的很开心，住的更是舒服   ‘青荷田园风情客栈 ’是一个值得入住的家一样的客栈，这里有安静的小院，可爱的狗狗、勤劳的小妹、做川菜好吃的婆婆、更有事事安排周到的老板娘小雪、希望小雪的生意越来越好！下次一定要介绍你老公给我认识哦！下次一定还来你们家！', '短评打分': 5}
{'短评内容': '硬件还可以，服务态度好，在古城区里位置好，', '短评打分': 5}
{'短评内容': '大年初一我们一家四口入住客栈，感觉这家客栈交通方便，环境优美，干净舒适，老板热情好客，真有到家的感觉！值得入住！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '老板娘相当热情，因为我们要赶早出发，一早就起来给我们准备早餐。我们当天晚上还赶上了烧烤，哈哈。房间虽然有点小，不过布置得很温馨也很干净，床很舒服。P.S.我定的是蜜月大床房', '短评打分': 5}
