{'descr': '环境不错，服务态度很好。', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '无有早餐，美没有停车位，但好在有窗', 'star': 5}
{'descr': '统一的房间，有20几间，房间内无窗只有一门，公用的洗漱卫生间浴室都在外面，不在室内，这是跟江浙的青旅不一样的地方……', 'star': 4}
{'descr': '不错，住的舒服，换了单人房以后加分，还是有隐私住的舒服。', 'star': 5}
{'descr': '房屋整洁，前台人非常好！', 'star': 5}
{'descr': '房间在装修，环境其实很一般，国际二字有点名不符实。', 'star': 5}
{'descr': '不错，价格很好，位置很好，短住佳', 'star': 5}
{'descr': '房间位置比较好，不过真的非常粗糙！', 'star': 4}
{'descr': '青年旅舍的环境挺好的，而且离清华和北大很近，到清华北大玩很方便。入住的大部分都是学生，还有一些外国人，可以在这里认识一些朋友，和来自各个地方的人聊天也非常棒！好像还可以自己做饭吃。', 'star': 4}
{'descr': '没啥好说的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '很惬意的环境，卫生很好！', 'star': 5}
{'descr': '如果想晚上睡好就别订多人间了～太影响睡觉了～凌晨一点还不关灯不睡觉～整得咯吱咯吱的影响别人～～在这常住的某些自称学生或者实习生素质low～前台服务地理位置不错', 'star': 3}
{'descr': '晚上开放到12点的活动区很吵，空调老化没有暖气，不舒服', 'star': 4}
{'descr': '地理位置非常的方便，做地铁和公交，都便利，楼下有个超市，买东西也近，去住的时候，前台小哥还组织火锅party，邀请了很多人，特别温馨，舒服。特别是有许多外国人，都挺好玩，可以练习英语，哈哈。下次有机会再来这', 'star': 5}
{'descr': '第三次来住了，感觉比以前干净了很多，环境也改变了，总体有很大的进步。我们家人都很喜欢这里！！下次还来这住，值得推荐~~', 'star': 5}
{'descr': '听朋友介绍的这家酒店，很不错！前台的服务员很热情礼貌，还主动帮我们的大箱子送到房间，瞬间觉得好有爱。房间也很整洁，值得推荐！！', 'star': 5}
