{'descr': '酒店不错。', 'star': 3}
{'descr': '已入住酒店，酒店房间很窄，设备设施一般', 'star': 3}
{'descr': '硬件和服务都一般。整体浴室。电视太小。床单起球。', 'star': 3}
{'descr': '7月19日入住海拉尔宜必思酒店，双标间卫生条件不错。比较安静。就是床有点窄，只有90公分宽。时值旅游旺季，价格比较贵。', 'star': 3}
{'descr': '很好的快捷酒店。', 'star': 3}
{'descr': '服务非常不好！\n1、房间没有蚊香，问客房要，说是我们忙，自己下来拿，要20的押金！\n2、早餐，签单，结果都空了，没有吃的，然后退了，结账是还给我算上去，我重新说明后才能退了！\n3、电视，只有15个频道，还有两个没有显示，问前台，说我们是卫星电视，只有这个几个台！\n4、服务员服务态度非常不好！虽然是旺季人多，你忙，但是服务态度也跟着下降！', 'star': 1}
{'descr': '快捷酒店只要干净卫生就行，在这旺季里，没失这标准就算满意。', 'star': 5}
{'descr': '这个季节来就只能不嫌贵，服务人员周到不周到自己有心里准备就行，谁让咱来凑热闹。', 'star': 5}
{'descr': '旅游旺季价格高也没有办法，定了个三人间,给了个标房加床,结果房内没有桌子了,卫生间是一体的，比较紧凑。', 'star': 5}
{'descr': '酒店设施和一般连锁酒店差不多，位置不错，晚餐后出门散散步，河风清扬，感觉挺好的，这个价格感觉有点贵。', 'star': 5}
{'descr': '酒店设计挺有现代感的，装修比较有特点，卫生间是整体浴室，就是房间电视是液晶的，就是比较小，20寸左右吧，台也比较少，不到20个吧', 'star': 5}
{'descr': '地理位置很好，过桥就是商业中心，房间大，价格比较适中，适合商务，旅游。', 'star': 5}
{'descr': '服务不错，空间再大一点就好了。旅游旺季的价格肯定会很高', 'star': 5}
{'descr': '优点：\n1、位置相当好，临近河边，西侧房间可以一览易敏河风光，夜景很美。\n2、交通方便，楼下出租车随时有。\n\n缺点：\n1、服务意识很差劲，到店当晚，气温骤降，夜里被冻醒，5月就已经换成毛毯，一点不保暖，打电话找前台，说酒店只有她一人值班，走不开，我只好蜷缩着，还咳嗽不断，凌晨5点多挨不过去了，再打电话，前台说让保安给送上一条没有被罩的棉被，并说宜必思就这样，夜里只有1人值班，无语了~~\n\n2、早晨', 'star': 5}
{'descr': '酒店环境不错,房间内卫生整洁.比较安静.前台服务员热情善良.非常耐心.非常职业.下次还会来的.', 'star': 3}
{'descr': '酒店很干净,与商业中心一桥之隔,安静。', 'star': 3}
{'descr': '干净整洁的一间酒店，床品有些陈旧，其他的一切都好', 'star': 5}
{'descr': '安静，干净，一楼餐厅平常还可以会客，挺方便的', 'star': 5}
{'descr': '为什么我的消费卷不能用怎么用告诉一下酒店要是在序一天就得交正常价129元不知能否解调一下', 'star': 3}
{'descr': ' 房间卫生干净  地处环境位置优越', 'star': 3}
{'descr': '房间整洁，交通便利，性价比较高，今后还会考虑入住。', 'star': 5}
{'descr': '没有电脑', 'star': 3}
{'descr': '相对其他酒店的性价比还是可以的，位置也还基本能够接受，环境还好，就是床小了一点，这是风格没有办法', 'star': 5}
{'descr': '环境不错，服务也可以。就是暂时没有早点，附近商店有点远。零下30多度买个打火机走了5分钟，酒店不提供火柴或火机。', 'star': 5}
{'descr': '酒店环境不错，很干净。服务态度也可以，但是缺少大城市服务员那种热情…总体感觉不错…', 'star': 3}
{'descr': '帮同事订的，回来说位置不错，房间可以，挺干净的。', 'star': 5}
{'descr': '位置不错，很安静，环境很好，住的很温馨，服务也很好。', 'star': 5}
{'descr': '房间是很干净的，但是家庭间和普通的大床间是一样大的，多出来的一张单人床是紧靠窗户的，窗户透风，睡觉时感觉凉凉的，一觉醒来就感冒了', 'star': 1}
{'descr': '的确是二十四小时的热水，环境很好，地理位置也相当不错。', 'star': 5}
{'descr': '晚上赶上停电不说，温度简直不敢恭维，比外面暖和不了多少。早餐更郁闷，一共还没有22样呢，竟然22一位。下次再不会去了，而且服务人员超拽。', 'star': 1}
{'descr': '住起来还行，就是又点冷~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
