{'短评内容': '提前订的酒店很实惠', '短评打分': 5}
{'短评内容': '还可以，房间挺大的', '短评打分': 5}
{'短评内容': '快捷酒店的水平', '短评打分': 4}
{'短评内容': '快捷酒店的水平', '短评打分': 4}
{'短评内容': '还行吧，性价比可以的，交通也方便的', '短评打分': 5}
{'短评内容': '酒店位置很好，离火车站位置很近，早餐我没在酒店吃，旁边就是新四方大食:堂，里面的炒年糕是当地特色，合我口位，还有老字号牛吃草牛肉面不错，另有吉祥馄饨，其它快餐，海鲜等，吃饭非常方便。特别值得一提的是旁边的亚州华园酒店楼下，就是去哪网所订普陀山和奉化溪口旅游早晨集合地，太方便了。另外旁边的妇儿医院公交站，车次非常多，去哪却都方便，晚上去天一阁广场三站地药行街下，去‘缸鸭狗’吃特色，去亚细亚的‘小时候', '短评打分': 5}
{'短评内容': '还可以吧，住的一楼，至少很安静。。。', '短评打分': 5}
{'短评内容': '距离火车站有点远。走路10分钟以上吧', '短评打分': 5}
{'短评内容': '没入住！也没店家联系方式，还不能退！', '短评打分': 3}
{'短评内容': '整体还可以，比较方便，就是稍微隐蔽了点', '短评打分': 5}
{'短评内容': '交通方便，居住安静，四周店铺多，饮食购物方便，离火车站近，走过去很方便。房间干净，服务也不错，性价比高。', '短评打分': 5}
{'短评内容': '交通很方便，离火车站就一条街的距离，步行十五分钟。关键去普陀的旅行团早上6点15分，都是在亚洲华园门口集合，就在楼下转个弯就到了。集合方便，周边饮食也方便，楼下小巷子海鲜，馄饨，湘菜都有。早上6点楼下旁边新四方食堂很多中式早点，2碗河粉1碗粥才8块，可惜要跟团，只能带走，没时间坐下吃其他的。旁边还一个24小时营业的肯德基，还有永和豆浆，永和豆浆旁边的东北菜馆，居然有烤鱼吃，烤鱼+蔬菜一份，82块，', '短评打分': 5}
{'短评内容': '靠近火车站，方便快捷，整体跟干净出差首选', '短评打分': 5}
{'短评内容': '就是空间有点小，推荐使用如家app，单独会员价格不如网上单买，有直饮机很不错，推荐', '短评打分': 5}
{'短评内容': '标准如家的风格，房间内也没有什么太多的设施，比较简洁。就是有散发小广告的，而且晚上也有敲门的，感觉有点不太安全。', '短评打分': 4}
{'短评内容': '下午5点多到前台办理入住手续，开的房间是403，坐电梯上4楼后进房间门打不开!!  无奈返回前台，前台重新刷了一下门卡，返回4楼后进门门终于可以打开了，但房间灯打开不亮!!! 。。无奈第2次下楼去前台，前台说门卡有问题，给换了一张门卡，重新返回4楼房间，门可以打开，房间灯可以亮了，但空调开了20分钟没反应!!!!!!!打电话给前台叫人上来检查空调坏了!!!!! 真是无语了........酒店的设施', '短评打分': 2}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '交通方便，位置很好，就是挨着工地…', '短评打分': 5}
{'短评内容': '代人定的，没有什么不好的反馈', '短评打分': 5}
{'短评内容': '挺方便，离火车站很近的，北广场步行十多分钟就到了。但前台服务质量有待提高，卫生间气味恶心，毕竟价格便宜嘛。', '短评打分': 4}
{'短评内容': '价格合理，很舒适，很干净。', '短评打分': 5}
{'短评内容': '位置太好了，离汽车南站﹑火车站都只有五－十分钟的路。到天一阁﹑城隍庙﹑月湖都很近。吃饭的地方也很多。前台服务也不错。就是房间隔音不好，走廊的声音很清晰。不过出来旅游，大家都已经很疲倦了，也自是偶尔才有声音。', '短评打分': 3}
{'短评内容': '酒店很不错，离车站很近，交通很便捷，外面就餐的地方也很多，很不错', '短评打分': 5}
{'短评内容': ' 如家一贯的风格，性价比高，位置好，工作人员态度特别好。', '短评打分': 3}
{'短评内容': '如家环境好，早饭比较丰盛可口，可以满足不同年龄人饮食需求！', '短评打分': 3}
{'短评内容': '环境还行，价格比较合适', '短评打分': 3}
{'短评内容': '还行吧，就是窗帘不咋挡光，遮的不够严实，大夏天的很早天就亮了，有点刺眼', '短评打分': 5}
{'短评内容': '一层的房间有点小，蚊子多，有点潮湿。建议住楼上的房间', '短评打分': 3}
