{'短评内容': '房间不错，值得推荐', '短评打分': 5}
{'短评内容': '不错，出差常选择的酒店！', '短评打分': 5}
{'短评内容': '太热了', '短评打分': 3}
{'短评内容': '挺安静的，环境还可以。', '短评打分': 5}
{'短评内容': '宾馆还是可以的', '短评打分': 4}
{'短评内容': '这个酒店装修挺不错的，早餐不错，入住送了干果，还赶上两回送果盘儿，就是新装修的屋里还有味。', '短评打分': 5}
{'短评内容': '刚回家哦加班不伙计不能接刚回家你姐姐', '短评打分': 5}
{'短评内容': '不错的酒店，交通方便', '短评打分': 5}
{'短评内容': '房间设施到位整洁', '短评打分': 5}
{'短评内容': '酒店的设施相对陈旧，房间的价格名不副实！酒店的前台经理态度很差，应该算是绝对的差评！不会再选择了！', '短评打分': 2}
{'短评内容': '房间挺大，标间床是1.8米，睡着舒服，有早餐吃还不错，地理位置也很好，出去很方便，整体满意，不错的一次选择', '短评打分': 5}
{'短评内容': '房间挺大，标间床是1.8米，睡着舒服，有早餐吃还不错，地理位置也很好，出去很方便，整体满意，不错的一次选择', '短评打分': 5}
{'短评内容': '地段不错，就是不喜欢房间的点播电视，不好用，片子少，其他都还可以', '短评打分': 5}
{'短评内容': '交通方便，房间宽敞，住得很舒服。早餐品种还可以。', '短评打分': 5}
{'短评内容': '不错，下次来还住这。', '短评打分': 3}
{'短评内容': '很好，出行 吃饭比较方便。', '短评打分': 3}
{'短评内容': '不错，前台服务态度很多。', '短评打分': 3}
