{'短评内容': '睡觉时挂在墙上的画框掉了，如果是玻璃的不堪设想啊。。', '短评打分': 1}
{'短评内容': '还可以，只是停车不方便。', '短评打分': 5}
{'短评内容': '挺好的，住了好几次了', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺好，挺干净的。', '短评打分': 5}
{'短评内容': '很不错，交通方便，卫生整洁', '短评打分': 5}
{'短评内容': '地理位置不错，环境好，客服人员态度也是非常棒，下次旅游还会入住。', '短评打分': 5}
{'短评内容': '确实不错，锦江我感觉是最好的连锁酒店', '短评打分': 5}
{'短评内容': '还不错，京东购物是我唯一选择', '短评打分': 5}
{'短评内容': '很好 一直用这个 质量不错', '短评打分': 5}
{'短评内容': '比美团都便宜，在哪定都一样，肯定定最便宜的，不错很实惠。', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '&hellip;&hellip;，，，', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '暖气不错，缺点是灯有点暗，电视有点小。', '短评打分': 5}
{'短评内容': '暖气不错，缺点是灯有点暗，电视有点小。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境晚上有点嘈，其他都可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '交通便利，来济南一直住这里', '短评打分': 5}
{'短评内容': '酒店非常正规。专业，卫生条件很好，服务态度非常耐心，交通也算方便，吃饭出门很多饭店，总之一切都好，下次还会住。', '短评打分': 5}
{'短评内容': '打电话颠颠簸簸的巴登巴登被别人不如部分斑斑点点吧宝贝', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错，挺干净的，', '短评打分': 5}
{'短评内容': '不错，挺干净，就是同样价格的房间，大小太不一样了', '短评打分': 5}
{'短评内容': '连锁酒店的共性一展无遗', '短评打分': 4}
{'短评内容': 'f房间很大 很不错~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '住了很长时间 房间还是不错的~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间很大 住着不错！！！！！！！！！~~~~~', '短评打分': 5}
{'短评内容': '房间和设施都不错 离大明湖也很近~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '位置很好靠近大明湖，房间是我住过最大的', '短评打分': 3}
{'短评内容': '设施不错 离大明湖也很近~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店位置好 服务好 设施还算比较新 房间宽敞！', '短评打分': 5}
{'短评内容': '酒店很好！位置很好！值得推荐但是价格偏高', '短评打分': 5}
{'短评内容': '位置算是市中心位置了 相对比较安静 放假也挺大的！', '短评打分': 5}
{'短评内容': '环境很好，房间也很宽敞干净，下次还会选择这家。', '短评打分': 3}
{'短评内容': '环境还算可以，地理位置可以，就是周边没有什么饭店和超市，购物不太方便，去大明湖可以步行过去。', '短评打分': 5}
{'短评内容': '酒店位置不错，很多次住那里，交通也比较方便房间比较干净', '短评打分': 5}
{'短评内容': '每次都住这里，环境不错，服务也很好。就是门口不太好打车，需要步行向东走到路口，好在不是很远。', '短评打分': 5}
{'短评内容': '环境还行，挺干净的，就是没有窗户...', '短评打分': 3}
{'短评内容': '酒店的床保持了锦江之星一贯的风格比较舒服 就是停车不是很方便！', '短评打分': 5}
{'短评内容': '这里距离大润发比较近 走路的话10分钟就能到', '短评打分': 5}
{'短评内容': '酒店位置很好，我们住的是大床房，是面朝马路的，但是不是特别的吵，值得推荐', '短评打分': 5}
{'短评内容': '宾馆环境还可以，但是延时退房最晚才到12点半。不好～', '短评打分': 3}
{'短评内容': '环境不错，采光好，房间明亮宽敞，比较安静，不吵，还是比较满意的。', '短评打分': 5}
{'短评内容': '房间很大，很不错，唯一不足就是附近吃饭的地方比较少。 \n', '短评打分': 5}
{'短评内容': '酒店离大明湖不远，步行15分钟就到达。酒店价格不高，房间也很干净。下次出差济南还会入住该酒店。', '短评打分': 5}
{'短评内容': '一如既往地干净，就是位置不是很准确，停车位较紧张', '短评打分': 5}
{'短评内容': '不错的酒店，就是位置稍偏了点，停车不方便', '短评打分': 5}
{'短评内容': '一惯地干净，就是停车不方便的，位置偏了点', '短评打分': 5}
{'短评内容': '还不错吧，酒店的地址很难找呀，停车位紧张', '短评打分': 5}
{'短评内容': '位置太偏了，本想在离山东大学近点，可入住才发现离得太近，后悔了！', '短评打分': 1}
{'短评内容': '环境不错，就是被子太厚了，暖气关了，穿衣服睡的…', '短评打分': 3}
{'短评内容': '酒店所处的位置不错，交通很方便，服务员的态度也不错，只是房间小了一点点', '短评打分': 5}
{'短评内容': '还不错，挺暖和的', '短评打分': 3}
{'短评内容': '酒店很好。，各方面都比较不错，就是空调不能自己调温度', '短评打分': 5}
{'短评内容': '服务很好，暖气很足，舒服.下次还住这里。隔音不是太好。', '短评打分': 5}
{'短评内容': '酒店不错。锦江一贯水准。。就是卫生间太小。\n', '短评打分': 1}
{'短评内容': '住的518，很宽敞，暖气也很热，环境也好。\n早餐没见到炒米饭。\n不太容易打车。\n其他都好', '短评打分': 5}
{'短评内容': '环境很好,单人间有些小,靠马路侧有点吵.\n可以推荐', '短评打分': 5}
{'短评内容': '房间很大，很不错。服务态度也比较好，门口有地方停车，但车位不多', '短评打分': 5}
{'短评内容': '房间很大，很不错，唯一不足就是附近吃饭的地方比较少。', '短评打分': 5}
{'短评内容': '舒适简约，短途休息的绝佳住处，真诚推荐哦', '短评打分': 5}
{'短评内容': '环境不错，采光好，房间明亮宽敞，比较安静，不吵，还是比较满意的。', '短评打分': 5}
{'短评内容': '房间设施总体来说很好。可能是新开不久的原因，挺干净的，唯一不满意的地方是大堂经理和前台服务态度太差了，', '短评打分': 5}
{'短评内容': '房间环境还可以，网速还可以，接待态度一般', '短评打分': 5}
{'短评内容': '位置还不错，条件也很还好，就是早餐过于简单了', '短评打分': 5}
{'短评内容': '房间很小，好像不是我订的标准房A，不推荐。', '短评打分': 1}
{'短评内容': '价格一般，不贵也不便宜，房间还不是不错的。', '短评打分': 5}
{'短评内容': '酒店比较大，总体感觉还不错。房间靠马路，晚上有大车经过，有点吵', '短评打分': 5}
{'短评内容': '房间很宽敞，和网上图片一个样，去景点有3路直达，交通很方便，闹中取静，以后还会来', '短评打分': 5}
{'短评内容': '客房很干净，温馨，服务很好。另外离商场也非常近。', '短评打分': 5}
{'短评内容': '酒店周围很安静，住在7楼还能看看夜景，还不错，很OK', '短评打分': 5}
{'短评内容': '酒店距离大明湖和泉城广场都挺近的，而且打车也方便，酒店设施简易实用', '短评打分': 5}
{'短评内容': '新的房子,非常好!推荐!前台热情,卫生好!强力推荐!', '短评打分': 3}
{'短评内容': '我是要在山东大学老校区附近，可客服人员的安排不合理，让我当晚入住时，找了很久，当时心情真是不好。不过酒店的设施还行', '短评打分': 1}
{'短评内容': '住过很多次了。。。。。。。。。。........', '短评打分': 5}
{'短评内容': '经常住的，比较方便。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这家酒店的各项服务和设施都很完善，洗衣机，冰箱，电视很齐全，环境很好，交通很方便，比起以前住的酒店，很好，性价比很高，比4星级也好看多 \n', '短评打分': 5}
{'短评内容': '网速超级快~服务员态度好，房间大＆宽敞。牙膏是两面针的，卷纸是心相印，给人感觉很干净卫生！早餐还没尝，不知道味道如何。', '短评打分': 5}
{'短评内容': '非常方便，很好！', '短评打分': 3}
{'短评内容': '住过两次了 房间比较干净 地理位置还不错 在一条小街道上 周围挺安静的 临着家乐福比较方便  隔音一般 ', '短评打分': 5}
{'短评内容': '单间的窗户不能打开这点不好，其他都不错.。。。。。。。。', '短评打分': 5}
{'短评内容': '非常不错，性价比高，地理位置好，交通方便。房间面积较大，通风也不错，干净整洁，最喜欢正对空调有个晾衣服的架子。房间非常人性化，一大一小的床正适合我们一家三口。', '短评打分': 5}
{'短评内容': '<锦江之星（济南历山路店）,服务好，干净。去大明湖、黑虎泉等景区非常方便。', '短评打分': 5}
{'短评内容': '地方大，很不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比期望值高很多,赞一个!商务酒店能有这成色的不多!', '短评打分': 5}
{'短评内容': '，房间设施还可以，就是没有停车场，服务太过一般。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错的酒店     就是有点不太安静  呵呵呵呵而', '短评打分': 5}
{'短评内容': '感觉很舒适，价格也相对较合理，唯一不足的是酒店靠近马路，噪音比较大。', '短评打分': 5}
{'短评内容': '交通便利，整体环境安逸舒适，美中不足，房间隔音表过一般。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '管理规范，房间卫生整洁，床很舒服。餐厅比较卫生，不足之处就是早餐品种太单调，今后应完善。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '好！非常满意', '短评打分': 3}
{'短评内容': '最值的推荐的点是，在周六日加端午导致全线涨价的现在，它的单人房价格起码很稳定。。。虽然没有窗，但是无异味，有排气窗和空调就好了，房间家具安排是我喜欢的型，东西也干净舒服，很不错哎', '短评打分': 5}
{'短评内容': '干净整洁，价位能在低一些就更好了，搞点优惠活动。', '短评打分': 5}
{'短评内容': '锦江之星的魅力所在就是房间宽敞、房间干净整洁、布置很温馨。', '短评打分': 5}
{'短评内容': '干净，交通方便，下次还会考虑住。美中不足卫生间淋浴没有玻璃隔断希望以后可以加装。', '短评打分': 5}
{'短评内容': '酒店空间很大，很喜欢！就是那张小床小点，总体来说很干净，不错！', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '刚入住,酒店走廊在刷漆味道太难闻啦!', '短评打分': 3}
{'短评内容': '服务很好很周到，房间环境也不错！', '短评打分': 3}
{'短评内容': '服务态度很好~房间也干净温馨~地理位置还可以~值得推荐！', '短评打分': 5}
{'短评内容': '房间还是一如既往的舒服，尤其是床很舒服。交通也比较便利，下次还来住', '短评打分': 5}
{'短评内容': '房间很不错，虽然小点，但设施教新，服务也比较周到。只是房间内无吹风机，需要自己去前台借用，和没有一个样，很不方便；另外早餐十五，物低所值，小贵。', '短评打分': 5}
{'短评内容': '还行，无功无过,就是地理位置不是特别的好', '短评打分': 5}
{'短评内容': '历山路锦江之星干净卫生，很新很不错', '短评打分': 3}
{'短评内容': '很干净 挺不错 出差住挺方便的 酒店服务在这个价位来说是不错的了', '短评打分': 5}
{'短评内容': '房间很舒适，位置一般，靠马路有点吵，总体不错。', '短评打分': 5}
{'短评内容': '服务态度很不错', '短评打分': 3}
{'短评内容': '第一次入住品牌连锁觉得这家环境很清洁整齐， 我开始对这品牌有信心', '短评打分': 5}
{'短评内容': '环境还可以，就是单人房显得有些小', '短评打分': 3}
{'短评内容': '酒店环境还不错，并且干净卫生，离我要去的地方很近，交通也挺方便的', '短评打分': 5}
{'短评内容': '  本店干净卫生，下次还来', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ':酒店内部设施不错，卫生条件好，挺安静，就是离山大远点，周围吃饭的地方少，没有什么好玩的。', '短评打分': 3}
{'短评内容': '很好 空间很大 交通也很方便 很安静 适合居住   ', '短评打分': 5}
{'短评内容': '地理位置不错，比较安静，就是早餐还需改进。总体不错，以后还会选择', '短评打分': 5}
{'短评内容': '酒店不错，很干净，就是靠近马路有点吵', '短评打分': 3}
{'短评内容': '非常好。', '短评打分': 3}
{'短评内容': '总体还行，隔音效果不是太好，考虑一下，加入早餐，方便客户。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间很干净、很简约，但是靠马路，很吵。', '短评打分': 5}
{'短评内容': '总体很好，就是前台效率有点低，靠马路太吵。', '短评打分': 5}
{'短评内容': '服务很到位，房间感觉很好，交通比较方便，饭菜质量很高', '短评打分': 5}
{'短评内容': '房间布置很简约，很舒适。建议前台配几个手机充电器。下次还会住。', '短评打分': 5}
{'短评内容': '房间干净、噪音小、下次到济南还选这家锦江之星', '短评打分': 3}
{'短评内容': '总体上还是不错的，位置很好，去火车站，飞机场都不远，价格也算是实际。出差住这里还是比较合适的。而且有餐厅，也不算贵。下次过来还住这里。', '短评打分': 5}
{'短评内容': '感觉不错，位置很好，价格也比较合理。。房间很大。就是，打扫卫生的速度比较慢。', '短评打分': 5}
