{'短评内容': '相当差', '短评打分': 1}
{'短评内容': '环境很好，设施齐备', '短评打分': 5}
{'短评内容': '非常不错，性价比高，位置很方便，有停车场。酒店里面环境非常好，带孩子游玩喂鱼呼吸新鲜空气，泡温泉只。需要步行几分钟。', '短评打分': 5}
{'短评内容': '非常不错，性价比高，位置很方便，有停车场。酒店里面环境非常好，带孩子游玩喂鱼呼吸新鲜空气，泡温泉只。需要步行几分钟。', '短评打分': 5}
{'短评内容': '非常不错，性价比高，位置很方便，有停车场。酒店里面环境非常好，带孩子游玩喂鱼呼吸新鲜空气，泡温泉只。需要步行几分钟。', '短评打分': 5}
{'短评内容': '非常不错，性价比高，位置很方便，有停车场。酒店里面环境非常好，带孩子游玩喂鱼呼吸新鲜空气，泡温泉只。需要步行几分钟。', '短评打分': 5}
{'短评内容': '到酒店前台后查询了很久才查到订单，酒店升级了亲子房，超大的床。酒店位置不错，走到峨眉山游客中心坐车几分钟就到了，坐车到峨眉山高铁站也很方便。环境很好，可泡温泉。', '短评打分': 5}
{'短评内容': '酒店所处环境非常好，还是比较满意的', '短评打分': 5}
{'短评内容': '环境不错 就是去的时候刚好碰上装修 还有人在那里开party  有点吵', '短评打分': 5}
{'短评内容': '房间很大，环境挺漂亮的。周末去的，人挺多的', '短评打分': 5}
{'短评内容': '不错哈', '短评打分': 5}
{'短评内容': '当天办理入住手续的前台，态度极差！总体感觉不值300。', '短评打分': 3}
{'短评内容': '还可以，离灵秀温泉很近', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是空调开了一夜没怎么升起来温', '短评打分': 4}
{'短评内容': '环境清静，酒店室内还不错，服务可以，美食和温泉都很近，很方便的，个人或则家庭出游都有多重选择的余地哦', '短评打分': 5}
{'短评内容': '酒店的大床房可以以睡4个人，酒店房间相当大', '短评打分': 5}
{'短评内容': '酒店环境相当不错，象个小公园，有好多住客争相拍照', '短评打分': 5}
{'短评内容': '朋友介绍，很不错，旁边就是温泉，很美', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '住过两次环境不错', '短评打分': 4}
{'短评内容': '酒店距离报国寺观光车乘车处和小吃街都非常近，有点闹中取静的意思。喜欢中式的装修，还配备了电脑。服务员把双床拼成大床。卫生间好像没有灯。。。唯一不足的是隔音不太好，还好周围夜里很安静。', '短评打分': 5}
