{'短评内容': '在山上，感觉非常舒畅，', '短评打分': 5}
{'短评内容': '干净舒服，。', '短评打分': 5}
{'短评内容': '听干净的，有电脑，在小山丘上，环境很不错(*๓´╰╯`๓)♡', '短评打分': 5}
{'短评内容': '很幽静。春节出游，服务差点', '短评打分': 5}
{'短评内容': '设施旧了些，环境不错', '短评打分': 4}
{'短评内容': '感觉不错，是家老宾馆了，环境还不错，卫生也蛮好的', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 3}
{'短评内容': '宾馆在一个小山上，环境确实好，不过房间设施都很旧了，有股霉味，新年入住工作人员很少！', '短评打分': 4}
{'短评内容': '性价比非常差的酒店，感觉没有人在管理！从卫生到早餐都很差很乱，出差十几年，这是我住过性价比最差的酒店，枉我带着家人朋友兴冲冲过去......失望！', '短评打分': 2}
{'短评内容': '门口不远处有家酸菜鱼味造不错', '短评打分': 3}
{'短评内容': '老的酒店，空气很好睡的很安心，十一期间去的7口人住了3天', '短评打分': 3}
{'短评内容': '房间一般，设施陈旧，地摊不是很干净，房间偏贵', '短评打分': 3}
{'短评内容': '酒店位置闹中取静，但是硬件设施老旧，进房间有点味道', '短评打分': 3}
{'短评内容': '宾馆卫生还可以。', '短评打分': 3}
{'短评内容': '优点：环境不错，在半山腰。缺点：潮！霉味重！被褥湿嗒嗒的！', '短评打分': 1}
{'短评内容': '磐安县花台山宾馆坐落于花台山脚下，宾馆依山而建，环境优美，空气清新，交通便利，离镇中心近，方便购物，早上自助餐较丰富，服务管理一般，180元标间设施不错，但没有热水。', '短评打分': 5}
{'短评内容': '由于贵宾楼房间没有，只能住迎宾楼，房间设施较旧，且不太干净。', '短评打分': 1}
{'短评内容': '里面连个热水都没有，房间破破烂烂，早餐还可以（是自助餐）。', '短评打分': 1}
