{'短评内容': '觉得还可以，性价比不错', '短评打分': 5}
{'短评内容': '不好', '短评打分': 5}
{'短评内容': '酒店靠近路边，在鼎盛广场附近，交通很方便，前台接待态度很好，我订的是日式房，房间比较窄，一个人住问题不大，wifi不稳定，空调对着床头，好吵，卫生一般，热水真的不敢恭维，前台解释说，天气有太阳的话，热水能正常供应的，我只能呵呵了，100多块的酒店，估计也就这样了，因为要赶飞机，所以也不挑了！离机场很近，滴滴打车10块左右，10分钟不到就到达了！', '短评打分': 4}
{'短评内容': '还可以，在这样的城市有这样的酒店不错了', '短评打分': 2}
{'短评内容': '酒店一般般', '短评打分': 3}
{'短评内容': '环境还可以，晚上有点吵，隔音不是很好热水来得比较慢。配上吹风机就更好了………', '短评打分': 5}
{'短评内容': '还可以，国庆的房价比平时贵一点……', '短评打分': 5}
{'短评内容': '房间卫生很差！', '短评打分': 2}
{'短评内容': '够大，够舒服，502房间的门锁坏了，经常被吓到', '短评打分': 3}
{'短评内容': '能不评价吗？累的很！', '短评打分': 3}
{'短评内容': '酒店环境不错，位置挺好找的！不过，房间里面有商家的许多“有偿商品”入住的时候幸亏注意看了一下，这是商家的营销方式，可以理解！', '短评打分': 4}
{'短评内容': '第一次住，还不错就是水不热，还有点黄黄的', '短评打分': 3}
{'短评内容': '房一般。不错，停车不方便。', '短评打分': 4}
{'短评内容': '湛江时尚新概念酒店质量还算可以，对得起这个价钱。', '短评打分': 5}
{'短评内容': '哎呦，还有一条。。。主要是本来准备三天走的，后来因为要等一个快递又续了三次。。。推荐！！！', '短评打分': 5}
{'短评内容': '续住的。。。地理位置还可以，农垦医院附近，出行比较方便。。。', '短评打分': 5}
{'短评内容': '续住的，很不错的地方。。。工作人员都很热情。。。下次来湛江还会选择新概念哒。。。', '短评打分': 5}
{'短评内容': '性价比高，性价比高，性价比高，性价比高，性价比高，性价比高', '短评打分': 5}
{'短评内容': '房间干净整洁，没有异味、枕头高度适中，床垫也比较舒服，只是空调较响，滴水声清晰，总以为外面下雨。但性价比高，值得入住。', '短评打分': 5}
{'短评内容': '性价比不错.较卫生.浪漫房适合情侣约会', '短评打分': 3}
{'短评内容': '离农垦医院公交站很近，400米吧。。。这边环境很不错，附近吃的也不算少了。。。店里的服务人员都很热情，有问题都会尽快帮你解决。。。我的电脑一开始上不了网，耽误了她们不少时间，蛮不好意思的，不过后来还是解决了。。。本来准备今天离店的，果断又续费了。。。总之，性价比很高啦。。。', '短评打分': 5}
{'短评内容': '挺小的一个房间，一张床垫放在地上，啥都没有了。。。卫生还可以吧，就是浴巾上发现一条头发。。。位置有点偏，离购物中心较远', '短评打分': 5}
{'短评内容': '还可以，服务较好，设施较旧。ok，凑字数凑字数凑字数。', '短评打分': 5}
{'短评内容': '就是没有无线网络 其他都還好', '短评打分': 3}
{'短评内容': '房间的手绘很有特点，房间也很干净。下次来还住这里！', '短评打分': 5}
{'短评内容': '服务员态度很好，房间大、干净卫生，装修也挺新，手绘画挺有特色，总的来说住的舒服。唯一不足是位置稍偏了点，找吃的要步行一小段路，周围摩托和的士挺多，不太影响出行。', '短评打分': 5}
