{'短评内容': '一直都服务很到位', '短评打分': 5}
{'短评内容': '晚上睡觉时竟然发觉被褥里有一小滩血，由于时间太晚了也没和前台争执，第二天退房时同前台反映了一下，连个补偿措施都没，房费也没打折，只是口头道歉了一下，以后也不敢再住万怡酒店了卫生一点都不到位', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店不错，第一次住，感觉很好', '短评打分': 5}
{'短评内容': '以前觉得还不错的，现在真的不行，尤其是自助餐，简直像集市，什么人都有，根本吃不到什么东西，退房的时候还多收了一遍自助餐的钱，打电话给酒店让退款，已经三四天了还没有到账，不会再去了，真的是差。', '短评打分': 3}
{'短评内容': '酒店房间挺多的，一层几十间，服务态度挺好的，旁边也没有什么美景，不知道为什么叫这个名字，来这边再住一次也是可以的', '短评打分': 4}
{'短评内容': '东西很好，受到广大群众的一致欢迎，就是价格贵了点，请以后改进！！！！！！', '短评打分': 5}
{'短评内容': '好东西，好东西，味道好，包装好，颜色好，便宜的时候多买点！！！！！', '短评打分': 5}
{'短评内容': '好东西，好东西，味道好，包装好，颜色好，便宜的时候多买点！！！！！', '短评打分': 5}
{'短评内容': '不错，房间很大', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '不满意', '短评打分': 3}
{'短评内容': '这一次又让我失望了，朋友们可以看图片，价格高点无所谓，主要是入住的心情，把被子掀开就看到了几个洞，难道酒店就是这么糊弄客人的吗？愤怒……', '短评打分': 3}
{'短评内容': '相对来说奉贤区这个酒店还是比较喜欢的', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '非常好，下次还会住', '短评打分': 5}
{'短评内容': '飞机晚点了，结果没时间去游泳池休闲一下。房间相当大，早餐还真的挺不错，各种吃的，选择很多。', '短评打分': 5}
{'短评内容': '第一次入住~挺好的~期待下次', '短评打分': 5}
{'短评内容': '不错的选择，生活方便，很喜欢！去南桥推荐哦！', '短评打分': 5}
