{'短评内容': '还可以！！', '短评打分': 5}
{'短评内容': '还可以！！', '短评打分': 5}
{'短评内容': '服务好，房间也挺大的', '短评打分': 5}
{'短评内容': '卫生需提高', '短评打分': 4}
{'短评内容': '周围全在施工，不过离八佰伴很近，自己开车比较方便', '短评打分': 5}
{'短评内容': '电话通知我取消了，额', '短评打分': 5}
{'短评内容': '电话通知我取消了，额', '短评打分': 5}
{'短评内容': '来溧阳天目湖旅游，朋友推荐了这家店，果然很近，开车十多分钟就到了。门口有免费的停车场，很大。前台服务员很热情，由于出门冲忙，忘带充电器，还主动借了充电器给我。房间毛巾很软很舒服，房间干净卫生，像到家里一样，床超级大，可以横着睡竖着睡，电视还是网络电视，无聊还可以看看电影，无线网络信号真是好的没话说。总之，非常满意的一次入住。大赞。还会再来。', '短评打分': 5}
{'短评内容': '被子盖着有点痒痒的，淋浴的水不是很热，房间有股味道，毕竟装修的时间久了。', '短评打分': 4}
{'短评内容': '房间蛮温馨的，这样的冬日房间不感觉冷，也比较卫生干净，唯一的遗憾，房间的几乎没有隔音的，呵呵，你懂的。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '来住过很多次了，价格便宜', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '叫姐姐刚刚吃饭哈很过分放大不哈刚发的', '短评打分': 4}
{'短评内容': '不错哦 性价比高', '短评打分': 5}
{'短评内容': '位置有点偏，附近没什么吃饭的地方。整体上一般吧，价格还可以。', '短评打分': 4}
{'短评内容': '好 值得分享', '短评打分': 4}
