{'短评内容': '非常满意的，主要是无线网很给力，每个房间都有wifi，房间专用，网速很好,交通方便，周围吃喝住行样样俱全，房间可能不是太大，但是足够了，设施什么的都挺齐全的', '短评打分': 5}
{'短评内容': '交通方便 服务热情', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '国庆在东北玩了八天最烂的一家酒店，唯一一个忍不住要带图评价的。一进屋一股霉味，墙纸全部发霉翘起，想开空调吹风换换气，遥控器按n下才有一下有响应的不知道是坏了还是没电了，然后空调里吹出的风也是一阵阵的霉味。床单被子感觉也有股霉味，枕头太高。床边的插座是掉出来的不敢用，只能用桌子那里的。卷纸特别少用了两次就没了，以为纸巾盒有纸巾，结果也是抽了两三张就没了，底下居然垫的是一块海绵，醉...马桶四周从入住', '短评打分': 1}
{'短评内容': '屋内整洁，各方面都很不错，价格比较优惠，房间隔音较好，下次还选择这里。', '短评打分': 5}
{'短评内容': '好地方，经常住。只是近来有几个房间淋浴头漏水了', '短评打分': 5}
{'短评内容': '除了屋里灯有点暗别的没问题~挺干净，老板和前台也很热情。周围饭店超市不少，交通也方便，下次去附近还是会选这家住。', '短评打分': 5}
{'短评内容': '经常入住，很好', '短评打分': 5}
{'短评内容': '非常好，卫生好，房间面积大，院内可停车。', '短评打分': 5}
{'短评内容': '非常好，经常去住的', '短评打分': 5}
{'短评内容': '就是房间有点小', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '前台服务还好，环境还比较干净', '短评打分': 3}
{'短评内容': '不错，价格合理，后院还可以停车。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
