{'descr': '很好', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '地方很好', 'star': 5}
{'descr': '酒店位置好，购物出行方便。', 'star': 5}
{'descr': '一般般吧。还是显老', 'star': 3}
{'descr': '感觉还不错 京东订的还可以', 'star': 5}
{'descr': '太不好了  噪音大  炒的不能睡', 'star': 5}
{'descr': '挺不错的，可以推荐的', 'star': 5}
{'descr': '很好噢', 'star': 5}
{'descr': '方便，也还干净。', 'star': 5}
{'descr': '方便，也还干净。', 'star': 5}
{'descr': '订了单人间，出乎意料的好！', 'star': 5}
{'descr': '一般吧', 'star': 4}
{'descr': '最好选择升级房间。', 'star': 4}
{'descr': '灯光比较昏暗，一般吧', 'star': 4}
{'descr': '卫生环境 都不错 很好很好', 'star': 5}
{'descr': '酒店感觉一般吧', 'star': 4}
{'descr': '每次来太原都是住他家！感觉很好！服务态度也很棒', 'star': 5}
{'descr': '服务真的不错，就是毛巾不是很干净，不敢擦脸，建议自带，其他还不错，下回还会选择', 'star': 5}
{'descr': '距离商业区不远  晚上住的也很安静  服务也很热情 不错 值得推荐', 'star': 5}
{'descr': '一如既往的好，干净，简单，酒店位置也不错', 'star': 5}
{'descr': '酒店位置很好，但前台态度冷淡，酒店设施陈旧，墙都起皮了。', 'star': 3}
{'descr': '很好，不错，下次还继续', 'star': 3}
{'descr': '环境很舒适，工作人员服务很好，就是下午时段热水不够热，还会再去的', 'star': 5}
{'descr': '宾馆环境还好,就是电视遥控声音不管用,电视太旧', 'star': 3}
{'descr': '店铺房间太小了', 'star': 3}
{'descr': '最近住过好几次，周边环境好，交通发达，购物方便', 'star': 5}
{'descr': '我是2012年清明节期间入住的，金广快捷五一路店的地理位置非常好，去太原柳巷、钟楼街、桥头街、开化寺、解放路、食品街等都很方便的。前台的服务态度挺好的，房间挺干净的 。住着很舒服呵呵，下次去太原还会选择住金广快捷酒店的。不足的一点就是入住的时候已经下午三点多了房间还没有收拾出来我等了能有半个小时才入住，也可能与清明小长假人多有关呵呵可以理解。', 'star': 5}
{'descr': '环境不太好，一般般吧', 'star': 3}
{'descr': '干净,舒适,快捷,方便,热情,热心！', 'star': 3}
{'descr': '快捷,干净、舒适、舒心、挺好！', 'star': 3}
{'descr': '非常简洁，干净，舒适！很满意！以后还会多多光顾的！', 'star': 5}
{'descr': '前台的服务态度挺好的，房间挺干净的   。该有的一次性用品都有 ', 'star': 5}
{'descr': '环境不错，很安静，离柳巷近，比较方便，但房间有一点冷。', 'star': 5}
{'descr': '酒店环境不错，交通便利，周围购物方便。。。。。', 'star': 5}
{'descr': '金广酒店还不错,购物也方便,好评.', 'star': 3}
{'descr': '金广快捷酒店环境不错,值得推荐.', 'star': 3}
{'descr': '邻街，特别方便，隔音不错。附近就是柳巷，房间格局合理干净，很不错。', 'star': 3}
{'descr': '環境好，服務比較熱情。下次還是會選擇來這。', 'star': 5}
