{'短评内容': '环境挺差的，设施也不好，白瞎那么多房间费了', '短评打分': 2}
{'短评内容': '老板不出来的话还真难找。酒店就称不上了。设施有些残旧了。两间房一间电视屏幕失真，一间空调轰轰响。客栈。客栈。旅途吧，休息好才玩好，房间隔音不好。', '短评打分': 3}
{'短评内容': '老板不出来的话还真难找。酒店就称不上了。设施有些残旧了。两间房一间电视屏幕失真，一间空调轰轰响。客栈。客栈。旅途吧，休息好才玩好，房间隔音不好。', '短评打分': 3}
{'短评内容': '放假蛮大的，我最不满意的是厕所马桶盖有刮伤像车刮伤的刮痕那样，这样都不换。柜子很旧里面很多灰尘，床可能我个人比较敏感睡得感觉不舒服，穿短袖睡感觉被子碰到皮肤的地方刺刺地', '短评打分': 2}
{'短评内容': '很好很好，要是没有旁边在施工我会觉得更好的。每天被施工声音吵起，感觉糟糟的。回去的时候有一件衣服落下了，小哥很热心打来电话询问 感觉很贴心。老板很和善，小狗很好摸，猫猫只在我们住的第一天出现过，后来就没再看到过它。老板家的小姑娘也是萌萌哒(｡･ω･｡)ﾉ♡', '短评打分': 5}
{'短评内容': '好有特点，老板很好，给我们介绍当地吃喝玩乐~还帮我换了房间，位置好找', '短评打分': 5}
{'短评内容': '设施简单，还算干净。房间隔音效果不太好，周边很方便，出去走几步就是西街了。四楼水压不太够，不过洗澡不影响。', '短评打分': 4}
{'短评内容': '位置非常好，在山下，安静，离步行街很近，房间大，干净，舒服，老板一家都非常热情', '短评打分': 4}
{'短评内容': '干净卫生，性价比高，老板娘有问必答，服务态度非常好', '短评打分': 3}
{'短评内容': '没有地方停车', '短评打分': 1}
{'短评内容': '离西街步行十分钟，不豪华但很干净 价格合理 老板也很热情，很安静，闹中取静，酒店挨着租自行车及电动车的，出行方便！', '短评打分': 3}
{'短评内容': '房子老，设备简单。。床不好睡，还会响', '短评打分': 3}
{'短评内容': '烂店一间', '短评打分': 3}
