{'短评内容': '很实惠，很好', '短评打分': 5}
{'短评内容': '很实惠，房间很大', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境很不错！', '短评打分': 5}
{'短评内容': '环境卫生都不错，服务态度好，价格不高，住得舒心。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '东西并不是很全 洗澡也不是很方便…不过房间还是很漂亮的', '短评打分': 4}
{'短评内容': '去宁波经常住，价格实惠', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常不错，干净、整洁、性价比高。', '短评打分': 5}
{'短评内容': '情侣房和网上的图片相差有点大……', '短评打分': 2}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺好的，交通方便，下次还会入住，价格也便宜', '短评打分': 5}
{'短评内容': '整体还不错，就是空调有点声大，灯有点暗暗。特喜欢房间那个大阳台', '短评打分': 5}
{'短评内容': '不错，除了灯暗了点，隔音不算好，其他都很满意，前台服务态度很好哦！', '短评打分': 5}
{'短评内容': '不错，就是有点破看起来…', '短评打分': 3}
{'短评内容': '入住的时候酒店在装修 房间不小 卫生一般 晚上没有服务员 交通方便 离南站很近 走路10多分钟 ', '短评打分': 5}
{'短评内容': '床太差了，很硬，很薄，装修倒是还可以，让床给毁了', '短评打分': 1}
{'短评内容': '装修风格古典，地段一般，面积还可以，但房间有异味，总体性价比还好', '短评打分': 5}
{'短评内容': '房间一般吧，住的是豪华大床房，房间有点破，墙纸破的，还有点发霉，找个插座都没，位置有点偏', '短评打分': 3}
{'短评内容': '服务好，离车站近，就是退房有点慢，房间性价比一般吧，比预想的小一点，住了五天两天不能上网，希望改进', '短评打分': 3}
{'短评内容': '20楼21楼空调好差，穿短裤也出汗，记账时没有发票，说寄来到现在也没收到', '短评打分': 1}
{'短评内容': '环境不错，离南站也很近．．', '短评打分': 3}
{'短评内容': '还不错 路段方便 价格实惠 空调制冷效果也超好', '短评打分': 5}
{'短评内容': '标间 16楼 干净 舒适 和伙伴住的很愉快 前台结账很快', '短评打分': 5}
{'短评内容': '酒店正在装修 电梯会晃晃 客房挺古色古香的 挺有味道 但是第一天住进去的时候 住的的标准间 不知道是在装修有灰 还是没有打扫干净 白色的柜子上很脏 纸巾一擦 全黑的  这个很不开心。。。第二天换了单人间 柜子上没有那么脏了  真奇怪', '短评打分': 5}
{'短评内容': '房间满不错的，就是住进去以后才知道没网络，还有大厅和电梯都在装修。汗。空调的外机声音也很大。', '短评打分': 5}
{'短评内容': '很对的起价格了，如果一直是这个价格就很值得推荐了哦', '短评打分': 5}
{'短评内容': '正赶上装修，酒店很不错，就是有装修色调是全黑的，纯中式的', '短评打分': 5}
{'短评内容': '地图有偏差 到酒店时遇到装修 之前不知道的  由于时间比较晚  再定也比较麻烦！入住后没见到过服务员  早上打扫人员开门就进来了  弄的我一惊  汗啊  这个价格也没什么过高要求了   希望以后能有所改善', '短评打分': 5}
{'短评内容': '还不错  就是最近在装修  房间蛮干净  也蛮舒服的。', '短评打分': 5}
{'短评内容': '环境还不错，就是地方很偏', '短评打分': 3}
{'短评内容': '还好…就是在装修…也没空调……', '短评打分': 3}
{'短评内容': '空间很大,环境不错', '短评打分': 3}
{'短评内容': '房间装修满特别的,而且房间挺大的。就是有点旧旧的感觉', '短评打分': 3}
{'短评内容': '酒店正在装修，除了电视不给力外，其他都还不错，值得对剑', '短评打分': 5}
{'短评内容': '服务还不错，设施也还好，去的时候在装修...', '短评打分': 1}
{'短评内容': '环境不错，就是酒店这幢楼的别的楼层租给了别的公司当写字楼，怪怪的', '短评打分': 3}
{'短评内容': '床很大，房间也比较大，就是上21楼要再走楼梯，声音很大，不是很舒服', '短评打分': 5}
{'短评内容': '好古色古香啊，进去吓了一跳，酒店真不错！', '短评打分': 5}
{'短评内容': '房间挺大的，但是热水居然坏掉了郁闷的。  发票也不能马上开，还在等。  性价比一般。', '短评打分': 5}
{'短评内容': ' 小河边，很安静，装修很有特色，干净，有档次。价格非常合理。服务友好。\n离汽车南站很近。下次来还住这里。', '短评打分': 5}
{'短评内容': '酒店出行打车方便、房间面积大、比较干净！\n有大窗户，就是网速稍慢', '短评打分': 5}
{'短评内容': '离南站很近，去市区起步价，酒店人员服务态度很好，房间不错，就是热水始终都热不起来。。。。', '短评打分': 5}
{'短评内容': '里汽车南站很近，走过去大约15分钟多点，去市中心也很方便，由于稍微偏僻晚上不热闹。房间性价比较高，推荐。', '短评打分': 5}
{'短评内容': '酒店位置比较偏，大堂尤其可怜，但房间也还算不错，价格也比较实惠，还是值得推荐的', '短评打分': 5}
{'短评内容': '第2次来了，房间环境都很好，服务也不错，下次还会继续的…', '短评打分': 3}
