{'短评内容': '隔音条件不是很好 吃行方便', '短评打分': 5}
{'短评内容': '还可以不错。不错，值得推荐。值得推荐。嘿嘿嘿嘿嘿嘿。', '短评打分': 5}
{'短评内容': '性价比高高高高高高', '短评打分': 5}
{'短评内容': '性价比高高高高高高', '短评打分': 5}
{'短评内容': '太差了，房间特别臭，不了建议住整个房间都是脚臭的味道，而且房间设施特别差', '短评打分': 2}
{'短评内容': '经济实惠还可以', '短评打分': 4}
{'短评内容': '就这个价格，要求不能过高，床单被套肯定没换过，房间非常小，适合小年轻情侣入住呃，还是要选好点的酒店', '短评打分': 4}
{'短评内容': '位置好，可惜没有早餐', '短评打分': 5}
{'短评内容': '房间太小，太差', '短评打分': 1}
{'短评内容': '以后还会住的', '短评打分': 5}
{'短评内容': '有停车场就是好', '短评打分': 5}
{'短评内容': '酒店有免费的停车场还是挺方便的，靠近步行街的地段的价格也还可以。', '短评打分': 5}
{'短评内容': '整体还可以，就是感觉有些旧了。。', '短评打分': 4}
{'短评内容': '座机没电池 用不了', '短评打分': 4}
{'短评内容': '一切都可以！！！！！！！！！！', '短评打分': 5}
{'短评内容': '住的挺舒服的！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常好！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '感觉非常好，以后还住这！！！！', '短评打分': 5}
{'短评内容': '感觉还不错，以后再来常德还住这里', '短评打分': 2}
{'短评内容': '房间在一楼，比较吵，放价和网上顶的不对，118变成了128', '短评打分': 3}
{'短评内容': '这个性价比也算可以的了，就是沿马路实在是太吵了。。。。。', '短评打分': 5}
{'短评内容': '总体还算不错吧，不过暖空调的效果到是不是特别号', '短评打分': 5}
{'短评内容': '没有电梯，没有电视机顶盒，没有几个可以看的电视频道，除了湖南卫视，都是什么内蒙古卫视，青海藏语台，中央十二台什么的~', '短评打分': 1}
{'短评内容': '酒店空间还比较合适，睡得比较舒服。就是隔音效果不好。 ', '短评打分': 5}
{'短评内容': '我们己成攻入住亚米连锁酒店！', '短评打分': 3}
{'短评内容': '门面和大厅太小了，不仔细找还真不好找，进房间后发现，这房间实在是太小了，带卫生间都感觉只有10平米左右。。。。。', '短评打分': 1}
{'短评内容': '＋感觉不错，挺小巧的，房间很干净。紧挨着诗墙和步行街。逛街很方便。', '短评打分': 5}
