{'descr': '一如既往，感觉不错满意', 'star': 5}
{'descr': '位置好，公交地铁都很近出行非常方便', 'star': 5}
{'descr': '位置交通方便，很好，环境卫生很好', 'star': 5}
{'descr': '酒店离天坛很久，还可以！', 'star': 4}
{'descr': '很不错', 'star': 5}
{'descr': '第二次来这里住了，总的来说非常满意！', 'star': 5}
{'descr': '还不错哦，可以提示的空间还是存在的，，继续努力吧，哈哈哈哈哈哈哈哈，下次有机会还是可以的考虑日柱的吧！', 'star': 5}
{'descr': '代人预订代人预订代人预订代人预订代人预订代人预订代人预订代人预订代人预订代人预订代人预订代人预订代人预订', 'star': 4}
{'descr': '酒店感觉很好啊！值得推荐', 'star': 5}
{'descr': '房间舒适，可以入住，隔音效果不错，是个是不错的地方&hellip;&hellip;', 'star': 5}
{'descr': '房间舒适，可以入住，隔音效果不错', 'star': 5}
{'descr': '商务出差代人预订独自旅行家庭亲子情侣出游朋友出游其它\n自定义标签', 'star': 5}
{'descr': '挨着马路太吵，会员也没有没有免费早餐', 'star': 5}
{'descr': '挺好的，报名字就入住了。', 'star': 5}
{'descr': '酒店位置很方便房间也干净', 'star': 5}
{'descr': '特惠装，竞然还是双床的', 'star': 5}
{'descr': '很便宜哦，离天坛很近，住了3晚，暖气十足，可惜没有窗户，这价钱也便宜啦。', 'star': 5}
{'descr': '干净，便宜。就是没窗户。。。。。。', 'star': 5}
{'descr': '安排的是一个靠路边的房间，北京凌晨车辆也很多，吵的根本没法睡觉', 'star': 2}
{'descr': '一般', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '还不错，离地铁口900米，有点小远，但价格很便宜。', 'star': 5}
{'descr': '比较干净卫生', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '酒店内设施不错，也很干净，服务态度也好，离地铁站大约15分钟。价格公道！', 'star': 5}
{'descr': '房间虽小但很温馨，卫生很干净，交通的话坐地铁天坛东站下车，在C出口出，过街。然后坐一站公交到东侧站 就到酒店门口了，从地铁口走路的话十分钟左右就到了。附近有超市，水果店，还有卖包子豆浆的早餐店。 总的来说还是比较满意的', 'star': 5}
{'descr': '在北京南2环内能住到200以内的房间，真的性价比很高。房间里面有净水器和吹风机。', 'star': 5}
{'descr': '酒店不错，性价比高，值得推荐', 'star': 3}
{'descr': '酒店不错，性价比高，值得推荐', 'star': 3}
{'descr': '离地铁很近，挺方便的，门口的粥店不错，早餐都在那吃的', 'star': 5}
{'descr': '就是贵了！哈哈', 'star': 3}
{'descr': ' 整体感觉很干净 员工很热情 住的很愉快', 'star': 3}
{'descr': '环境很好、很容易找，交通也算方便！推荐！', 'star': 5}
{'descr': '整体感觉还行，出行比较方便。就是房间偏小了点。', 'star': 5}
{'descr': '位置很方便，靠近地铁站，周围是居民区，吃饭也很方便。唯一不足之处就是酒店卫生太差，服务员打扫房间不彻底，不是忘给香皂就是忘给矿泉水，最无语的就是居然不给拖地，黑黑的脚印还有头发也不给打扫，还是我自己收拾的。希望如家加强服务品质和卫生管理，不能因为客流量大就降低服务质量。', 'star': 5}
{'descr': '交通便利，屋内干净。', 'star': 3}
{'descr': '不错，地点好，到各个景点方便，离北京南站很近，起步价多到就到，不过下午4－5点酒店门口要打车比较不容易，话又说回来，这个点好像京城哪都不容易打车', 'star': 5}
{'descr': '感觉不错，很周到。', 'star': 3}
{'descr': '交通方便，离北京站不远。住宿环境还不错，值得推荐！', 'star': 5}
{'descr': '这家酒店的交通还是很方便的，可以服务有点跟不上每次要提醒才会来打扫卫生的', 'star': 5}
{'descr': '还可以，比较好找', 'star': 3}
{'descr': '在北京如家的店很多，里边人性化服务还不错，主要是没有电脑，特别是多的时候容易走错门儿。。。', 'star': 5}
{'descr': '就在路边很好找，环境还可以，只是比其它店略显简陋', 'star': 3}
{'descr': '在那住了两天，坐地铁也挺好玩的。房间很安静，就是早餐太单调，菜有些凉。', 'star': 5}
{'descr': '刚去时酒店安排的房间有很浓的烟味，不习惯，当即让酒店帮助更换房间，调至5楼，虽然在酒店房屋的一角，窗户不能完全打开，但在阳面，房间很暖和，室内也很安静。离地铁站虽然有些远，但是边溜达边看看风景也挺好的。', 'star': 5}
{'descr': '不错很好 下次还去，室内干净 面积大 挨着公园 ', 'star': 5}
{'descr': '总体来说，还不错！\n比较值得推荐~服务还不错！', 'star': 5}
{'descr': '房间还可以,我住的是无窗的,空气少差些,其它的还行,床很舒服,也比较大.服务态度好.值得推荐.', 'star': 5}
{'descr': '靠路的房间隔音效果较差，建议入住时要求不要靠路边房间。', 'star': 5}
{'descr': '还可以，就是那有两家，第一次去错了，别的方面还可以吧', 'star': 5}
{'descr': '房间很干净，交通也很方便，商务大床非常大 睡着很舒服', 'star': 5}
{'descr': '挺好的，干净，离景点很近而且，推荐大家入住这家酒店', 'star': 5}
{'descr': '独立卫生间，房间比一般快捷酒店大些，还不错。距离天坛南门很近。', 'star': 5}
{'descr': '不错，挺好。离天坛、地铁都很近，就是隔音有点不太好。', 'star': 5}
{'descr': '房间很不错，挺温馨的，住的很舒服！环境也很好，还送杯面！', 'star': 5}
{'descr': '房间隔音稍微有点不好,地理位置很好找，交通比较方便，离公交站近，地铁站稍远。', 'star': 5}
{'descr': '还不错，服务挺好的,离地铁站公交站都挺近地，交通很方便，离天坛也很近\n', 'star': 5}
{'descr': '1.酒店超级安静，超级喜欢；\n2.如家一如既往滴吸引人的地方就是他们的厚被子了，很有“家”的感觉！', 'star': 5}
