{'短评内容': '酒店周边较繁华，吃、购较方便；房间设施较陈旧，尤其毛巾等建议自带，；后院有停车场，停车还算方便。服务较好，预订的房间硬件设施有点问题，找到服务员，及时给调换了房间。', '短评打分': 4}
{'短评内容': '还算一般', '短评打分': 5}
{'短评内容': '装修差 卫生不太好 没有一次性拖鞋 车停在路边 ', '短评打分': 3}
{'短评内容': '空调不行，很差', '短评打分': 3}
{'短评内容': '地理位置方便！', '短评打分': 5}
{'短评内容': '有院子可停车，开车很方便。服务还不错。', '短评打分': 5}
{'短评内容': '订的三人间，没房了，给调了一个套间，加了张床，还放了两个床垫。服务还算不错。停车很方便，后院可停车。', '短评打分': 5}
{'短评内容': '酒店环境设施都很不错，周围就有便利店，也有开封特色特产店，桶子鸡味道很不错，出行也便利。不错的选择。', '短评打分': 5}
{'短评内容': '房间环境太差了，门是裂开的，洗手间马桶都烂了，洗手池水龙头也生锈，下水道还l裸露在外，晚上去吃早餐，一看碗都不洗干净，直接让客人用，上边都飘着油花，恶心死了。', '短评打分': 1}
{'短评内容': '设备太陈旧了', '短评打分': 3}
{'短评内容': '便利，条件好', '短评打分': 4}
{'短评内容': '酒店位置便利，设施完善！非常满意', '短评打分': 5}
{'短评内容': '酒店地理位置便利，房间挺大的！不错！', '短评打分': 3}
{'短评内容': '酒店设施比较老，还行吧', '短评打分': 4}
{'短评内容': '酒店设施比较老，还行', '短评打分': 4}
{'短评内容': '还好，但感觉价格是不是比周边的有点高了。', '短评打分': 3}
{'短评内容': '给人的感觉很陈旧，房间空间不错，一进门有股时间的味道', '短评打分': 1}
{'短评内容': '价格便宜 服务比较周到 缺点是房间设施比较旧 ', '短评打分': 5}
