{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '酒店位置偏僻 我是晚上开车去的 越开心里越慌 最后进山  可怕的犹如恐怖片  酒店的环境真心非常不错 小木屋  环境清幽  可屋内的设施太破了  大屁股电视  又冷又潮', '短评打分': 2}
{'短评内容': '位置很好，不用去排队停车排队缆车什么的，可以直接步行去石窟，走十分钟左右。是去看石窟的最方便的酒店了。', '短评打分': 5}
{'短评内容': '带着孩子出去玩！环境是真的没说的！走路十分钟就到石窟！小木屋非常有意思！设施一般较陈旧！但是住的舒服，空气新鲜还会再来的！', '短评打分': 5}
{'短评内容': '有停车场，房间设施一般，', '短评打分': 4}
{'短评内容': '环境很好，离石窟很近', '短评打分': 5}
{'短评内容': '离石窟很近，方便！', '短评打分': 5}
{'短评内容': '环境很好，服务还好，设施一般', '短评打分': 4}
{'短评内容': '不错，好好干！', '短评打分': 5}
{'短评内容': '酒店深处小陇山植物园，幽静凉爽，特别适合一家人来小住，早上的自助餐品种特别多，干净卫生！味道也好！强烈推荐！', '短评打分': 5}
{'短评内容': '还行吧，是因为中途小憩需要中转。可能因为季节的原因不是特别暖和', '短评打分': 3}
{'短评内容': '还可以吧，不能期待太高了。', '短评打分': 3}
{'短评内容': '有小木屋，卻沒行李员，又沒运行李的电瓶车，设施非常不完善', '短评打分': 3}
{'短评内容': '酒店不错，离麦积山石窟很近', '短评打分': 3}
{'短评内容': '环境没的说，在麦积山周边，房间的设施有点陈旧啦，离市区很远，去麦积山游玩的朋友可以考虑。', '短评打分': 5}
{'短评内容': '希望下次还能去这里居住，环境好，风景好，就是餐厅的核桃酥不是很新鲜', '短评打分': 5}
{'短评内容': '环境好，空气湿润，就是房间里烟味较大，酒店设施人性化。', '短评打分': 5}
{'短评内容': '要不是考虑到安全问题，农家乐比这里要好得多', '短评打分': 1}
{'短评内容': '其实对于推荐还是不推荐来说挺纠结的，我们去过这种类似的在旅游景点内的酒店也不少，只要出示预定的信息再报车号记录一下就可以免费进入景区，这个地方只要在早上七点之后晚上五点半之前进来都要买门票。\n对于房间，由于都在林荫深处，虽然是架空的，但是潮气还是蛮大，天冷一点儿就不适合住。\n早餐种类的确不多，而且8点半之后就越来越少，虽然是四星级的，但是感觉名不符实。', '短评打分': 5}
{'短评内容': '天水小陇山植物园山庄，对于景色观光很方便，但别墅的房间不值，早餐较为简单', '短评打分': 3}
