{'短评内容': '垃圾地方啊啊啊', '短评打分': 2}
{'短评内容': '感觉环境还是可以的！但是服务人员太少了！设备看起来有点陈旧了！', '短评打分': 4}
{'短评内容': '干净卫生，环境好。', '短评打分': 5}
{'短评内容': '怎样返还23元？', '短评打分': 4}
{'短评内容': '环境还好，比较温馨', '短评打分': 4}
{'短评内容': '卫生比较好，灯具照明差，被子实在太厚重了，除了酒店内有餐厅，周围没有店除非坐一站公交去江职那里，下午五点前又不开餐厅，所以只好点了外卖。', '短评打分': 3}
{'短评内容': '主要为了迎合考试而在那住宿，环境很一般，价钱有点小贵', '短评打分': 3}
{'短评内容': '还可以，价格偏高点', '短评打分': 4}
{'短评内容': '还可以！！！！！！！', '短评打分': 4}
{'短评内容': '还行吧，，，', '短评打分': 4}
{'短评内容': '非常赞！！！这个价位绝对值，里面有个花园，游泳池，池塘，果园', '短评打分': 3}
{'短评内容': '是花园式的宾馆，有点历史的，环境很安静舒服，位置稍微偏了点，门口有公交站，但是外面的路人有点少，宾馆里面就有中餐和西餐吃，不过味道一般哈。房间很大，设施很完善，不习惯的是只有洗澡只有浴缸，花洒是固定在墙上的，有点不方便。 还是住得很舒适的。', '短评打分': 3}
{'短评内容': '是花园式的宾馆，有点历史的，宾馆里面就有中餐和西餐吃，不过味道一般哈。房间很大，设施很完善，不习惯的是只有洗澡只有浴缸，花洒是固定在墙上的，有点不方便。', '短评打分': 3}
{'短评内容': '热水壶塑料味很浓，周边交通不便，设施老化。', '短评打分': 3}
{'短评内容': '环境比较清静，住宿还可以。', '短评打分': 3}
{'短评内容': '性价比挺高，下次还会继续！', '短评打分': 3}
