{'短评内容': '实惠 很不错的', '短评打分': 5}
{'短评内容': '出差临时定的，有停车场，在客运站边上，离高速不远', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '干净卫生交通便利', '短评打分': 5}
{'短评内容': '卫生空间大', '短评打分': 5}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以    地方还可以。', '短评打分': 5}
{'短评内容': '交通便利，前台接待态度很好，房间空调也很给力，比想象中好了不少', '短评打分': 5}
{'短评内容': '还可以的的，哈哈都去修吧', '短评打分': 5}
{'短评内容': '商务旅行好的住所，既经济又实惠！', '短评打分': 5}
{'短评内容': '位置好，房间大，网速快，闹市中一片净土。', '短评打分': 5}
{'短评内容': '根本没用', '短评打分': 5}
{'短评内容': 'hai suan bu cuo.  jisge ke yi', '短评打分': 5}
{'短评内容': '环境很好，硬件和服务都不错。环境很好，硬件和服务都不错。环境很好，硬件和服务都不错。环境很好，硬件和服务都不错。', '短评打分': 5}
{'短评内容': '酒店安静闹中取静', '短评打分': 4}
{'短评内容': '出了距离汽车站近没有有其他优点', '短评打分': 2}
{'短评内容': '不错经济实惠！', '短评打分': 5}
{'短评内容': '太垃圾了', '短评打分': 1}
{'短评内容': '非常不满意晚上值班的那个男收银员', '短评打分': 1}
{'短评内容': '鬼死了，根本不值', '短评打分': 1}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '电脑太烂', '短评打分': 2}
{'短评内容': '房费112酒店说只能开100发票因为携程只给100到酒店，昨天入住的时候就说能开发票！结果整这事？要我跟携程联系！这是酒店跟携程的协议，为什么推责任在顾客身上？', '短评打分': 2}
{'短评内容': '酒店环境很好，好评~', '短评打分': 3}
{'短评内容': '价格合理，就是空调不怎么好，交通方便，车站附近', '短评打分': 5}
{'短评内容': '环境还可以，价格有点高了，附近就是汽车站，比较方便。', '短评打分': 5}
{'短评内容': '房间很宽敞，有电脑能上网，挺干净，但一次怀拖鞋都忘了放，服务一一般', '短评打分': 5}
{'短评内容': '性价比还不错，楼层高不太吵。设施有些旧。', '短评打分': 5}
