{'短评内容': '服务还行，房间太小，卫生要改进', '短评打分': 3}
{'短评内容': '怎么说呢，还行吧，就是蟑螂有些多，让人怕怕的', '短评打分': 3}
{'短评内容': '住的比较舒适经济', '短评打分': 5}
{'短评内容': '太差太差了，早上醒来没纸了急着上厕所，给前台打电话，那个态度简直没见过这么恶心的服务员，还有房间的床太硬，根本没垫子，因为第一次来乌鲁木齐网上定的这个酒店，140来了之后看到团购才70多，太不靠谱了，不推荐大家来。', '短评打分': 3}
{'短评内容': '房间不大，环境一般，就是出门坐车方便', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '一般，还行', '短评打分': 5}
{'短评内容': '条件还可以，交通方便，服务尚可，宽带通畅，价格实惠，值得推荐，但热水供应，还需改进。', '短评打分': 5}
{'短评内容': '酒店房间干净，服务态度好，酒店所处位置交通方便，性价比较好，值得推荐。', '短评打分': 5}
{'短评内容': '不错 呵呵 门口交通很方便 洗澡水和宽带都不错 门口就有当地的小吃', '短评打分': 5}
{'短评内容': '地理位置挺好，热水供应不好。条件一般，性价比一般，最重要的是晚上有打电话问要不要服务的。感觉有点危险。。\n', '短评打分': 1}
{'短评内容': '条件不错，位置不错，服务尚可，宽带通畅，价格适合，值得推荐，但，热水供应，还需改进。', '短评打分': 5}
{'短评内容': '还好，网有点卡，服务还不错，希望继续继续保持，蒸蒸日上，生意兴隆！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '刚好赶上网坏了', '短评打分': 3}
{'短评内容': '房间的潮味很大，房间蛮小的，自来水很小。幸好淋浴水还不错。 服务员态度还不错。', '短评打分': 5}
