{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '非常舒服。', '短评打分': 5}
{'短评内容': '特别舒适。', '短评打分': 5}
{'短评内容': '很棒的  价格也不贵 ', '短评打分': 5}
{'短评内容': '随时住这里，回家的感觉', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以，便宜，实惠', '短评打分': 5}
{'短评内容': '价格很实惠，下次还来。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '可以可以，房间大，就是设施有点陈旧', '短评打分': 5}
{'短评内容': '一般一般的，比较适合', '短评打分': 5}
{'短评内容': '你们都在想什么都没得看不见了我一个人简介姓名的官员', '短评打分': 5}
{'短评内容': '周边设施还不错', '短评打分': 5}
{'短评内容': '被子还不错', '短评打分': 5}
{'短评内容': '还行，就是窗帘什么的注意下卫生就好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房了真心的不错', '短评打分': 4}
{'短评内容': '厕所有异味', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '划算', '短评打分': 5}
{'短评内容': '环境不错，周边繁华', '短评打分': 4}
{'短评内容': '地理位置较好,购物便捷.', '短评打分': 5}
{'短评内容': '服务不错，房间够大，床够大，没有冰箱，没有浴衣，还算干净，早餐很差。', '短评打分': 5}
{'短评内容': '房間好大呢，這價格絕對超值，但被子太薄晚上凍醒幾次，浴室噴頭壞了，熱水不怎麼熱。除了這些條件外 其他都挺好。', '短评打分': 3}
{'短评内容': '非常好既便意又漂亮！值！', '短评打分': 3}
{'短评内容': '最大的优点是房间大，里面还有一个沙发和茶几，其他的一般，尤其是床真的不咋个', '短评打分': 5}
{'短评内容': '价格合理，有机会的话还会入住，只是浴室完全没遮挡', '短评打分': 5}
{'短评内容': '还可以！酒店服务和硬件设施都还行。像是装了不久，只是噪音大了点。总的来说还可以', '短评打分': 5}
{'短评内容': '酒条件不错。', '短评打分': 3}
{'短评内容': '简介里说按照四星标准装修有点言过其实，地理位置比较方便，但同时睡眠环境也比较嘈杂，单层玻璃隔用音效果差！', '短评打分': 3}
{'短评内容': '服务态度很满意，因为我去年十月住过一次，所以我的老婆还想住我们以前的那个房间，感觉很温馨，感谢你们，尤其是大堂那俩位女同志，真的衷心谢谢你们帮我们实现了，没有遗憾了，下次还会住那么的酒店', '短评打分': 5}
{'短评内容': '服务不行', '短评打分': 3}
{'短评内容': '房间大，设备还算可以，就是网线太短了，想在床上上网不可能。卫生间应该准备一双凉拖鞋吧！前台女的态度傲慢，其他还可以，在市区，逛街购物很方便。', '短评打分': 5}
{'短评内容': '几个前台的工作人员服务态度都不是很好，好像住不住与他们没关系，原本顾客是上帝，结果他们却成了上帝了，悲剧！我觉得老板应该好好管理下员工。硬件设施不错所以我还是选择住在这里，服务应该要大大的提高啊！ \n', '短评打分': 5}
{'短评内容': '交通便利 购物方便 在市中心 挺好 下次去还住那 服务态度也挺好 就是起晚了没吃到早饭', '短评打分': 5}
{'短评内容': '房间大，热水好，交通方便，性价比高。设施稍显陈旧。总体也不错。', '短评打分': 5}
{'短评内容': '整体的服务还不错，九点设施还挺好的，就是觉得稍微小了点，要是能在配个吹风机就好了，洗了头发很久才会干', '短评打分': 5}
{'短评内容': '我不得的不说·····前台是个SB。不解释', '短评打分': 1}
{'短评内容': '酒店里的设施都很好，前台服务态度也很好，感觉物超所值。位置也特别好，对面就是新世界百货和沃尔玛，但是晚上并不觉得很吵，反正总的', '短评打分': 3}
{'短评内容': '酒店干净舒适，而且挺安静的。离最热闹的市区也很近。好评推荐！', '短评打分': 5}
{'短评内容': 'It was a crappy hotel...poor decor & poor service.  The room has dirty carpet and nails sticking out of the carpet!!!', '短评打分': 1}
{'短评内容': ' 房间整体感觉还不错，只是没有门的洗手间感觉总是很奇怪，另外这么冷的天让多拿床被子还要加钱让人感觉很不爽。', '短评打分': 3}
{'短评内容': '酒店比想象中的好，但靠路边的房间比较吵，早餐比较差但相对他的价格还是过得去的。', '短评打分': 5}
{'短评内容': '可以，就是地毯有点脏', '短评打分': 3}
{'短评内容': '酒店还好。。值这个价格。就是空调不热。热水不热。。哎。。晚上冷醒了', '短评打分': 3}
{'短评内容': '房间很大，也比较干净，就是房间隔音较差，而且床也比较硬', '短评打分': 5}
{'短评内容': '酒店地处绵阳城市中心，交通、逛街、购物十分便利。房间宽敞，陈设良好。美中不足是卫生间太敞无遮拦，缺少私密性；淋浴间没有安装放置淋浴用品的架栏，不太方便。另，停车虽方便，但停车场不属于酒店管理，缺少安全性。', '短评打分': 5}
{'短评内容': '感觉良好，淋浴喷头坏的，床太硬睡得腰疼，热水不稳定，电视信号差', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': 'l:口岸理想，房间宽敞，采光良好！。:-)', '短评打分': 3}
{'短评内容': '房间干净，服务也不错，购物很方便，离沃尔玛不到百米，房间有宽带，自己带个本本很方便的。缺点：洗澡间没有设计放沐浴液和洗发水的地方，难道你要我把两个瓶瓶拿在手上？', '短评打分': 5}
