{'短评内容': '大品牌就是值得信赖，各方面都很好。', '短评打分': 5}
{'短评内容': '和图片一样，布置温馨，推荐大家入住！', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '还好，位置环境卫生都不错。', '短评打分': 5}
{'短评内容': '酒店就在广州火车东站对面，方便坐和谐号火车，酒店内部设施偏老，但舒适度尚可，酒店员工服务质量好，尤其礼宾部', '短评打分': 4}
{'短评内容': '酒店就在广州火车站东站对面，步行到火车站大约7分钟，方便赶火车。酒店设施老旧，但干净整洁。晚上房间隔音效果好，听不到火车声。', '短评打分': 4}
{'短评内容': '酒店就在火车东站对面，步行7分钟可到火车站，方便赶火车。自助早餐不错，有粥和咸鸭蛋，还有面条。礼宾部服务好。', '短评打分': 4}
{'短评内容': '去火车东站非常方便', '短评打分': 4}
{'短评内容': '房间隔音太差，遗忘的东西，左右推辞，不还!', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店服务很好，免费升级了套房，朋友很喜欢，早餐品种有点少了', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 4}
{'短评内容': '酒店环境不错，位置处于天河旺地，服务态度好', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务水准高，交通方便', '短评打分': 5}
{'短评内容': '还可以吧，无功无过，这地段这价格，没啥可说的，就都是还好的样子…', '短评打分': 4}
{'短评内容': '从地铁站J出口就到了，很方便，酒店设施和服务也很好，好评', '短评打分': 5}
{'短评内容': '服務親切', '短评打分': 3}
{'短评内容': '你不错', '短评打分': 3}
{'短评内容': '酒店还不错，就是很难打到出租车。有急事要提早出门。', '短评打分': 5}
{'短评内容': '房间很小，离地铁站大约走10分钟。门童很讨厌，问他去机场包车多少钱，说是要几百，又强烈要求帮我们找出租车，司机收费150，结果我们自己找出租车去机场只100.', '短评打分': 1}
{'短评内容': '房间感觉很棒', '短评打分': 3}
{'短评内容': '硬件是很好，达到5星级标准，但楼上隔音太差，与如家一个水平，性价比不高', '短评打分': 1}
{'短评内容': '下次出差可能还会考虑，距离办事地点较近。', '短评打分': 5}
{'短评内容': 'The hotel is nice and comfortable, i was impressed by the variety of the breakfast.', '短评打分': 5}
{'短评内容': '原来同样房型不同时间价格不一样的', '短评打分': 3}
{'短评内容': '住过好多次才发现有户外泳池，客人可免费用，不错', '短评打分': 3}
{'短评内容': '酒店环境不错，客人很喜欢，早餐也不错，就是早上打的比较麻烦', '短评打分': 5}
{'短评内容': '酒店工作人员服务很好，在商务中心订火车票很方便，唯一不足的是酒店最旁边的房间有发霉的味道，但是前台很快就帮助换房间了', '短评打分': 5}
{'短评内容': '前台办入住业务非常繁琐而且不熟练，等了二十多分钟。但酒店其它服务都比较温馨，房间也很不错', '短评打分': 3}
{'短评内容': '环境挺好的，还经常升级，广交会期间可能不含早了', '短评打分': 3}
{'短评内容': '酒店离火车东站很近\n但周边不好买东西\n早餐尚可\n服务态度良好\n', '短评打分': 5}
{'短评内容': '入住感觉很好。结帐后发现手机落在酒店餐厅了，联络后立刻快递寄出，很给力！下次出差还会再考虑', '短评打分': 5}
{'短评内容': '酒店较新，也比较安静，床和枕头比较舒服。早餐样式中偏上。总评值得推荐', '短评打分': 3}
{'短评内容': '不够干净', '短评打分': 3}
{'短评内容': '酒店还是比较干净的。入住服务比较快速。退房服务比较快速', '短评打分': 5}
{'短评内容': '华美达的酒店，其实不用说就是好。唯两个问题吧，位置稍微有点偏，门前的快速路让打的过来的客人有点麻烦。再就是，这几天天气有点冷，但没有暖气，让我很诧异，今天鼻子都不舒服了，绝对是这个造成的。', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 3}
{'短评内容': '酒店环境很好，房内设施大方整洁。整体不错', '短评打分': 5}
{'短评内容': '非常满意这家华美达，位置很好，广州东站对面。房间既有浴缸又有淋浴，泡泡很解乏。床很舒服。我们房间朝向山和小区，很安静。美好的一次体验', '短评打分': 5}
{'短评内容': '地理位置好，据火车东站和天河购物中心都很近；房间比较干净，设置也比较合理', '短评打分': 5}
{'短评内容': '一如既往的喜欢这里的早饭，尤其汤和粉，萝卜牛腩，和静谧。一如既往的喜欢这里的早饭，尤其汤和粉，萝卜牛腩，和静谧', '短评打分': 5}
{'短评内容': '环境很好,干净.设施也比较新,住过很多次了.价位有点偏高,450元比较合适.~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
