{'短评内容': '还好吧！位置不错', '短评打分': 5}
{'短评内容': '挺好的，住的挺舒服', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '位置很好，环境不错', '短评打分': 5}
{'短评内容': '相比同等价位的还是不错的', '短评打分': 4}
{'短评内容': '现在还没入住。看起来不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 4}
{'短评内容': '很好，不错，啊啊啊啊啊', '短评打分': 5}
{'短评内容': '酒店地理位置优越，房间内设施完善，环境卫生，服务质量好', '短评打分': 5}
{'短评内容': '还可以就是酒店前台让人太讨厌，态度很差，', '短评打分': 5}
{'短评内容': '大唐凯越性价比还是很高的，档次也够，就是电视有点。。。无线网有点。。。希望能改善。', '短评打分': 5}
{'短评内容': '第一次去，环境服务都不错！！', '短评打分': 5}
{'短评内容': '不错，价格实惠，周边什么都有，方便', '短评打分': 5}
{'短评内容': '还可以吧毕竟价格在哪', '短评打分': 4}
{'短评内容': '圆床，还行，就是不大习惯，环境不错，就是床靠门太近了', '短评打分': 5}
{'短评内容': '还可以，就是谁有点凉', '短评打分': 5}
{'短评内容': '也还可以，性价比挺高的，可以来体验', '短评打分': 4}
{'短评内容': '不错的酒店，环境设施周边都挺好，且距离山东农业大学校本部较近，很方便！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '常住，不错', '短评打分': 4}
{'短评内容': '小地方不错的酒店了，', '短评打分': 4}
{'短评内容': '不错  返了券才186  非常合适的性价比', '短评打分': 5}
{'短评内容': '住了两天，除了早点查了些，其他感觉很好，在商业中心，去岱庙泰山也方便，有机会还去。', '短评打分': 3}
{'短评内容': '还不错，去泰安一半以上都是住在这家酒店，只是早上稍微有些吵，不适合睡懒觉。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '不错的，床很舒服，灯光很暖，夜里跟女友在里面做爱很有感觉，离红门也进，打车八块钱~~~', '短评打分': 5}
{'短评内容': '房间很大，很舒适，位置也很好，下次去还会住', '短评打分': 5}
{'短评内容': '比较一般，最不能忍的是送餐的态度，先打了个电话过去，对方问几个人用餐，我说一个，她就说太忙要我过30分钟再打，我就直接问是不是嫌我一个人挣得太少了，对方居然很嚣张地说是的，一点都没有送不了餐的歉意，还好像我一个人就不该来点菜似的，正宗什么眼看什么低了', '短评打分': 1}
{'短评内容': '是以前的格林豪泰改的，房间里的电话机还有格林豪泰的标记，设施比较旧。', '短评打分': 5}
{'短评内容': '就是格林豪泰改装的，还按照四星级标准收费，房间陈设也一般。', '短评打分': 1}
{'短评内容': '补充一点，该酒店上网是光纤，速度快！看视频没问题。', '短评打分': 5}
{'短评内容': '还可以吧 各方高度发达个梵蒂冈 个 xsa a a da ', '短评打分': 5}
{'短评内容': '大床房还可以，标间一般，早餐种类很少，晚餐还行', '短评打分': 5}
{'短评内容': '不错的酒店，可以推荐，交通便利服务不错，早餐可以。', '短评打分': 5}
{'短评内容': '挺好的一家酒店，值得推荐。希望继续努力，提高服务质量。', '短评打分': 5}
{'短评内容': '总体感觉不错 但是 细节做得不够好  当天中午12点到的 第一个房间居然没有打扫就给我了  气氛   早上旅行团的乱窍门  不到7点就被打扰起来了  主要是问题是管理不到位  酒店设施还算不错   ', '短评打分': 1}
{'短评内容': '总体上来说，这是一家性价比不错的酒店。位置非常好，购物、出行都很方便。房间陈设也可以，在景点城市酒店里算是挺好的酒店了。', '短评打分': 5}
{'短评内容': '酒店位置不错，出行购物，饭后闲逛都很方便。房间也说得过去，服务也算周到。', '短评打分': 5}
{'短评内容': ' 酒店地点适中 价比很好 门前有巴士站去景点 值得推介', '短评打分': 3}
{'短评内容': '酒店位置很好 在市中心   房间也不错   总之：性价比很高', '短评打分': 5}
{'短评内容': '位置不错，正处泰安市中心，旁边就是银座，酒店服务态度也不错。', '短评打分': 5}
{'短评内容': '不错的酒店啊，下次去还要住，房间不错，很舒服。', '短评打分': 5}
{'短评内容': '不错的酒店啊，下次去还准备再住这里，性价比高。', '短评打分': 5}
{'短评内容': '挺大挺舒服，淋浴不太好用，水流太慢，总体还行', '短评打分': 5}
{'短评内容': '实事求是的评价：位置很好，正处泰安市中心，旁边就是银座，酒店服务态度尚可。除此之外，一无是处。房间一进去烟味扑鼻，打扫时连个除烟都不做？中央空调也不知道是热风还是冷风，洗澡水不热，要打电话才能热，隔音太差，半夜隔壁的隔壁说话都能听见。最可恨的是，浴巾竟然有个洞，简直无语了。这个价位在泰安算是高的，这个条件，绝对不会去第二次。强烈不推荐！', '短评打分': 1}
{'短评内容': '总体还算可以。早餐很一般，品种不是很多。酒店周围购物方便。', '短评打分': 5}
{'短评内容': '设施齐全，交通方便，空间合理，性价比高，服务周到', '短评打分': 5}
{'短评内容': '酒店设施较新，很干净，酒店位置较好。下次还会来。', '短评打分': 5}
{'短评内容': '很不错的酒店，干干净净的。非常的舒适，在泰安算是不错的酒店了', '短评打分': 5}
{'短评内容': '酒店不错，干净，整洁，就是旁边有一个工地在施工', '短评打分': 5}
{'短评内容': '酒店位置还可以。', '短评打分': 3}
{'短评内容': '我对这家酒店还是比较满意的。性价比比较合理。房间也很干净。', '短评打分': 5}
{'短评内容': '空调不太热 其他都很好 服务态度非常令人满意', '短评打分': 5}
{'短评内容': '酒店设施还可以，不够星级标准，服务有待提高。', '短评打分': 5}
{'短评内容': '酒店不是很大，还算干净，服务还有待提高。', '短评打分': 5}
{'短评内容': '价格合理 空调不太热 但是性价比还是很高的', '短评打分': 5}
{'短评内容': '环境很好，价格合理，服务周到，我推荐入住', '短评打分': 5}
{'短评内容': '还行吧   性价比挺高   。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还好吧    就是酒店有点冷  不知道为啥    还好价格不贵了', '短评打分': 5}
{'短评内容': '一般吧  也就三星级的标准啦   还好价格不算太贵', '短评打分': 5}
{'短评内容': '还行，酒店设施还好，马桶不行。…………………………………………………………………………………………………………………………………………………………………………………………', '短评打分': 1}
{'短评内容': '服务员态度很好，但房间比较冷，条件三星级水平吧', '短评打分': 3}
{'短评内容': '服务不太好，房间挺大，卫生还可以，楼上餐厅晚餐有点差，', '短评打分': 5}
{'短评内容': '环境不错，地理位置还可以。停车不怎么方便。', '短评打分': 5}
