{'短评内容': '安静', '短评打分': 5}
{'短评内容': '在运河边，由于公差入住，旅店查不到携程的记录，不知何故。步行到杨柳青物美超市仅需几分钟，如果需要入住后看灯展的特殊情况，还是建议留在此处，虽然价格没有什么优势，至少出门就是运河沿，这就完全可以接受了。', '短评打分': 3}
{'短评内容': '环境特别差，屋内和走廊有怪味儿！！被褥不干净有黄色油渍类东西。环境特别差，洗发水有一袋是用一半的！！', '短评打分': 3}
{'短评内容': '不推荐，周围没房间了才住的。设施陈旧，浴室极差，体验很不好，根本不值150一晚', '短评打分': 2}
{'短评内容': '真心很差，很不卫生', '短评打分': 2}
{'短评内容': '周五入住，去的时候有点晚了，酒店位置还算好找。床大概是1.5*2米的，个人人为比较小，设施很老旧。第一开始给的房间空调是坏的，床单上还有几粒瓜子皮，协商换了房间之后电视是坏的，给的路由器还不能用，时间比较晚就将就了。因为比较后怕所以让换了一套床单被褥，店家服务态度还是挺好的。房间的隔音效果也比较差，隔壁说话大声一点点就能听得非常清楚。房间的布局也很尴尬，这样说吧，上厕所都能被一览无余。热水器的喷头', '短评打分': 2}
{'短评内容': '酒店卫生非常不好，，，，跟价格不成正比', '短评打分': 3}
{'短评内容': '条件就那样吧，价钱摆着呢，环境还行，都是仿古街', '短评打分': 3}
{'短评内容': '还可以，', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店位于天津杨柳青著名的石家大院，并且紧邻御河桥，位置特别好，从携程上预订的，价格也实惠，屋子里的设备稍微显得旧一些，但是还是值得试试的。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '破空调连制热都没有  垃圾，床很小！！', '短评打分': 3}
{'短评内容': '宾馆就在明清街上，旁边就是运河，环境很好，服务也很热情，我们中饭剩了太多带回宾馆，晚上还可以热菜吃~', '短评打分': 5}
