{'短评内容': '环境蛮安静的，里面也挺干净', '短评打分': 5}
{'短评内容': '在浙大紫金港校区考试，因附近没有信得过的酒店,所以选择了一直都比较放心的如家（北大桥店）。结果让我万分后悔。酒店服务，整洁程度完全没问题，房间也很大，比其他如家都要大，但是蚊子简直要了我的命。我不说谎，一晚上都没睡，一共打死了50多只蚊子，剩下的竟仍然不计其数，似乎永远也打不完。身上被咬了将近100个包，从来没受过这样罪。后来看到酒店后身就是臭河沟，才理解了一些。但是真心不希望那些怕被蚊子咬的人去', '短评打分': 1}
{'短评内容': '环境不错，房间还算宽敞，就是不太好找，只能打车，整洁干净，个人很喜欢，如果以后有机会开车去那就首推这里了！', '短评打分': 5}
{'短评内容': '不错就是不好找，花了半个小时，建议详细说明路线', '短评打分': 5}
{'短评内容': '房间比较多，性价比也不错，就是位置有点远哟，', '短评打分': 5}
{'短评内容': '酒店环境整洁，而且周边很安静，休息的很好不错，停车方便。', '短评打分': 5}
{'短评内容': '挺好，交通方便！', '短评打分': 3}
{'短评内容': '干净卫生，环境舒适，满意', '短评打分': 3}
{'短评内容': '不错，帮表哥订的，很满意，房间大。就是没IPTV', '短评打分': 5}
{'短评内容': '干净、舒适。主要交通方便，出门就是车站~', '短评打分': 5}
{'短评内容': '自己选的房间不好 空调外机很吵。建议要选好一点的房间', '短评打分': 5}
{'短评内容': '地理位置很好，房间很干净整洁，服务也很好。', '短评打分': 5}
{'短评内容': '整体环境还是不错的，价位也比较合理。但是洗刷设备稍差，要是有吹风机跟浴袍，那就更好了！', '短评打分': 5}
{'短评内容': '干净，房间比较大。停车方便，值得推荐。。。。。。。', '短评打分': 5}
{'短评内容': '主要离公司比较近，挺方便~ 不过地方不容易找。', '短评打分': 5}
{'短评内容': '价格还实惠的，停车也方便', '短评打分': 3}
{'短评内容': '环境好，服务优！服务人员很亲切。但是，我住的房间水不是很烫，协调多次水还是温温的，爸爸说洗澡的时候很冷，毕竟是大冬天，希望水温能再高点！', '短评打分': 5}
{'短评内容': '总体感觉不错！', '短评打分': 3}
{'短评内容': '床太差！就象是弹簧上铺了二层布，冰冷又难受！', '短评打分': 3}
{'短评内容': '环境很好，在运河边，很安静，我住的是电脑房，网速非常快，好象是10m的，停车位也不少，非常值得推荐的酒店。', '短评打分': 5}
{'短评内容': '住了那个特惠房，蛮便宜的，地方稍微有点偏，但安静', '短评打分': 5}
{'短评内容': '地方是远了点，不太方便打车，不过很干净挺好，第三次入住了，下次有机会还会选择这家', '短评打分': 5}
{'短评内容': 'q1qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq', '短评打分': 5}
{'短评内容': '非常好，我喜欢，以后还住，多出点抢购房就更好了', '短评打分': 5}
{'短评内容': '145元的强购房物有所值，如果一直是这个价格就更好了。', '短评打分': 5}
{'短评内容': '虽然有点远，服务还是不错的，酒店的环境也不错！', '短评打分': 5}
{'短评内容': '经济实惠，被套是粉红色，真的像家的感觉一样-如家。', '短评打分': 3}
{'短评内容': '噪音比较大，特别是上下左右的下水声音，其他都可以吧', '短评打分': 5}
{'短评内容': '房间很舒适，空间也挺大，前台工作人员和PA大姐主动问好，很亲切，性价比很高。', '短评打分': 3}
{'短评内容': '酒店非常不错，有专用的停车场，房间也是相当不错，要是能够提供中餐、晚餐就更好了', '短评打分': 5}
{'短评内容': '服务比较好，卫生情况很好很干净，早餐很有营养。只是网络比较慢，还有后面紧哎着环卫站很吵。但价格比较便宜。', '短评打分': 5}
{'短评内容': '清爽干净，整体还不错.就是发找小姐的卡片太多了，\n晚上会有些噪音', '短评打分': 5}
{'短评内容': '还行吧  好大的标间 温馨的感觉少了点 其他都还不错', '短评打分': 5}
{'短评内容': '环境好 很安静  价格也很实惠 定的是单间 床位很大 很舒服 离汽车北站也很近  值得推荐  设施配得上3星标准  ', '短评打分': 5}
{'短评内容': '很干净很好，第二次入住，下次有机会还会选择这家。', '短评打分': 5}
{'短评内容': ' 很温馨', '短评打分': 3}
{'短评内容': '房间挺大的。住的时候天气冷，空间太大，暖空调都不够暖。不过清爽干净，整体还不错。停车也方便。', '短评打分': 5}
{'短评内容': '这个酒店态度极差！工作效率极其低下！是如家系统最差的！不知是如何加盟进去的！根本不是如家的品质。', '短评打分': 3}
{'短评内容': '席梦思较硬。', '短评打分': 3}
{'短评内容': '酒店实在是太偏僻了，出行极为不便，服务比较冷淡。', '短评打分': 1}
{'短评内容': '房间住宿环境不错，就是发找小姐的卡片太多了，防不胜防！', '短评打分': 5}
{'短评内容': '地方是小小的远了点，不太方便打车，不过真的很干净，也很安静，出游的时候最喜欢住这样的地方了，不贵又舒适。喜欢！', '短评打分': 5}
{'短评内容': '边上吃饭的地方太少 吃饭太麻烦  交通也不是很便利', '短评打分': 1}
{'短评内容': '适合开车旅行的，环境非常安静，就是网速不是很理想。', '短评打分': 5}
{'短评内容': '环境优雅，房间很整洁干净，也很宽敞，交通也很方便，楼下的小快餐店虽然不多，但是够我们吃了，不错哦，离办事的地方也很近，很值得推荐哦！', '短评打分': 5}
{'短评内容': '房间很干净很舒适，服务态度很好，有机会的话下次还会订这家。', '短评打分': 3}
{'短评内容': '房间和服务尚可，网络稳定性有欠缺。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还可以的，离我们要办事的地点近些，但是还是有司机找不到地点哦。房间还算大，挺干净的！', '短评打分': 5}
{'短评内容': '还可以的，离我们要办事的地点近些，不过晚上会有些噪音！', '短评打分': 5}
{'短评内容': '房间整洁,感觉不错', '短评打分': 3}
{'短评内容': '晚上空调声很吵', '短评打分': 3}
{'短评内容': '出门办事还挺方便的。交通也还行~~~吃的没那么多', '短评打分': 5}
{'短评内容': '淋浴房没有取暖的设备，才进去会很冷，其他还好，干净整洁，晚上睡觉时候也比较安静。床头附近没有电源插座，睡前想一边充电一边玩会手机的话是不行了...\n\n在周边开会的话，可以住这里。 如果想去杭州旅游的话不推荐，因为离市区比较远。周围没有什么可以吃饭的地方。（有两三家小店看起来很不干净）', '短评打分': 5}
{'短评内容': '周围环境安静，但是一早保安服务员乱敲门！走廊很吵！房间老是有人发色情服务卡！', '短评打分': 1}
{'短评内容': '酒店边上有个垃圾处理站，嗓音很大，不容易入睡，不推荐', '短评打分': 1}
{'短评内容': '如家就是这样的感觉啦，还可以。位置离要出差的地方很近', '短评打分': 5}
{'短评内容': ' 房间挺大，干净，安静', '短评打分': 3}
{'短评内容': '环境很不错,商务大床房的房间很大，陈设也很简洁大方，朋友反映不错。前台MM也热情', '短评打分': 5}
{'短评内容': '这个价格就不要有太高的要求了，我是给司机订的房，里面也没进去看，便宜是硬道理。', '短评打分': 5}
{'短评内容': '+酒店安静,环境还可,但是无烧水壶,仅一桶装水,不妥。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '＋尚可', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '首先，地理位置不是很好，有点偏僻，房间还可以', '短评打分': 5}
{'短评内容': '房间大 数字电视 桶装水供应 就是位置有点儿太偏了 TAT', '短评打分': 3}
{'短评内容': '他们家的房子就是窗户不大好，其他都OK，算是性价比很高的啦', '短评打分': 5}
{'短评内容': '位置太过偏僻 难找 而且离市中心距离太远', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体还不错。如果不是自己驾车，交通有点不方便。', '短评打分': 3}
{'短评内容': '态度很好，其他的也都还好，只是客房服务竟然没换床单,不知道是为什么？', '短评打分': 1}
{'短评内容': '不错！服务员很热情！', '短评打分': 3}
{'短评内容': '除距西湖较远，其他都还不错，特别值得一提，服务员非常友好！喜欢！', '短评打分': 5}
{'短评内容': '  不错啊 ``', '短评打分': 5}
{'短评内容': '住了3晚~整体灰常满意~~:)\n前台~卫生~电视空调热水器~都挺好滴~~服务人员的态度也没话说~\n就是不知道为啥 好像每天夜里2点到3点之间某个时间 空调会突然开始变强力制冷... 好像3个晚上都是这样 好诡异=。=b\n然后位置嘛 有利有弊 离公交车站稍微有一点点远 不过不靠马路 我比较喜欢~ \n总体还是值得推荐的~', '短评打分': 5}
{'短评内容': '房间隔音效果不太理想，其它的还可以。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '床很大，很舒服', '短评打分': 5}
{'短评内容': '卫生间蛮大的，蛮舒服的；花被子，喜欢；数字电视，可以看很多台。总体感觉非常满意，就是周围没有什么旅游景点，不方便出游好像～～', '短评打分': 5}
{'短评内容': '服务很好，酒店性价比不错，就位置很很难找，位置很偏', '短评打分': 5}
{'短评内容': '地段好，交通真的蛮方便的，基本都有直达车，环境也不错啊，服务态度也挺好的。', '短评打分': 5}
{'短评内容': '房间挺大，但隔壁空调太响，打车也不是很方便', '短评打分': 3}
{'短评内容': '店本身还可以，如家嘛，不错的，干净卫生。缺点也存在，宾馆在景苑路上，是个小巷子，就算是走到莫干山路上也很难打到车。第二，我们定的大床房，给我们的是中间的房间，房间虽然很大，但是窗户对着一个天井，外面就是别的屋子的空调，晚上被吵醒好几次，痛苦', '短评打分': 5}
{'短评内容': '酒店还是很不错的 干净而且远离主干道所以也很安静 服务员挺热情的 房间还是很大的 我是商务大床房 整体上还是比较舒服的 就是有时候水不算太热 ', '短评打分': 3}
{'短评内容': '酒店还是很不错的 干净而且远离主干道所以也很安静 服务员挺热情的 房间还是很大的 我是商务大床房 整体上还是比较舒服的 就是有时候水不算太热 ', '短评打分': 5}
{'短评内容': '房间环境很不错，房间很宽敞，如果自己有车，住这里倒是挺方便的，性价比又高。', '短评打分': 5}
{'短评内容': '位置一般，布置比较温馨，缺点是没有早点，附近用餐环境较差。', '短评打分': 5}
{'短评内容': '隔音效果较差', '短评打分': 5}
{'短评内容': '隔音效果非常差,外面轻轻说话的声音都可以听到.隔壁住的是情侣,一个晚上好痛苦...我转天要考试...', '短评打分': 5}
{'短评内容': '环境比较清静', '短评打分': 5}
{'短评内容': '环境不错，位置也不错，交通比较方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间环境不错，很漂亮，就是隔音比较差：空调声音太大了，自己都不开空调的，别人的空调声太大了，对晚上睡觉有影响。', '短评打分': 5}
{'短评内容': '位置稍微有那么一点偏，其实也很好找，就是城管执法局旁边，美都广场后面。但是住起来，比其他的如家要好很多，因为房间够大，估计有20方的样子，不会觉得很局促。我本来订了莫干山路店，但是那边房间太小，换了这里。有些如家，大床房的面积实在太小了，受不了。隔音效果一般，这是比较不爽的，不过似乎这些经济型酒店都这毛病。', '短评打分': 5}
{'短评内容': '我觉得酒店本身环境还不错，房间挺干净的，就是位置稍微有点偏', '短评打分': 3}
{'短评内容': '内部的油烟气味不太好，前台女服务的态度不好，位置有点偏，交通一般', '短评打分': 3}
{'短评内容': '性价比很高，安静舒适。', '短评打分': 5}
{'短评内容': '隔音确实太差，电视太小', '短评打分': 5}
{'短评内容': '都很不错', '短评打分': 5}
{'短评内容': '房间很干净，很整洁\r\n不过酒店位置有点偏僻,出租车司机都不太清楚位置。房间隔音不是很好，电视机太小了，坐在床上看不清楚。', '短评打分': 5}
{'短评内容': '优点：简洁而温馨，干净而舒适。\r\n不足：隔音待改善，晚上关紧门窗睡觉，但空调机压缩机声音还是比较响。\r\n总结：性价比较高，值得推荐！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店的环境卫生都不错，服务员的素质感觉也很高，服务质量比较好！性价比比较高的酒店。', '短评打分': 3}
{'短评内容': '位置比较偏僻，不好找。', '短评打分': 5}
{'短评内容': '一般吧，隔音效果十分差  交通还算方便 算是性价比高的一家酒店了', '短评打分': 1}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '酒店的位置不是特别方便，但是条件还可以，房间里清洁的干净，整洁，挺舒服的。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，方便出行的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店地理位置比较偏,非常难找,其他方面都还是可以接受的,不过针对这一点觉得酒店不是很值得推荐.', '短评打分': 1}
{'短评内容': '酒店的服务卫生方面还算不错的,周边交通也挺方便的,价格也不贵,就是隔音效果不太好了', '短评打分': 5}
{'短评内容': '酒店蛮干净的,服务也比较热情,而且价格也挺便宜的,不过酒店位置不明显,不是很好找', '短评打分': 5}
{'短评内容': '服务态度不好，当时安排的房间感觉是暗房，订的商务大床，又不是特惠房，房况差，要求换时说没有了，这样的房间感觉价位上不合理，偏高了；酒店是在一个巷子里，公安局门口，出租车都不愿意进去，想打车，很难，', '短评打分': 1}
{'短评内容': '整体来说挺不错的酒店，无论是软件还是硬件都很不错，而且也挺干净的。', '短评打分': 5}
