{'descr': '不人性化', 'star': 1}
{'descr': '房間設計很OK，地理位置很好，有地鐵', 'star': 5}
{'descr': '还不错吧，价格便宜！', 'star': 4}
{'descr': '挺干净，床也大，超过预期', 'star': 5}
{'descr': '性价比极高', 'star': 5}
{'descr': '等待时间很短 体验还是不错', 'star': 5}
{'descr': '是家附近的小给到上海来玩的朋友住的，交通比较方便，旁边8号线上新建了一个商业，吃玩购都很方便，小宾馆内有电梯。', 'star': 4}
{'descr': '预定很方便，房型很满足家庭', 'star': 4}
{'descr': '不错哟，可以住住', 'star': 5}
{'descr': '一直入住这家酒店。地理位置优越。出行十分方便。近轨道交通八号线步行五分钟路程。值得推荐。', 'star': 4}
{'descr': '地理位置佳,交通方便里地铁站很近,酒店服务及卫生都很满意,下次去那边个一定还会入住,也推荐给大家.赞!', 'star': 4}
{'descr': '棒棒棒', 'star': 5}
{'descr': '不错(*??╰╯`?)?～～～～～～', 'star': 5}
{'descr': '携程的优惠价格比店原价还贵。现价才210，携程优惠还有230。店家会员卡也就是减20，没有其他优惠。房间内电脑基本不能用，开机就死机。个别楼层还在内部装修，油漆味很大。主题房间也就是床单，被套枕套不一样，其他都一样，所以价格区别意义不大。', 'star': 3}
{'descr': '卫生差，床上头发好多', 'star': 3}
{'descr': '卫生不好，房间味道很大，电视空调均不能正常使用', 'star': 3}
{'descr': '第三次去了！不解释！还不错！挺好挺划算的！', 'star': 5}
{'descr': '我的30远现金返现在哪里查收？我的30远现金返现在哪里查收？我的30远现金返现在哪里查收？我的30远现金返现在哪里查收？', 'star': 5}
{'descr': '很热情。。。。。。很方便。。。。。。。。。。。。，，，', 'star': 5}
{'descr': '总体还不错，经济实惠，楼下吃的小店也蛮多的，离我老婆上班的地方也近，过去看她就选这里啦！', 'star': 5}
{'descr': '整体还不错，服务态度较好，卫生条件待改善，桌上有灰尘', 'star': 5}
{'descr': '服务好,价格低.里地铁口很近,交通方便.', 'star': 5}
{'descr': '酒店服务好，客房价格低，客户规格可以的但不能与四星级以上相比较，交通方便与地铁口近，在赴同济大学附近的朋友可以考虑', 'star': 5}
{'descr': ' 房间还不错，就是没宽带不太方便，电视也不太好，希望改进。总体不错，对得起这个价钱', 'star': 3}
{'descr': '好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以好  住的还可以', 'star': 5}
{'descr': '就是有些吵，，其他都可以。以后还会过来住。', 'star': 5}
{'descr': '总体上性价比还不错感觉满意.下次有客人来还会推荐这家宾馆.', 'star': 5}
