{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '离大东海很近，步行就能到。是一个家庭旅馆，周围有很多饭店和大超市，很便利，和爸妈去海南玩住了几天，还不错。', '短评打分': 4}
{'短评内容': '还不错欧，窗外风景不错', '短评打分': 5}
{'短评内容': '服务好，离海边近很方便，生意兴隆，', '短评打分': 5}
{'短评内容': '老板人很好。。孩子住着很舒服。。就挨着海边。老板还带我去码头买海鲜又便宜又实惠。很热情。希望去的朋友找这家旅店', '短评打分': 5}
{'短评内容': '总体上比较贵，而且不是酒店，卫生条件不好，携程没有实现说明家庭旅店是这样的，比较遗憾，不划算，不建议入住。', '短评打分': 3}
{'短评内容': '一般，房间好小，wifi很弱，根本用不了。要不是春节期间不能退房，根本就不想住', '短评打分': 3}
{'短评内容': '自己的房子，装修成家庭客栈。整体位置不错，在大东海旁边，老板娘也是11点多下楼接的我们，还免费升级了大房间，只是春节去三亚1天558元还是贵呀，要是平常来这里住住应该不错。', '短评打分': 5}
{'短评内容': '交通很方，环境很不错，谢谢老板后面三天帮我免费升级密月套房。下次来三亚还是选择住这里。', '短评打分': 5}
{'短评内容': '家庭式旅馆，很好，靠近海边，老板很热情，下次去旅游首选！', '短评打分': 5}
{'短评内容': '在网上订好后，是晚上差不多11点才到，老板下楼来接的，但是一进房间傻眼了，完全不是我们订的好不好，还美其名曰给我们加了个小床，卫生间很小，洗浴和马桶就两三步，我们也算吃过苦的人，大晚上的就没计较了，不过真的很不爽，既然我网上定好了，又不是你特价房怎么让别人住了呢，还说第二天就换好的，好的，还是认为那不好吧，换过去看就是我们订的，完全住进去心情就不一样了，后面几天还可以，但是下回基本不考虑这里了', '短评打分': 4}
{'短评内容': '老板娘超好，超级信任我们，没收押金都可以，无线网速度给力，极力推荐', '短评打分': 3}
{'短评内容': '6.21-6.27订购的第一时间蜜月圆床，老板娘——陈阿姨很热情的接待了我们7天，房间很整洁干净，床超大的，布置的很甜蜜。由于小区管制家庭旅馆，我和老公出门要一前一后的隔20米，有点小小的遗憾，但也不影响什么游玩。下次去三亚，还要来这家住！陈阿姨，下次再来住，记得多给点折扣哦！嘻嘻……', '短评打分': 5}
{'短评内容': '房间虽然小了点，但是床具和格局很有创意，离大东海也近，过条马路就到了，性价比不错了。', '短评打分': 5}
{'短评内容': '房间很不错，床很大很舒服，离海边很近，附近购物也很方便！', '短评打分': 3}
{'短评内容': '还不错，干干净净的。附近交通真的算是四通八达了…蛮好的。', '短评打分': 3}
{'短评内容': '一个人的出行让我倍感孤独和对城市的陌生，但是在“第一时间”度过的这短暂、愉快的一天却使我感到如同在家一样的亲切和安全。老板是一个热情的东北人，跟我是老乡，所以我们唠嗑特别的愉快，她热心的服务让我感觉到家乡的气息。这里的居住环境非常的舒适，屋内的设施也很齐全，老板为我们考虑的非常到位。出行也非常方便，距离海边很近。感谢老板的热情服务，有机会我会再次光顾的。希望老板生意越来越好！', '短评打分': 5}
