{'短评内容': '一般，太一般了', '短评打分': 3}
{'短评内容': '态度很好。', '短评打分': 5}
{'短评内容': '不好   地下室', '短评打分': 3}
{'短评内容': '房间还可以，价位合适', '短评打分': 3}
{'短评内容': '良好', '短评打分': 4}
{'短评内容': '一般、太一般了！', '短评打分': 3}
{'短评内容': '从网上订的，到店后发现实在是太差了。', '短评打分': 1}
{'短评内容': '房间卫生差了点，还没有电梯', '短评打分': 4}
{'短评内容': '前台服务员趁火打劫,说99的大床房卖没了,明明团购上还挂着,到现场就说没有了,有网定单不接,卖高价', '短评打分': 2}
{'短评内容': '住着一般，总体来说，这个价位就值这个房间', '短评打分': 3}
{'短评内容': '卫生还好，附近吃饭方便！服务态度好！', '短评打分': 3}
{'短评内容': '不好不好不好不好不好不好不好', '短评打分': 3}
{'短评内容': '终于知道为什么如家7天能开成连锁，而他们却不行。我们并没有取消房，也没有给我们打电话核实是否抵店就自动把我们的房取消了，到达酒店后告诉我们顺以为我们不来了，这叫什么?_?我很是不能理解，还特别你能辩解，把责任都推到顾客身上，完全没有服务态度可言，所以外出的朋友订房一定不要订他家，给出行造成很大的不便！本来就累一天了，根本就折腾不动了，周围的又都没有，要不然一定不住他家！狠狠的差评！', '短评打分': 3}
{'短评内容': '干净、安静，服务人员态度很好', '短评打分': 3}
{'短评内容': '到店以后说没有房间，有点小生气，后来还是妥善解决了，很干净也挺安静的，就是床有点硬', '短评打分': 5}
