{'短评内容': '还行吧。就是太旧了。', '短评打分': 5}
{'短评内容': '位置还不错，周围环境也可以。。。酒店应该有停车场。。。早餐不知道有没有。。。有很多家具，冰箱，洗衣机，还有咖啡壶。。。', '短评打分': 4}
{'短评内容': '还不错，就是位置不好找', '短评打分': 5}
{'短评内容': '千常年出差。。住过各种各样的。。从没写过点评，第一次，因为无力吐槽。本来可以谅解，毕竟在这个地段这个价格，房间有些破旧瑕疵都可以理解。。忍无可忍的是，浴巾是潮湿的，房间甚至没有放/或是忘记摆放洗浴用品，晚上12点多打电话拜托送上来，送上来以后工作人员要求摸一下浴巾。。。摸了是潮湿的，解释最近下雨不然不会这样。。。问为什么洗手台上放一罐莫名其妙的（脏且用过的）......答曰不知道.......本来', '短评打分': 2}
{'短评内容': '这酒店前台服务态度我是一颗星都不想给，差到家了简直，从来没有住酒店这么受气的，环境也差到家，差点没和前台吵起来', '短评打分': 1}
{'短评内容': '做卫生叫阿姨叫了几个小时，住三天了没被子换就不给我换了，真的这点印象太差了', '短评打分': 4}
{'短评内容': '覺得不錯 就是有點不好找', '短评打分': 5}
{'短评内容': '最大的优势是距离公司很近，设施、卫生一般。', '短评打分': 4}
{'短评内容': '酒店环境不错，处于金融中心珠江新城，酒店性价比好，就是房间装修太久，显得很久，而且坏的地方又没有修复。', '短评打分': 4}
{'短评内容': '一般。环境旧', '短评打分': 3}
{'短评内容': '此类公寓周边特别多，价格差异大，其实房间都一样，所以一定要多比较一下价格，交通方便，但楼下停车收费，第二天八点前走是10元，如入住包停车比较合理。', '短评打分': 4}
{'短评内容': '広州出張の際は毎回使っています。 近くにスターバックス・日本料理屋・コンビニ・タクシー乗り場があり 不自由しないです。', '短评打分': 3}
{'短评内容': '広州出張の際は毎回使っています。 近くにスターバックス・日本料理屋・コンビニ・タクシー乗り場があり 不自由しないです。', '短评打分': 3}
{'短评内容': '広州出張の際は毎回使っています。 近くにスターバックス・日本料理屋・コンビニ・タクシー乗り場があり 不自由しないです。', '短评打分': 3}
{'短评内容': '首先对这个酒店的评价就是差评！从来没住过这么烂的酒店，地板都是花的，脏兮兮的！那个沙发又黄又有污迹，叫人怎么坐啊？好意思吗？还有那个空调位置真是服了！像火灾后现场！墙纸脱落，花洒有问题。睡了一晚整个人都不好啦！不会再选择这个公寓！', '短评打分': 1}
{'短评内容': '位置很好，适合出差旅游居住', '短评打分': 4}
{'短评内容': ' 只是个酒店式公寓，当酒店住的话太坑爹了，又贵环境又不怎样，洗澡的时候房间里连沐浴露都没有，郁闷啊', '短评打分': 3}
