{'短评内容': '吃饭方面，卫生不错', '短评打分': 5}
{'短评内容': '环境不错，吃饭方便', '短评打分': 5}
{'短评内容': '很不错的房间 老板热情 房间年代久 文艺范', '短评打分': 5}
{'短评内容': '还不错吧！就是有点潮湿，衣服在屋里放一晚都是潮的，床有点硬!公共环境不错～和图片一样！老板都不接要自己找！', '短评打分': 4}
{'短评内容': '109可以的', '短评打分': 5}
{'短评内容': '这是来厦门的第二个住处，相比之下，这里更好一些，虽然价格也比前一个贵，但是还算物有所值，环境还不错，就是房间正对旅馆前台门口，第一晚还好，第二晚隔壁和楼上跟商量好的似的，一会楼上沙沙拖鞋声，一会隔壁哈哈大笑，要是8/9点的时间我就忍了，关键已经10点半了，对于我这种早睡的人来说，已经是深夜了，真心受不了', '短评打分': 5}
{'短评内容': '老板很好！有机会再来会再次选择这里', '短评打分': 5}
{'短评内容': '还不错，位置闹中取静，小吃街后面的巷子', '短评打分': 5}
{'短评内容': '差不多还可以凑合住', '短评打分': 3}
{'短评内容': '地理位置很好，到各个景点都不远，步行基本都在十分钟之内吧。我们定的是静谧空间，房间挺干净的，之前看评价都说卫生间很小，但是到了发现并没有那么小，算是意外之喜吧~', '短评打分': 5}
{'短评内容': '免费升级超大房间。很安静。房间装饰很有风格。老板小伙子还赠送了小礼物。感谢~', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '总体还不错，只是我订的这个房间比较小，麻雀虽小，五脏六腑具全，如果预算不多，可以选择这个！性价比还是有！老板虽不多言，但人很好！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行吧，每种房型只有一间的，房间比较复古，房内空气不咋地，信号很差', '短评打分': 3}
