{'短评内容': '服务很好，那个小姐姐很有礼貌', '短评打分': 5}
{'短评内容': '附近环境好，周边购物方便，无早，不可加床，前台服务态度好，总体来说挺好，不错，价格也实惠', '短评打分': 5}
{'短评内容': '位置挺好的，几步就到街了', '短评打分': 4}
{'短评内容': '环境很好  服务也很好', '短评打分': 5}
{'短评内容': '可以！不错。就是wifi差了点', '短评打分': 4}
{'短评内容': '适合自费一人出差，高性价比。', '短评打分': 5}
{'短评内容': '拖鞋和棉被挺好的，就是没有电梯有些遗憾了，而且一不小心把房卡弄丢了，也赔了五十元，赔钱到没什么，就是说话的态度让人很不爽！', '短评打分': 5}
{'短评内容': '价格美丽，环境不错，性价比高。', '短评打分': 5}
{'短评内容': '酒店交通方便，总体还是可以，性价比好', '短评打分': 4}
{'短评内容': '酒店交通方便，总体还是可以，性价比好', '短评打分': 4}
{'短评内容': '酒店交通方便，总体还是可以，性价比好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '床不错。', '短评打分': 3}
{'短评内容': '多次入住', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '房间小，水压低，无电梯，不过还算是干净。', '短评打分': 3}
{'短评内容': '前台服务态度好，住得舒适，下次还来', '短评打分': 5}
{'短评内容': '一开始说京东预定的客服不知道，后来才知道是和艺龙合作。', '短评打分': 4}
{'短评内容': '价格便宜   就是房间有点小  wifi有点慢   其他都挺好的', '短评打分': 5}
{'短评内容': '感觉不错，就是房间太小，又没有电梯。优点：很舒适，干净还有报纸哦！', '短评打分': 3}
{'短评内容': '环境不错 周围饮食购物都方便 值得推荐 就是没地方停车 ', '短评打分': 5}
{'短评内容': '很好，只是小了点，不过很温馨。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间虽小，但干净卫生，值得关注，评论不能少于20个字', '短评打分': 5}
{'短评内容': '无线很给力！不过酒店竟然没有电梯，行李箱还得自己搬。', '短评打分': 3}
{'短评内容': '酒店很新,看起来很干净.只是被子给人感觉有点不舒服,好象没换一样,不过服务还好,值得推荐.', '短评打分': 3}
{'短评内容': '很精致温馨干净，酒店前台小伙的态度非常友好。房间稍为小了点，应了一句俗话：麻雀虽小五脏俱全， 不影响我们对酒店的观感。', '短评打分': 5}
{'短评内容': '装修布置很温馨，位置也好找，价格也便宜，下次如果去那也会入住的', '短评打分': 5}
{'短评内容': '挺好的，都是我喜欢的家居风格，简单简约细致', '短评打分': 5}
{'短评内容': '98元的特价推销绝对值得。酒店很干净，虽然小但是五脏俱全。离汽车站也很近，市中心非常方便。前台服务员很和善。', '短评打分': 5}
{'短评内容': '服务态度好，房间很干净，不错的感觉', '短评打分': 3}
{'短评内容': '环境不错，无线网也很快，服务很不错，离车站距离不远，坐车也方便。', '短评打分': 5}
{'短评内容': '酒店环境舒适，整洁干净，服务态度良好，处于市中心，交通便利', '短评打分': 5}
{'短评内容': '环境还不错。。。99元也蛮值的。。。很干净。。', '短评打分': 5}
{'短评内容': '很好，价钱合理，装修特别，就是厕所小了点，不过不碍事，值得', '短评打分': 5}
{'短评内容': '很不错，酒店人员很热情，态度好，环境很好，地理位置也很好去市中心很进，推荐~', '短评打分': 5}
{'短评内容': '价格很实惠，环境还不错。就是房子真的很袖珍。', '短评打分': 5}
{'短评内容': '新开的，环境卫生价格都还挺合适的。而且位置也很好。坐公车都挺方便的。', '短评打分': 5}
{'短评内容': ',卫生好,房间也大。就是刚装修,还有点气味,靠马路的房汽车噪音大,看有没法解决', '短评打分': 3}
{'短评内容': '服务不错，价格也实惠，值得', '短评打分': 3}
{'短评内容': '大床房不错哦，空间够大，晚上光线也不错。整个酒店有无线wifi，方便手机上网，唯一的缺点就是洗手间下水道有点堵，洗个澡水漫金山啊。', '短评打分': 5}
{'短评内容': '：总体感觉很不错。虽然房间不大但感觉挺温馨，卫生条件也不错,能算得上干净温馨。个人比较喜欢酒店的床褥，不是简单的纯白,有家的感觉。', '短评打分': 3}
{'短评内容': '酒店房间较小，但设施较齐全，卫生条件比较干净，性价比高！不足之处有几个地方，靠道路的房间隔音不是很好，估计不是真空隔音玻璃的原故吧。还有就是停车位要安排合理点会比较方便。其余倒是没发现什么问题，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '房间内部环境还不错，服务态度也很好，很及时，感觉很温馨。唯一不足的是，厕所的洗澡下方的排水不太好，每次洗澡都很容易积水，蔓延到马桶附近，厕所地面到第二天还是湿湿的。去住了2次，都存在这样的问题。', '短评打分': 5}
{'短评内容': '市中心 交通便利 新装修开业 房间宽敞 寝具整洁 床卧舒适 卫生安静 唯一不足 停车不便 适合年轻人 驴友 出行不驾车的人士 试业期间九十九元入住 性价比较高', '短评打分': 5}
{'短评内容': '只有两三个停车位，很难停车，房间太小，简直是蜗居啊', '短评打分': 3}
