{'descr': '酒店位置很偏 非常不好找 早餐是定量的分餐形式  ', 'star': 1}
{'descr': '订的特惠房，地方位置不好找主要是因为标志牌没有通电，晚上确实得靠着眼力好，另外房间里霉气重，墙壁斑驳，床单有霉点，没网络，开着空调还被蚊子骚扰了一晚，其他房没见过，但真心不推荐这种特惠房。', 'star': 1}
{'descr': '价格便宜，房间不好，位置不好找', 'star': 3}
{'descr': '太意外啦。房间竟然不是24小时热水。要每天下午4点才有热水。真受不了啦！', 'star': 3}
{'descr': '特价房很烂，其他房间不知道到反正不值……', 'star': 1}
{'descr': '酒店后面一个破楼随便改的，门都是坏的，后来换了一间，墙上都发霉了，没热水。', 'star': 1}
{'descr': '那天大雨被迫入住，但是酒店副楼房间的霉味实在令人难以忍受', 'star': 1}
{'descr': '已住A302', 'star': 3}
{'descr': '服务态度好。。。。就是现在改名字了。。搞不到会员卡。。。会员卡99元。。谁有？给我一张', 'star': 5}
{'descr': '房价太小，隔音不好。配套设施不合理。环境差。', 'star': 1}
{'descr': '房间 太小，并且通风不是很好，如果自己去入住的话，比网上订的还要便宜的。。。。', 'star': 1}
{'descr': '还凑合了 就是卫生条件貌似要很好的改善一下就十分很好', 'star': 5}
{'descr': '服务很好，但是设施和卫生条件比较差。感觉不太干净 ，我们住的房间墙上还有一大片污渍', 'star': 5}
{'descr': '事先提示刷了房费就不能退了，刷的时候当然不会想退了，可是万一碰上计划改变的时候就不能退了，说明这方面服务不到位。还有离地铁太远。', 'star': 1}
{'descr': '服务还可以', 'star': 3}
{'descr': '还可以。。。服务态度不错。。比99的好很多', 'star': 5}
{'descr': '设施很差，房间也很脏，服务态度也一般，硬件设施和软件设施都很不好。', 'star': 1}
{'descr': '性价比蛮好的酒店，房间很干净，硬件设施也比较完善，地理位置交通方便，下次还会入住的。', 'star': 5}
{'descr': '就是答应的网线没有', 'star': 5}
{'descr': '服务超级烂', 'star': 1}
{'descr': '卫生条件不错，服务态度很好，地理位置交通蛮方便的，下次还会入住。', 'star': 5}
{'descr': '附近有华堂商场，出行购物很方便，酒店内部的话服务还是不错的。', 'star': 5}
{'descr': '我住的房间位置不错，采光好，通风也顺畅，蛮舒服的，建议增加网络。', 'star': 5}
{'descr': '服务人员很专业，给了我们一些关于旅游路线的建议，都是很实惠的选择，非常感谢。', 'star': 5}
{'descr': '是家老酒店，设施陈旧，卫生一般，服务不好，也就地理位置离我办事地点方便些，其他都一般。', 'star': 5}
{'descr': '1.赠送的早餐不错。\r\n2.屋子有些冷，空调不好使，洗澡水温较低。', 'star': 5}
{'descr': '各方面感觉一般，没什么太好的地方，它这个价格咱也不能要求太高', 'star': 3}
