{'短评内容': '不错，就是太冷了', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '不是太好，太吵了', '短评打分': 5}
{'短评内容': '很好，干净', '短评打分': 5}
{'短评内容': '还可以     一般都去这', '短评打分': 5}
{'短评内容': '位置不错 交通很方便 但是屋子里面没有窗 灯光也不亮 店家说团购的价位只有无窗的 建议店家在房间详情里写清楚会更好', '短评打分': 3}
{'短评内容': '第二次入住，客服配合很周到，就是哪天夜里别的房间有些闹腾。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置不错，楼下就是一个大超市，很方便！', '短评打分': 5}
{'短评内容': '环境一般 离夜市比较近。', '短评打分': 4}
{'短评内容': '没有一次性拖鞋，没有窗户，前台服务差，退房慢', '短评打分': 3}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '嗯，感觉还不错，比较舒适的', '短评打分': 5}
