{'短评内容': '还可以 经济实惠', '短评打分': 4}
{'短评内容': '交通方便，干净卫生有停车场', '短评打分': 5}
{'短评内容': '垃圾！真TM垃圾！上学提前订的，前台听说携程订的脸直接就拉下来了！还说什么最讨厌他家（携程）之类的！然后订的是有窗户的给了没窗户的弄得母亲很憋屈！', '短评打分': 1}
{'短评内容': '还可以，就是没有窗户感觉黑洞洞的。', '短评打分': 4}
{'短评内容': '地方交通便利，楼下什么都有，总之挺好', '短评打分': 5}
{'短评内容': '还可以，就是无窗比较闷', '短评打分': 4}
{'短评内容': '比较吵，环境一般，不过不贵', '短评打分': 3}
{'短评内容': '周边小吃比较多，室内环境较好，出行方便', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '+酒店很干净，艺龙推荐的不错，谢谢艺龙，推荐的酒店很满意*', '短评打分': 3}
{'短评内容': '酒店不提供发票。如果提供发票要加40元。不知道为什么？', '短评打分': 3}
{'短评内容': '环境不错，楼下也好多吃的，位置稍偏了些，不过还是很值的！！！', '短评打分': 5}
