{'短评内容': '位置不错，楼下有旅行社，', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '卫生再干净点，空调不能用', '短评打分': 5}
{'短评内容': '很差，电视也坏，空调也舍不开，电话也是坏的，连一次性牙具都没有，早餐像喂猪一样，希望大朋互相转告，不知京东网怎么合这差的酒店合作，???????????????????????????????????', '短评打分': 5}
{'短评内容': '酒店不错，设施齐全。还含早餐，来张家界可以考虑的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '中央空调效果差 晚上明显比白天热  早上五六点开始直接是自然风 ', '短评打分': 3}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '环境好，对得起这价格。', '短评打分': 5}
{'短评内容': '住房装修有点旧，配套服务少，我是五一去的，两百元的价位也算可以了', '短评打分': 4}
{'短评内容': '太失望了，和网上的照片反差太大！吃饭不方便，早餐太差！交通也不方便。', '短评打分': 3}
{'短评内容': '墙纸都发霉了', '短评打分': 4}
{'短评内容': '很好的宾馆，服务周到，环境好，推荐！标间床很宽，离火车站很近。', '短评打分': 5}
